,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
136229,2013,2012-13,1610612749,Milwaukee Bucks,2400,Drew Gooden,C,C,12-22-2012,21200395,MIL,CLE,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,6.15,1,4,0,4
136233,2013,2012-13,1610612749,Milwaukee Bucks,201601,Luc Mbah a Moute,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,10.45,23,4,0,5
136237,2013,2012-13,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.7,17.85,14,4,0,16
136244,2013,2012-13,1610612739,Cleveland Cavaliers,202087,Alonzo Gee,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.1,6.45,5,4,0,39
136253,2013,2012-13,1610612749,Milwaukee Bucks,201601,Luc Mbah a Moute,F,SF,12-22-2012,21200395,MIL,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.85,0,4,1,2
136257,2013,2012-13,1610612739,Cleveland Cavaliers,203079,Dion Waiters,G,SG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.45,1,4,1,15
136262,2013,2012-13,1610612749,Milwaukee Bucks,201601,Luc Mbah a Moute,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.1,4.25,22,4,1,20
136269,2013,2012-13,1610612739,Cleveland Cavaliers,203079,Dion Waiters,G,SG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.2,25.75,25,4,1,37
136270,2013,2012-13,1610612749,Milwaukee Bucks,2605,Marquis Daniels,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.6,26.05,25,4,1,58
136273,2013,2012-13,1610612739,Cleveland Cavaliers,203092,Tyler Zeller,C,C,12-22-2012,21200395,MIL,CLE,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.45,1,4,2,12
136295,2013,2012-13,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.7,8.05,6,4,2,40
136297,2013,2012-13,1610612749,Milwaukee Bucks,201601,Luc Mbah a Moute,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,7.75,2,4,2,54
136302,2013,2012-13,1610612739,Cleveland Cavaliers,101139,CJ Miles,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.5,23.05,24,4,3,12
136305,2013,2012-13,1610612739,Cleveland Cavaliers,203079,Dion Waiters,G,SG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.9,19.75,20,4,3,26
136314,2013,2012-13,1610612749,Milwaukee Bucks,203117,Doron Lamb,G,SG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.3,6.05,0,4,4,3
136339,2013,2012-13,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,12-22-2012,21200395,MIL,CLE,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,4,12
136340,2013,2012-13,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.85,0,4,4,13
136346,2013,2012-13,1610612739,Cleveland Cavaliers,203079,Dion Waiters,G,SG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.3,28.05,26,4,4,38
136366,2013,2012-13,1610612739,Cleveland Cavaliers,101139,CJ Miles,F,SF,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,6.8,19.55,15,4,5,20
136384,2013,2012-13,1610612739,Cleveland Cavaliers,203079,Dion Waiters,G,SG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.45,1,4,5,47
136393,2013,2012-13,1610612739,Cleveland Cavaliers,2575,Luke Walton,F,PF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.0,9.45,4,4,6,9
136421,2013,2012-13,1610612739,Cleveland Cavaliers,101139,CJ Miles,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.2,3.95,24,4,6,42
136429,2013,2012-13,1610612739,Cleveland Cavaliers,202951,Jeremy Pargo,G,PG-SG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.0,29.35,26,4,6,58
136431,2013,2012-13,1610612749,Milwaukee Bucks,101141,Ersan Ilyasova,F,PF,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.0,29.45,24,4,7,27
136435,2013,2012-13,1610612739,Cleveland Cavaliers,2575,Luke Walton,F,PF,12-22-2012,21200395,MIL,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.65,0,4,7,41
136440,2013,2012-13,1610612749,Milwaukee Bucks,2399,Mike Dunleavy,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,4.95,22,4,7,45
136447,2013,2012-13,1610612739,Cleveland Cavaliers,202951,Jeremy Pargo,G,PG-SG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.1,6.45,10,4,7,56
136450,2013,2012-13,1610612749,Milwaukee Bucks,101141,Ersan Ilyasova,F,PF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-16.2,20.65,22,4,8,20
136460,2013,2012-13,1610612749,Milwaukee Bucks,101145,Monta Ellis,G,SG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.7,24.95,26,4,8,28
136488,2013,2012-13,1610612739,Cleveland Cavaliers,202951,Jeremy Pargo,G,PG-SG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,5.15,1,4,8,51
136489,2013,2012-13,1610612739,Cleveland Cavaliers,2575,Luke Walton,F,PF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,8.25,3,4,8,51
136493,2013,2012-13,1610612749,Milwaukee Bucks,101145,Monta Ellis,G,SG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.65,0,4,9,5
136504,2013,2012-13,1610612749,Milwaukee Bucks,101141,Ersan Ilyasova,F,PF,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.5,16.05,17,4,9,30
136507,2013,2012-13,1610612739,Cleveland Cavaliers,101139,CJ Miles,F,SF,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.0,25.55,25,4,9,50
136509,2013,2012-13,1610612749,Milwaukee Bucks,101145,Monta Ellis,G,SG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-1.5,20.85,15,4,10,3
136517,2013,2012-13,1610612739,Cleveland Cavaliers,101139,CJ Miles,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-15.2,4.15,15,4,10,17
136530,2013,2012-13,1610612739,Cleveland Cavaliers,101139,CJ Miles,F,SF,12-22-2012,21200395,MIL,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.25,0,4,10,55
136536,2013,2012-13,1610612749,Milwaukee Bucks,201943,Brandon Jennings,G,PG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.1,8.55,23,4,11,5
136542,2013,2012-13,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,12-22-2012,21200395,MIL,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.25,0,4,11,20
136559,2013,2012-13,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.4,6.15,5,3,0,0
136565,2013,2012-13,1610612749,Milwaukee Bucks,101145,Monta Ellis,G,SG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.2,3.65,24,3,0,22
136572,2013,2012-13,1610612739,Cleveland Cavaliers,200789,Daniel Gibson,G,PG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.6,24.65,27,3,0,32
136577,2013,2012-13,1610612749,Milwaukee Bucks,101145,Monta Ellis,G,SG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,8.05,2,3,0,45
136584,2013,2012-13,1610612739,Cleveland Cavaliers,202087,Alonzo Gee,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.65,1,3,0,51
136603,2013,2012-13,1610612749,Milwaukee Bucks,2399,Mike Dunleavy,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.9,30.45,25,3,1,6
136609,2013,2012-13,1610612739,Cleveland Cavaliers,202087,Alonzo Gee,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.25,0,3,1,21
136616,2013,2012-13,1610612749,Milwaukee Bucks,2399,Mike Dunleavy,F,SF,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.6,7.85,8,3,1,44
136626,2013,2012-13,1610612739,Cleveland Cavaliers,202087,Alonzo Gee,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,5.25,22,3,1,51
136627,2013,2012-13,1610612749,Milwaukee Bucks,101145,Monta Ellis,G,SG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.65,0,3,2,6
136630,2013,2012-13,1610612739,Cleveland Cavaliers,203092,Tyler Zeller,C,C,12-22-2012,21200395,MIL,CLE,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.35,0,3,2,15
136632,2013,2012-13,1610612749,Milwaukee Bucks,202327,Ekpe Udoh,C,C,12-22-2012,21200395,MIL,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.85,0,3,2,38
136639,2013,2012-13,1610612749,Milwaukee Bucks,2399,Mike Dunleavy,F,SF,12-22-2012,21200395,MIL,CLE,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.25,0,3,3,2
136645,2013,2012-13,1610612739,Cleveland Cavaliers,2575,Luke Walton,F,PF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.85,0,3,3,15
136653,2013,2012-13,1610612749,Milwaukee Bucks,101145,Monta Ellis,G,SG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.85,0,3,3,35
136672,2013,2012-13,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.45,1,3,4,2
136690,2013,2012-13,1610612749,Milwaukee Bucks,202327,Ekpe Udoh,C,C,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,7.1,8.85,7,3,4,23
136695,2013,2012-13,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.3,11.05,17,3,4,50
136701,2013,2012-13,1610612739,Cleveland Cavaliers,202087,Alonzo Gee,F,SF,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.6,15.95,13,3,5,22
136727,2013,2012-13,1610612739,Cleveland Cavaliers,203079,Dion Waiters,G,SG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,5.55,1,3,6,18
136743,2013,2012-13,1610612739,Cleveland Cavaliers,203092,Tyler Zeller,C,C,12-22-2012,21200395,MIL,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.05,0,3,6,45
136744,2013,2012-13,1610612749,Milwaukee Bucks,101145,Monta Ellis,G,SG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.8,9.45,4,3,7,1
136754,2013,2012-13,1610612739,Cleveland Cavaliers,203079,Dion Waiters,G,SG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.7,18.35,13,3,7,32
136777,2013,2012-13,1610612739,Cleveland Cavaliers,202087,Alonzo Gee,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,7.85,2,3,7,46
136783,2013,2012-13,1610612749,Milwaukee Bucks,202327,Ekpe Udoh,C,C,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.4,6.15,2,3,7,52
136788,2013,2012-13,1610612739,Cleveland Cavaliers,203079,Dion Waiters,G,SG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,7.0,17.85,14,3,8,19
136793,2013,2012-13,1610612749,Milwaukee Bucks,101145,Monta Ellis,G,SG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.0,21.25,16,3,8,35
136805,2013,2012-13,1610612749,Milwaukee Bucks,201943,Brandon Jennings,G,PG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,6.45,1,3,8,41
136812,2013,2012-13,1610612749,Milwaukee Bucks,101145,Monta Ellis,G,SG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.1,26.85,25,3,8,52
136816,2013,2012-13,1610612739,Cleveland Cavaliers,202087,Alonzo Gee,F,SF,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.1,17.65,14,3,9,13
136818,2013,2012-13,1610612749,Milwaukee Bucks,101145,Monta Ellis,G,SG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.7,3.85,23,3,9,32
136823,2013,2012-13,1610612749,Milwaukee Bucks,2605,Marquis Daniels,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.5,7.75,5,3,9,38
136833,2013,2012-13,1610612739,Cleveland Cavaliers,203092,Tyler Zeller,C,C,12-22-2012,21200395,MIL,CLE,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.85,1,3,9,54
136838,2013,2012-13,1610612739,Cleveland Cavaliers,203092,Tyler Zeller,C,C,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,6.65,2,3,9,58
136845,2013,2012-13,1610612749,Milwaukee Bucks,2605,Marquis Daniels,F,SF,12-22-2012,21200395,MIL,CLE,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.6,5.55,0,3,10,8
136850,2013,2012-13,1610612749,Milwaukee Bucks,201601,Luc Mbah a Moute,F,SF,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.85,1,3,10,9
136855,2013,2012-13,1610612739,Cleveland Cavaliers,203079,Dion Waiters,G,SG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.15,0,3,10,30
136860,2013,2012-13,1610612749,Milwaukee Bucks,201943,Brandon Jennings,G,PG,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.7,18.15,12,3,10,36
136868,2013,2012-13,1610612739,Cleveland Cavaliers,203092,Tyler Zeller,C,C,12-22-2012,21200395,MIL,CLE,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.7,7.25,6,3,10,47
136871,2013,2012-13,1610612749,Milwaukee Bucks,101145,Monta Ellis,G,SG,12-22-2012,21200395,MIL,CLE,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.8,10.05,7,3,11,13
