,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
63967,2013,2012-13,1610612750,Minnesota Timberwolves,2557,Luke Ridnour,G,SG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.2,8.05,14,4,0,1
63968,2013,2012-13,1610612744,Golden State Warriors,101127,Jarrett Jack,G,SG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.3,23.05,17,4,0,10
63974,2013,2012-13,1610612744,Golden State Warriors,101127,Jarrett Jack,G,SG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.4,12.65,7,4,0,44
63984,2013,2012-13,1610612750,Minnesota Timberwolves,1905,Andrei Kirilenko,F,SF,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.5,27.45,25,4,0,54
63994,2013,2012-13,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,02-24-2013,21200832,MIN,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-16.2,19.55,21,4,1,9
63997,2013,2012-13,1610612744,Golden State Warriors,101127,Jarrett Jack,G,SG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.5,8.25,10,4,1,15
64003,2013,2012-13,1610612750,Minnesota Timberwolves,201937,Ricky Rubio,G,PG,02-24-2013,21200832,MIN,GSW,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.8,6.35,5,4,1,27
64006,2013,2012-13,1610612750,Minnesota Timberwolves,201937,Ricky Rubio,G,PG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.0,29.85,24,4,1,31
64007,2013,2012-13,1610612744,Golden State Warriors,101127,Jarrett Jack,G,SG,02-24-2013,21200832,MIN,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.1,29.45,24,4,1,48
64008,2013,2012-13,1610612750,Minnesota Timberwolves,201593,Nikola Pekovic,C,C,02-24-2013,21200832,MIN,GSW,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.95,0,4,2,3
64011,2013,2012-13,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.0,6.65,4,4,2,33
64015,2013,2012-13,1610612744,Golden State Warriors,101127,Jarrett Jack,G,SG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.2,13.25,8,4,3,6
64027,2013,2012-13,1610612750,Minnesota Timberwolves,1905,Andrei Kirilenko,F,SF,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.8,15.45,24,4,3,38
64032,2013,2012-13,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,02-24-2013,21200832,MIN,GSW,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.6,13.05,8,4,4,19
64046,2013,2012-13,1610612744,Golden State Warriors,201171,Carl Landry,F,PF,02-24-2013,21200832,MIN,GSW,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.45,0,4,5,0
64049,2013,2012-13,1610612744,Golden State Warriors,101135,David Lee,F,PF,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.2,6.75,11,4,5,1
64054,2013,2012-13,1610612750,Minnesota Timberwolves,200826,J.J. Barea,G,PG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,7.0,7.85,7,4,5,24
64060,2013,2012-13,1610612744,Golden State Warriors,101127,Jarrett Jack,G,SG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.3,14.05,8,4,5,37
64065,2013,2012-13,1610612750,Minnesota Timberwolves,201937,Ricky Rubio,G,PG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.7,24.95,25,4,5,49
64068,2013,2012-13,1610612744,Golden State Warriors,201171,Carl Landry,F,PF,02-24-2013,21200832,MIN,GSW,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.65,0,4,6,8
64070,2013,2012-13,1610612744,Golden State Warriors,101127,Jarrett Jack,G,SG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.7,16.85,13,4,6,9
64071,2013,2012-13,1610612750,Minnesota Timberwolves,201593,Nikola Pekovic,C,C,02-24-2013,21200832,MIN,GSW,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,7.55,2,4,6,20
64075,2013,2012-13,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.0,17.15,18,4,6,32
64084,2013,2012-13,1610612750,Minnesota Timberwolves,202682,Derrick Williams,F,PF,02-24-2013,21200832,MIN,GSW,Made Shot,True,Reverse Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,4.45,1,4,6,54
64089,2013,2012-13,1610612744,Golden State Warriors,203084,Harrison Barnes,F,SF,02-24-2013,21200832,MIN,GSW,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.0,13.45,8,4,7,6
64094,2013,2012-13,1610612750,Minnesota Timberwolves,201937,Ricky Rubio,G,PG,02-24-2013,21200832,MIN,GSW,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,7.55,2,4,7,19
64098,2013,2012-13,1610612744,Golden State Warriors,201171,Carl Landry,F,PF,02-24-2013,21200832,MIN,GSW,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.6,8.95,6,4,7,37
64105,2013,2012-13,1610612750,Minnesota Timberwolves,202682,Derrick Williams,F,PF,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,3.7,22.55,17,4,7,47
64109,2013,2012-13,1610612744,Golden State Warriors,101127,Jarrett Jack,G,SG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.0,10.75,14,4,8,9
64112,2013,2012-13,1610612750,Minnesota Timberwolves,200826,J.J. Barea,G,PG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.8,6.45,23,4,8,28
64124,2013,2012-13,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,02-24-2013,21200832,MIN,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.3,6.75,22,4,8,44
64135,2013,2012-13,1610612744,Golden State Warriors,101127,Jarrett Jack,G,SG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.4,24.25,19,4,9,0
64139,2013,2012-13,1610612744,Golden State Warriors,101135,David Lee,F,PF,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.6,6.35,5,4,9,22
64145,2013,2012-13,1610612750,Minnesota Timberwolves,203144,Alexey Shved,G,SG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.6,29.65,25,4,9,41
64147,2013,2012-13,1610612744,Golden State Warriors,101135,David Lee,F,PF,02-24-2013,21200832,MIN,GSW,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.9,4.95,2,4,10,1
64154,2013,2012-13,1610612744,Golden State Warriors,101127,Jarrett Jack,G,SG,02-24-2013,21200832,MIN,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.7,28.05,23,4,10,4
