,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
68906,2013,2012-13,1610612740,New Orleans Hornets,203148,Brian Roberts,G,PG,02-20-2013,21200800,CLE,NOH,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.45,1,4,0,3
68920,2013,2012-13,1610612740,New Orleans Hornets,203148,Brian Roberts,G,PG,02-20-2013,21200800,CLE,NOH,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.5,30.15,26,4,0,8
68935,2013,2012-13,1610612740,New Orleans Hornets,201583,Ryan Anderson,F,PF,02-20-2013,21200800,CLE,NOH,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.3,25.75,23,4,0,17
68953,2013,2012-13,1610612740,New Orleans Hornets,203148,Brian Roberts,G,PG,02-20-2013,21200800,CLE,NOH,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,31
68975,2013,2012-13,1610612740,New Orleans Hornets,201583,Ryan Anderson,F,PF,02-20-2013,21200800,CLE,NOH,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.3,29.85,28,4,0,44
68991,2013,2012-13,1610612740,New Orleans Hornets,203148,Brian Roberts,G,PG,02-20-2013,21200800,CLE,NOH,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,7.3,31.05,26,4,1,3
69011,2013,2012-13,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,02-20-2013,21200800,CLE,NOH,Missed Shot,False,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.3,8.25,10,4,1,14
69014,2013,2012-13,1610612740,New Orleans Hornets,203076,Anthony Davis,F,PF,02-20-2013,21200800,CLE,NOH,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,4.95,0,4,1,30
69018,2013,2012-13,1610612740,New Orleans Hornets,203085,Austin Rivers,G,SG,02-20-2013,21200800,CLE,NOH,Missed Shot,False,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-8.0,9.95,9,4,1,32
69033,2013,2012-13,1610612740,New Orleans Hornets,203076,Anthony Davis,F,PF,02-20-2013,21200800,CLE,NOH,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.25,1,4,2,8
