,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
110502,2013,2012-13,1610612740,New Orleans Hornets,202349,Greivis Vasquez,G,PG,01-13-2013,21200549,NYK,NOH,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.25,0,4,0,8
110503,2013,2012-13,1610612752,New York Knicks,203142,Chris Copeland,F,PF,01-13-2013,21200549,NYK,NOH,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,5.65,0,4,0,14
110504,2013,2012-13,1610612740,New Orleans Hornets,202333,Xavier Henry,F,SF,01-13-2013,21200549,NYK,NOH,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.6,14.55,14,4,0,37
110505,2013,2012-13,1610612752,New York Knicks,203142,Chris Copeland,F,PF,01-13-2013,21200549,NYK,NOH,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.7,22.45,24,4,0,51
110506,2013,2012-13,1610612740,New Orleans Hornets,202349,Greivis Vasquez,G,PG,01-13-2013,21200549,NYK,NOH,Missed Shot,False,Running Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-3.6,32.65,27,4,1,15
110507,2013,2012-13,1610612752,New York Knicks,2405,Amar'e Stoudemire,F,PF,01-13-2013,21200549,NYK,NOH,Made Shot,True,Driving Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.75,1,4,1,39
110509,2013,2012-13,1610612740,New Orleans Hornets,203076,Anthony Davis,F,PF,01-13-2013,21200549,NYK,NOH,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.25,1,4,1,54
110513,2013,2012-13,1610612740,New Orleans Hornets,2427,Roger Mason Jr.,G,SG,01-13-2013,21200549,NYK,NOH,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-14.6,13.45,16,4,2,49
110516,2013,2012-13,1610612752,New York Knicks,2546,Carmelo Anthony,F,PF,01-13-2013,21200549,NYK,NOH,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.1,2.85,23,4,3,9
110522,2013,2012-13,1610612752,New York Knicks,2546,Carmelo Anthony,F,PF,01-13-2013,21200549,NYK,NOH,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.5,3.05,16,4,3,32
110532,2013,2012-13,1610612740,New Orleans Hornets,2427,Roger Mason Jr.,G,SG,01-13-2013,21200549,NYK,NOH,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,2.85,23,4,4,3
110533,2013,2012-13,1610612752,New York Knicks,2546,Carmelo Anthony,F,PF,01-13-2013,21200549,NYK,NOH,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.5,9.95,19,4,4,19
110535,2013,2012-13,1610612740,New Orleans Hornets,202333,Xavier Henry,F,SF,01-13-2013,21200549,NYK,NOH,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,6.15,1,4,4,31
110545,2013,2012-13,1610612740,New Orleans Hornets,203076,Anthony Davis,F,PF,01-13-2013,21200549,NYK,NOH,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.0,0.9500000000000002,15,4,4,53
110550,2013,2012-13,1610612752,New York Knicks,2747,JR Smith,G,SG,01-13-2013,21200549,NYK,NOH,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.5,5.25,1,4,5,12
110553,2013,2012-13,1610612740,New Orleans Hornets,202333,Xavier Henry,F,SF,01-13-2013,21200549,NYK,NOH,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.6,20.65,18,4,5,25
