,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
132493,2013,2012-13,1610612752,New York Knicks,2747,JR Smith,G,SG,12-26-2012,21200421,PHX,NYK,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.7,7.85,20,4,0,0
132506,2013,2012-13,1610612752,New York Knicks,2747,JR Smith,G,SG,12-26-2012,21200421,PHX,NYK,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.2,23.55,18,4,0,10
132555,2013,2012-13,1610612752,New York Knicks,2747,JR Smith,G,SG,12-26-2012,21200421,PHX,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.2,26.95,21,4,0,53
132564,2013,2012-13,1610612756,Phoenix Suns,200769,Shannon Brown,G,SG,12-26-2012,21200421,PHX,NYK,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.9,13.05,19,4,1,16
132588,2013,2012-13,1610612756,Phoenix Suns,2742,Sebastian Telfair,G,PG,12-26-2012,21200421,PHX,NYK,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,5.25,1,4,1,29
132597,2013,2012-13,1610612752,New York Knicks,467,Jason Kidd,G,SG,12-26-2012,21200421,PHX,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-4.0,27.25,22,4,1,35
132608,2013,2012-13,1610612756,Phoenix Suns,2742,Sebastian Telfair,G,PG,12-26-2012,21200421,PHX,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.2,21.15,26,4,2,5
132622,2013,2012-13,1610612756,Phoenix Suns,201162,Jared Dudley,F,SF,12-26-2012,21200421,PHX,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.1,21.45,25,4,2,24
132639,2013,2012-13,1610612752,New York Knicks,203142,Chris Copeland,F,PF,12-26-2012,21200421,PHX,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.5,20.85,19,4,2,52
132645,2013,2012-13,1610612756,Phoenix Suns,200769,Shannon Brown,G,SG,12-26-2012,21200421,PHX,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.4,26.35,24,4,3,19
132650,2013,2012-13,1610612752,New York Knicks,203142,Chris Copeland,F,PF,12-26-2012,21200421,PHX,NYK,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.1,11.85,21,4,3,34
132654,2013,2012-13,1610612756,Phoenix Suns,200782,P.J. Tucker,G,SG,12-26-2012,21200421,PHX,NYK,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.3,13.85,8,4,3,49
132672,2013,2012-13,1610612752,New York Knicks,467,Jason Kidd,G,SG,12-26-2012,21200421,PHX,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.1,26.65,24,4,4,10
132679,2013,2012-13,1610612752,New York Knicks,2747,JR Smith,G,SG,12-26-2012,21200421,PHX,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.0,21.65,26,4,4,23
132690,2013,2012-13,1610612752,New York Knicks,2747,JR Smith,G,SG,12-26-2012,21200421,PHX,NYK,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.05,1,4,4,51
132745,2013,2012-13,1610612752,New York Knicks,2199,Tyson Chandler,C,C,12-26-2012,21200421,PHX,NYK,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,4.65,0,4,5,41
132774,2013,2012-13,1610612752,New York Knicks,203142,Chris Copeland,F,PF,12-26-2012,21200421,PHX,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.5,24.65,25,4,5,48
132780,2013,2012-13,1610612756,Phoenix Suns,201162,Jared Dudley,F,SF,12-26-2012,21200421,PHX,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.3,23.65,24,4,6,12
132787,2013,2012-13,1610612752,New York Knicks,467,Jason Kidd,G,SG,12-26-2012,21200421,PHX,NYK,Missed Shot,False,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.2,10.75,8,4,6,35
132791,2013,2012-13,1610612756,Phoenix Suns,201563,Michael Beasley,F,SF,12-26-2012,21200421,PHX,NYK,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.0,10.55,8,4,7,0
