,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
152893,2013,2012-13,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,12-09-2012,21200294,OKC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.2,24.75,24,4,0,4
152903,2013,2012-13,1610612754,Indiana Pacers,202331,Paul George,F,SF,12-09-2012,21200294,OKC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.9,30.15,24,4,0,48
152910,2013,2012-13,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,12-09-2012,21200294,OKC,IND,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-14.6,15.45,17,4,1,2
152914,2013,2012-13,1610612754,Indiana Pacers,101133,Ian Mahinmi,C,C,12-09-2012,21200294,OKC,IND,Missed Shot,False,Running Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.2,6.45,3,4,1,20
152917,2013,2012-13,1610612760,Oklahoma City Thunder,201586,Serge Ibaka,F,PF,12-09-2012,21200294,OKC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.2,29.85,24,4,1,40
152933,2013,2012-13,1610612754,Indiana Pacers,202331,Paul George,F,SF,12-09-2012,21200294,OKC,IND,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.95,1,4,2,6
152937,2013,2012-13,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-09-2012,21200294,OKC,IND,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.8,4.25,11,4,2,17
152943,2013,2012-13,1610612754,Indiana Pacers,201588,George Hill,G,PG,12-09-2012,21200294,OKC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.8,29.15,24,4,2,33
152945,2013,2012-13,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,12-09-2012,21200294,OKC,IND,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.9,15.75,13,4,2,59
152951,2013,2012-13,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,12-09-2012,21200294,OKC,IND,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-6.5,17.55,13,4,3,28
152957,2013,2012-13,1610612754,Indiana Pacers,201579,Roy Hibbert,C,C,12-09-2012,21200294,OKC,IND,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.15,0,4,3,45
152958,2013,2012-13,1610612760,Oklahoma City Thunder,2755,Kevin Martin,G,SG,12-09-2012,21200294,OKC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.1,5.05,16,4,3,58
152963,2013,2012-13,1610612754,Indiana Pacers,201588,George Hill,G,PG,12-09-2012,21200294,OKC,IND,Missed Shot,False,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.4,11.95,6,4,4,19
152964,2013,2012-13,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-09-2012,21200294,OKC,IND,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.7,16.75,13,4,4,36
152969,2013,2012-13,1610612754,Indiana Pacers,202331,Paul George,F,SF,12-09-2012,21200294,OKC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.4,8.65,13,4,4,53
152970,2013,2012-13,1610612760,Oklahoma City Thunder,201586,Serge Ibaka,F,PF,12-09-2012,21200294,OKC,IND,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.55,1,4,5,8
152974,2013,2012-13,1610612754,Indiana Pacers,202331,Paul George,F,SF,12-09-2012,21200294,OKC,IND,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.5,24.15,25,4,5,26
152975,2013,2012-13,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-09-2012,21200294,OKC,IND,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.3,4.65,12,4,5,43
152982,2013,2012-13,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-09-2012,21200294,OKC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.2,8.65,7,4,5,53
152984,2013,2012-13,1610612754,Indiana Pacers,2561,David West,F,PF,12-09-2012,21200294,OKC,IND,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,9.75,4,4,6,12
152989,2013,2012-13,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,12-09-2012,21200294,OKC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,9.8,27.75,24,4,6,35
152993,2013,2012-13,1610612754,Indiana Pacers,101133,Ian Mahinmi,C,C,12-09-2012,21200294,OKC,IND,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.0,6.65,5,4,6,56
152999,2013,2012-13,1610612754,Indiana Pacers,101133,Ian Mahinmi,C,C,12-09-2012,21200294,OKC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.2,17.65,12,4,7,11
153018,2013,2012-13,1610612760,Oklahoma City Thunder,201953,Eric Maynor,G,PG-SG,12-09-2012,21200294,OKC,IND,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-4.5,23.95,19,4,8,9
153020,2013,2012-13,1610612754,Indiana Pacers,101123,Gerald Green,F,SF,12-09-2012,21200294,OKC,IND,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.9,11.05,6,4,8,25
153021,2013,2012-13,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-09-2012,21200294,OKC,IND,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.5,5.25,10,4,8,45
153025,2013,2012-13,1610612754,Indiana Pacers,201588,George Hill,G,PG,12-09-2012,21200294,OKC,IND,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,5.95,2,4,9,5
153028,2013,2012-13,1610612754,Indiana Pacers,101133,Ian Mahinmi,C,C,12-09-2012,21200294,OKC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,9.45,4,4,9,7
153030,2013,2012-13,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-09-2012,21200294,OKC,IND,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.9,11.05,15,4,9,26
