,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
130215,2013,2012-13,1610612753,Orlando Magic,202970,Gustavo Ayon,C,C,12-28-2012,21200425,WAS,ORL,Made Shot,True,Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,8.65,3,4,0,24
130241,2013,2012-13,1610612753,Orlando Magic,201167,Arron Afflalo,F,SF,12-28-2012,21200425,WAS,ORL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,4.15,1,4,0,41
130264,2013,2012-13,1610612764,Washington Wizards,2403,Nene,F,PF,12-28-2012,21200425,WAS,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.4,24.45,19,4,1,13
130273,2013,2012-13,1610612753,Orlando Magic,2749,Jameer Nelson,G,PG,12-28-2012,21200425,WAS,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.1,12.45,7,4,1,32
130289,2013,2012-13,1610612753,Orlando Magic,200755,JJ Redick,G,SG,12-28-2012,21200425,WAS,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.4,21.15,27,4,1,54
130295,2013,2012-13,1610612753,Orlando Magic,200755,JJ Redick,G,SG,12-28-2012,21200425,WAS,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.3,25.75,26,4,2,0
130305,2013,2012-13,1610612764,Washington Wizards,2403,Nene,F,PF,12-28-2012,21200425,WAS,ORL,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-6.9,17.65,14,4,2,14
130324,2013,2012-13,1610612764,Washington Wizards,202348,Jordan Crawford,G,SG,12-28-2012,21200425,WAS,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.4,25.25,26,4,2,39
130349,2013,2012-13,1610612753,Orlando Magic,201167,Arron Afflalo,F,SF,12-28-2012,21200425,WAS,ORL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,4.75,1,4,3,5
130355,2013,2012-13,1610612764,Washington Wizards,101110,Martell Webster,F,SF,12-28-2012,21200425,WAS,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.1,29.95,25,4,3,15
130359,2013,2012-13,1610612753,Orlando Magic,200755,JJ Redick,G,SG,12-28-2012,21200425,WAS,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.7,30.45,26,4,3,41
130367,2013,2012-13,1610612764,Washington Wizards,202338,Kevin Seraphin,C,C,12-28-2012,21200425,WAS,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.0,4.15,4,4,3,51
130386,2013,2012-13,1610612764,Washington Wizards,202348,Jordan Crawford,G,SG,12-28-2012,21200425,WAS,ORL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,5.05,0,4,4,15
130395,2013,2012-13,1610612753,Orlando Magic,201167,Arron Afflalo,F,SF,12-28-2012,21200425,WAS,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.7,17.95,15,4,4,34
130400,2013,2012-13,1610612764,Washington Wizards,2403,Nene,F,PF,12-28-2012,21200425,WAS,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.1,4.65,9,4,4,46
130406,2013,2012-13,1610612753,Orlando Magic,200755,JJ Redick,G,SG,12-28-2012,21200425,WAS,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.5,4.25,23,4,5,12
130411,2013,2012-13,1610612764,Washington Wizards,202338,Kevin Seraphin,C,C,12-28-2012,21200425,WAS,ORL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.65,0,4,5,25
130421,2013,2012-13,1610612753,Orlando Magic,200755,JJ Redick,G,SG,12-28-2012,21200425,WAS,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.4,26.05,25,4,5,33
