,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
46132,2013,2012-13,1610612756,Phoenix Suns,201609,Goran Dragic,G,PG,03-11-2013,21200946,PHX,DEN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.8,28.05,25,4,0,0
46133,2013,2012-13,1610612743,Denver Nuggets,201951,Ty Lawson,G,PG,03-11-2013,21200946,PHX,DEN,Made Shot,True,Jump Bank Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.8,36.25,35,4,0,5
46134,2013,2012-13,1610612756,Phoenix Suns,202325,Wesley Johnson,F,SF,03-11-2013,21200946,PHX,DEN,Made Shot,True,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.9,6.45,3,4,0,27
46135,2013,2012-13,1610612743,Denver Nuggets,2738,Andre Iguodala,G,SG,03-11-2013,21200946,PHX,DEN,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.4,23.35,18,4,0,34
46136,2013,2012-13,1610612756,Phoenix Suns,202694,Marcus Morris Sr.,F,PF-SF,03-11-2013,21200946,PHX,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.5,22.75,25,4,0,57
46137,2013,2012-13,1610612743,Denver Nuggets,1889,Andre Miller,G,PG,03-11-2013,21200946,PHX,DEN,Made Shot,True,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.6,6.65,5,4,1,7
46140,2013,2012-13,1610612743,Denver Nuggets,2738,Andre Iguodala,G,SG,03-11-2013,21200946,PHX,DEN,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,6.15,1,4,2,12
46146,2013,2012-13,1610612756,Phoenix Suns,202325,Wesley Johnson,F,SF,03-11-2013,21200946,PHX,DEN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-20.1,9.95,20,4,2,58
46149,2013,2012-13,1610612743,Denver Nuggets,2738,Andre Iguodala,G,SG,03-11-2013,21200946,PHX,DEN,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.55,0,4,3,8
46150,2013,2012-13,1610612743,Denver Nuggets,201951,Ty Lawson,G,PG,03-11-2013,21200946,PHX,DEN,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.3,7.45,3,4,3,10
46152,2013,2012-13,1610612756,Phoenix Suns,201609,Goran Dragic,G,PG,03-11-2013,21200946,PHX,DEN,Missed Shot,False,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.7,16.45,19,4,3,30
46154,2013,2012-13,1610612743,Denver Nuggets,201585,Kosta Koufos,C,C,03-11-2013,21200946,PHX,DEN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,5.25,2,4,3,50
46155,2013,2012-13,1610612743,Denver Nuggets,201568,Danilo Gallinari,F,SF,03-11-2013,21200946,PHX,DEN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.35,1,4,3,52
46156,2013,2012-13,1610612756,Phoenix Suns,200782,P.J. Tucker,G,SG,03-11-2013,21200946,PHX,DEN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.95,1,4,3,58
46160,2013,2012-13,1610612743,Denver Nuggets,1889,Andre Miller,G,PG,03-11-2013,21200946,PHX,DEN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,6.15,1,4,4,15
46161,2013,2012-13,1610612756,Phoenix Suns,202325,Wesley Johnson,F,SF,03-11-2013,21200946,PHX,DEN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.7,30.25,25,4,4,20
46166,2013,2012-13,1610612743,Denver Nuggets,201951,Ty Lawson,G,PG,03-11-2013,21200946,PHX,DEN,Missed Shot,False,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.4,12.35,10,4,4,33
46167,2013,2012-13,1610612756,Phoenix Suns,202325,Wesley Johnson,F,SF,03-11-2013,21200946,PHX,DEN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.3,26.55,21,4,4,50
46168,2013,2012-13,1610612743,Denver Nuggets,201568,Danilo Gallinari,F,SF,03-11-2013,21200946,PHX,DEN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.7,22.75,20,4,5,7
46172,2013,2012-13,1610612743,Denver Nuggets,1889,Andre Miller,G,PG,03-11-2013,21200946,PHX,DEN,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.35,1,4,5,38
46173,2013,2012-13,1610612756,Phoenix Suns,202325,Wesley Johnson,F,SF,03-11-2013,21200946,PHX,DEN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-20.7,6.75,20,4,5,48
46174,2013,2012-13,1610612743,Denver Nuggets,201951,Ty Lawson,G,PG,03-11-2013,21200946,PHX,DEN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.65,0,4,6,5
46179,2013,2012-13,1610612743,Denver Nuggets,201951,Ty Lawson,G,PG,03-11-2013,21200946,PHX,DEN,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,6.45,1,4,6,26
46184,2013,2012-13,1610612743,Denver Nuggets,201580,JaVale McGee,C,C,03-11-2013,21200946,PHX,DEN,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,6.15,1,4,6,48
46187,2013,2012-13,1610612743,Denver Nuggets,201580,JaVale McGee,C,C,03-11-2013,21200946,PHX,DEN,Missed Shot,False,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,7.55,2,4,6,51
46190,2013,2012-13,1610612743,Denver Nuggets,201147,Corey Brewer,F,SF,03-11-2013,21200946,PHX,DEN,Missed Shot,False,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.9,7.75,4,4,6,57
46196,2013,2012-13,1610612743,Denver Nuggets,201580,JaVale McGee,C,C,03-11-2013,21200946,PHX,DEN,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.65,1,4,7,27
46204,2013,2012-13,1610612743,Denver Nuggets,1889,Andre Miller,G,PG,03-11-2013,21200946,PHX,DEN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.0,16.25,11,4,7,55
