,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
151885,2013,2012-13,1610612758,Sacramento Kings,202690,Jimmer Fredette,G,SG,12-10-2012,21200302,DAL,SAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,5.25,2,4,0,17
151890,2013,2012-13,1610612742,Dallas Mavericks,203099,Jared Cunningham,G,SG,12-10-2012,21200302,DAL,SAC,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.2,15.95,14,4,0,30
151896,2013,2012-13,1610612742,Dallas Mavericks,201958,Rodrigue Beaubois,G,PG,12-10-2012,21200302,DAL,SAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.35,0,4,0,50
151897,2013,2012-13,1610612758,Sacramento Kings,202738,Isaiah Thomas,G,PG,12-10-2012,21200302,DAL,SAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.35,0,4,0,56
151901,2013,2012-13,1610612758,Sacramento Kings,203080,Thomas Robinson,F,PF,12-10-2012,21200302,DAL,SAC,Missed Shot,False,Driving Jump shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,8.25,3,4,1,1
151904,2013,2012-13,1610612758,Sacramento Kings,202690,Jimmer Fredette,G,SG,12-10-2012,21200302,DAL,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.7,28.85,24,4,1,6
151913,2013,2012-13,1610612758,Sacramento Kings,202738,Isaiah Thomas,G,PG,12-10-2012,21200302,DAL,SAC,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.35,0,4,1,26
151916,2013,2012-13,1610612758,Sacramento Kings,202738,Isaiah Thomas,G,PG,12-10-2012,21200302,DAL,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.2,5.35,22,4,1,35
151920,2013,2012-13,1610612742,Dallas Mavericks,203099,Jared Cunningham,G,SG,12-10-2012,21200302,DAL,SAC,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.25,0,4,1,50
151923,2013,2012-13,1610612758,Sacramento Kings,201949,James Johnson,F,SF,12-10-2012,21200302,DAL,SAC,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.25,1,4,1,56
151926,2013,2012-13,1610612742,Dallas Mavericks,203099,Jared Cunningham,G,SG,12-10-2012,21200302,DAL,SAC,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.85,0,4,2,16
151938,2013,2012-13,1610612758,Sacramento Kings,202738,Isaiah Thomas,G,PG,12-10-2012,21200302,DAL,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.3,25.05,25,4,2,32
151940,2013,2012-13,1610612742,Dallas Mavericks,201958,Rodrigue Beaubois,G,PG,12-10-2012,21200302,DAL,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.2,4.95,22,4,2,55
151941,2013,2012-13,1610612758,Sacramento Kings,101128,Francisco Garcia,G,SG-SF,12-10-2012,21200302,DAL,SAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-6.9,19.55,15,4,3,19
151952,2013,2012-13,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,12-10-2012,21200302,DAL,SAC,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.05,0,4,3,25
151953,2013,2012-13,1610612758,Sacramento Kings,202738,Isaiah Thomas,G,PG,12-10-2012,21200302,DAL,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.6,6.15,3,4,3,26
151960,2013,2012-13,1610612742,Dallas Mavericks,201954,Darren Collison,G,PG,12-10-2012,21200302,DAL,SAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,6.15,0,4,3,52
151961,2013,2012-13,1610612758,Sacramento Kings,101128,Francisco Garcia,G,SG-SF,12-10-2012,21200302,DAL,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.1,5.85,22,4,4,15
151968,2013,2012-13,1610612742,Dallas Mavericks,203108,Bernard James,C,C,12-10-2012,21200302,DAL,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,7.25,2,4,4,22
