,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
160499,2013,2012-13,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.9,29.65,28,4,0,0
160500,2013,2012-13,1610612761,Toronto Raptors,101161,Amir Johnson,F,PF,12-03-2012,21200248,DEN,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.0,23.65,27,4,0,7
160503,2013,2012-13,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,12-03-2012,21200248,DEN,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.6,21.65,27,4,0,13
160505,2013,2012-13,1610612761,Toronto Raptors,200745,Andrea Bargnani,F,PF,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.8,20.65,25,4,0,39
160506,2013,2012-13,1610612743,Denver Nuggets,1889,Andre Miller,G,PG,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.9,4.75,23,4,0,48
160508,2013,2012-13,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.2,5.25,3,4,1,7
160510,2013,2012-13,1610612743,Denver Nuggets,201951,Ty Lawson,G,PG,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.9,4.95,2,4,1,31
160511,2013,2012-13,1610612761,Toronto Raptors,203082,Terrence Ross,G,SG,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.9,6.75,23,4,1,45
160512,2013,2012-13,1610612743,Denver Nuggets,201951,Ty Lawson,G,PG,12-03-2012,21200248,DEN,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.6,11.95,24,4,2,1
160515,2013,2012-13,1610612761,Toronto Raptors,203082,Terrence Ross,G,SG,12-03-2012,21200248,DEN,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.7,19.85,26,4,2,38
160517,2013,2012-13,1610612761,Toronto Raptors,202334,Ed Davis,C,C-PF,12-03-2012,21200248,DEN,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,4.65,0,4,3,9
160518,2013,2012-13,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.0,10.05,4,4,3,12
160529,2013,2012-13,1610612761,Toronto Raptors,202334,Ed Davis,C,C-PF,12-03-2012,21200248,DEN,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,5.05,2,4,4,7
160534,2013,2012-13,1610612743,Denver Nuggets,2738,Andre Iguodala,G,SG,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.7,12.75,17,4,4,18
160535,2013,2012-13,1610612761,Toronto Raptors,200745,Andrea Bargnani,F,PF,12-03-2012,21200248,DEN,TOR,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.4,4.45,2,4,4,42
160536,2013,2012-13,1610612743,Denver Nuggets,201568,Danilo Gallinari,F,SF,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.9,27.65,25,4,4,51
160539,2013,2012-13,1610612761,Toronto Raptors,200745,Andrea Bargnani,F,PF,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.7,31.25,26,4,5,4
160540,2013,2012-13,1610612743,Denver Nuggets,201951,Ty Lawson,G,PG,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,7.15,1,4,5,11
160541,2013,2012-13,1610612761,Toronto Raptors,203082,Terrence Ross,G,SG,12-03-2012,21200248,DEN,TOR,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.25,0,4,5,31
160544,2013,2012-13,1610612743,Denver Nuggets,201568,Danilo Gallinari,F,SF,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.6,5.25,2,4,5,35
160554,2013,2012-13,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,12-03-2012,21200248,DEN,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,5.25,2,4,5,52
160562,2013,2012-13,1610612743,Denver Nuggets,202702,Kenneth Faried,F,PF,12-03-2012,21200248,DEN,TOR,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,4.65,0,4,6,7
160564,2013,2012-13,1610612743,Denver Nuggets,201951,Ty Lawson,G,PG,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,5.35,1,4,6,8
160569,2013,2012-13,1610612761,Toronto Raptors,101249,John Lucas III,G,PG,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.0,20.95,25,4,6,16
160574,2013,2012-13,1610612743,Denver Nuggets,1889,Andre Miller,G,PG,12-03-2012,21200248,DEN,TOR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.4,12.45,18,4,6,35
160590,2013,2012-13,1610612743,Denver Nuggets,202702,Kenneth Faried,F,PF,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.95,1,4,7,14
160592,2013,2012-13,1610612743,Denver Nuggets,201585,Kosta Koufos,C,C,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,5.85,1,4,7,15
160600,2013,2012-13,1610612761,Toronto Raptors,200745,Andrea Bargnani,F,PF,12-03-2012,21200248,DEN,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.5,22.05,16,4,7,36
160602,2013,2012-13,1610612743,Denver Nuggets,1889,Andre Miller,G,PG,12-03-2012,21200248,DEN,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,6.65,1,4,7,54
160605,2013,2012-13,1610612761,Toronto Raptors,202334,Ed Davis,C,C-PF,12-03-2012,21200248,DEN,TOR,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.55,0,4,8,13
