,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
38859,2013,2012-13,1610612761,Toronto Raptors,202685,Jonas Valanciunas,C,C,03-17-2013,21200985,TOR,MIA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.6,6.35,2,4,0,54
38863,2013,2012-13,1610612748,Miami Heat,2592,James Jones,F,SF,03-17-2013,21200985,TOR,MIA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.5,6.35,20,4,1,10
38869,2013,2012-13,1610612761,Toronto Raptors,203082,Terrence Ross,G,SG,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.2,17.85,18,4,1,28
38871,2013,2012-13,1610612761,Toronto Raptors,101187,Alan Anderson,F,SF,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.3,9.35,15,4,1,36
38873,2013,2012-13,1610612748,Miami Heat,1740,Rashard Lewis,F,PF,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.3,10.55,15,4,1,56
38875,2013,2012-13,1610612761,Toronto Raptors,203082,Terrence Ross,G,SG,03-17-2013,21200985,TOR,MIA,Made Shot,True,Running Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.15,1,4,2,6
38888,2013,2012-13,1610612761,Toronto Raptors,101187,Alan Anderson,F,SF,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.1,5.05,22,4,2,26
38893,2013,2012-13,1610612748,Miami Heat,1740,Rashard Lewis,F,PF,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.4,9.95,16,4,2,39
38895,2013,2012-13,1610612761,Toronto Raptors,202685,Jonas Valanciunas,C,C,03-17-2013,21200985,TOR,MIA,Made Shot,True,Jump Hook Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.6,5.65,8,4,3,7
38902,2013,2012-13,1610612748,Miami Heat,2592,James Jones,F,SF,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.4,27.75,24,4,3,30
38907,2013,2012-13,1610612761,Toronto Raptors,101249,John Lucas III,G,PG,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.0,23.95,18,4,3,39
38939,2013,2012-13,1610612761,Toronto Raptors,200752,Rudy Gay,F,SF,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.8,4.75,13,4,4,16
38943,2013,2012-13,1610612748,Miami Heat,2203,Shane Battier,F,SF,03-17-2013,21200985,TOR,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,5.85,22,4,4,39
38946,2013,2012-13,1610612761,Toronto Raptors,200752,Rudy Gay,F,SF,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.1,18.95,18,4,4,51
38950,2013,2012-13,1610612748,Miami Heat,951,Ray Allen,G,SG,03-17-2013,21200985,TOR,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.3,5.95,23,4,5,10
38954,2013,2012-13,1610612761,Toronto Raptors,203082,Terrence Ross,G,SG,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.3,6.15,15,4,5,21
38971,2013,2012-13,1610612761,Toronto Raptors,200752,Rudy Gay,F,SF,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.1,18.95,17,4,5,48
38979,2013,2012-13,1610612748,Miami Heat,951,Ray Allen,G,SG,03-17-2013,21200985,TOR,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.9,18.45,24,4,6,8
38991,2013,2012-13,1610612761,Toronto Raptors,101187,Alan Anderson,F,SF,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.5,5.85,17,4,6,24
38995,2013,2012-13,1610612748,Miami Heat,951,Ray Allen,G,SG,03-17-2013,21200985,TOR,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.4,16.25,24,4,6,38
38998,2013,2012-13,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.1,7.85,17,4,6,55
39024,2013,2012-13,1610612761,Toronto Raptors,203082,Terrence Ross,G,SG,03-17-2013,21200985,TOR,MIA,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.4,11.85,9,4,7,28
39046,2013,2012-13,1610612761,Toronto Raptors,101187,Alan Anderson,F,SF,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.6,23.05,25,4,7,50
39053,2013,2012-13,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.7,12.15,6,4,7,57
39056,2013,2012-13,1610612761,Toronto Raptors,101249,John Lucas III,G,PG,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.4,7.15,17,4,8,6
39059,2013,2012-13,1610612761,Toronto Raptors,203082,Terrence Ross,G,SG,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.2,19.45,24,4,8,14
39072,2013,2012-13,1610612748,Miami Heat,2365,Chris Andersen,C,C,03-17-2013,21200985,TOR,MIA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.15,0,4,8,29
39076,2013,2012-13,1610612761,Toronto Raptors,200752,Rudy Gay,F,SF,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.6,5.25,22,4,8,53
39081,2013,2012-13,1610612748,Miami Heat,951,Ray Allen,G,SG,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.2,21.25,24,4,9,13
39093,2013,2012-13,1610612748,Miami Heat,951,Ray Allen,G,SG,03-17-2013,21200985,TOR,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.1,27.15,24,4,9,46
39100,2013,2012-13,1610612761,Toronto Raptors,101249,John Lucas III,G,PG,03-17-2013,21200985,TOR,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.8,23.65,24,4,10,6
39104,2013,2012-13,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,03-17-2013,21200985,TOR,MIA,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,6.15,0,4,10,22
