,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
121651,2014,2013-14,1610612737,Atlanta Hawks,201952,Jeff Teague,G,PG,01-04-2014,21300492,CHI,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,7.6,29.85,25,4,0,0
121654,2014,2013-14,1610612737,Atlanta Hawks,201952,Jeff Teague,G,PG,01-04-2014,21300492,CHI,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.3,23.85,25,4,0,4
121675,2014,2013-14,1610612737,Atlanta Hawks,200794,Paul Millsap,F,PF,01-04-2014,21300492,CHI,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.1,24.25,25,4,0,11
121680,2014,2013-14,1610612741,Chicago Bulls,202710,Jimmy Butler,G,SG,01-04-2014,21300492,CHI,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.2,23.65,18,4,0,22
121682,2014,2013-14,1610612741,Chicago Bulls,2736,Luol Deng,F,SF,01-04-2014,21300492,CHI,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.3,18.35,18,4,0,39
121705,2014,2013-14,1610612741,Chicago Bulls,2399,Mike Dunleavy,F,SF,01-04-2014,21300492,CHI,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.1,22.85,21,4,1,21
121715,2014,2013-14,1610612737,Atlanta Hawks,2594,Kyle Korver,G,SG,01-04-2014,21300492,CHI,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.0,21.15,24,4,1,43
121720,2014,2013-14,1610612737,Atlanta Hawks,203118,Mike Scott,F,PF,01-04-2014,21300492,CHI,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.8,4.45,10,4,1,47
121751,2014,2013-14,1610612741,Chicago Bulls,201571,D.J. Augustin,G,PG,01-04-2014,21300492,CHI,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.0,31.85,26,4,2,22
121755,2014,2013-14,1610612737,Atlanta Hawks,201952,Jeff Teague,G,PG,01-04-2014,21300492,CHI,ATL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.35,1,4,2,41
121760,2014,2013-14,1610612737,Atlanta Hawks,203118,Mike Scott,F,PF,01-04-2014,21300492,CHI,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.2,27.75,24,4,3,2
121763,2014,2013-14,1610612741,Chicago Bulls,201959,Taj Gibson,F,PF,01-04-2014,21300492,CHI,ATL,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,5.85,2,4,3,15
