,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
50567,2014,2013-14,1610612737,Atlanta Hawks,203118,Mike Scott,F,PF,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.3,25.25,26,4,0,3
50570,2014,2013-14,1610612744,Golden State Warriors,202348,Jordan Crawford,G,SG-PG,03-07-2014,21300927,GSW,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,7.75,2,4,0,11
50583,2014,2013-14,1610612737,Atlanta Hawks,201858,Cartier Martin,F,SF,03-07-2014,21300927,GSW,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.95,2,4,0,30
50587,2014,2013-14,1610612744,Golden State Warriors,201578,Marreese Speights,C,C,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.3,18.65,18,4,0,37
50593,2014,2013-14,1610612737,Atlanta Hawks,201858,Cartier Martin,F,SF,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.8,24.15,26,4,0,54
50594,2014,2013-14,1610612744,Golden State Warriors,2581,Steve Blake,G,PG,03-07-2014,21300927,GSW,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.4,6.75,23,4,1,8
50597,2014,2013-14,1610612737,Atlanta Hawks,203544,Pero Antic,C,C,03-07-2014,21300927,GSW,ATL,Made Shot,True,Step Back Jump shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,11.25,23,4,1,21
50605,2014,2013-14,1610612744,Golden State Warriors,203084,Harrison Barnes,F,SF,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.3,6.35,1,4,5,23
50616,2014,2013-14,1610612737,Atlanta Hawks,203118,Mike Scott,F,PF,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.6,7.55,23,4,1,51
50621,2014,2013-14,1610612744,Golden State Warriors,202348,Jordan Crawford,G,SG-PG,03-07-2014,21300927,GSW,ATL,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.3,11.65,7,4,2,6
50625,2014,2013-14,1610612737,Atlanta Hawks,203471,Dennis Schroder,G,PG,03-07-2014,21300927,GSW,ATL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.9,6.65,23,4,2,29
50630,2014,2013-14,1610612744,Golden State Warriors,203110,Draymond Green,F,SF,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.5,26.05,25,4,2,42
50652,2014,2013-14,1610612737,Atlanta Hawks,203118,Mike Scott,F,PF,03-07-2014,21300927,GSW,ATL,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,5.55,1,4,2,56
50658,2014,2013-14,1610612744,Golden State Warriors,201578,Marreese Speights,C,C,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.4,7.55,5,4,3,0
50660,2014,2013-14,1610612737,Atlanta Hawks,203471,Dennis Schroder,G,PG,03-07-2014,21300927,GSW,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.85,0,4,3,16
50685,2014,2013-14,1610612744,Golden State Warriors,201578,Marreese Speights,C,C,03-07-2014,21300927,GSW,ATL,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,8.95,3,4,3,57
50690,2014,2013-14,1610612737,Atlanta Hawks,203544,Pero Antic,C,C,03-07-2014,21300927,GSW,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.75,1,4,4,11
50697,2014,2013-14,1610612737,Atlanta Hawks,203471,Dennis Schroder,G,PG,03-07-2014,21300927,GSW,ATL,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.25,1,4,4,35
50721,2014,2013-14,1610612744,Golden State Warriors,979,Jermaine O'Neal,F,PF,03-07-2014,21300927,GSW,ATL,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,8.55,3,4,4,51
50726,2014,2013-14,1610612737,Atlanta Hawks,202714,Shelvin Mack,G,PG,03-07-2014,21300927,GSW,ATL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.1,21.25,19,4,5,8
50730,2014,2013-14,1610612744,Golden State Warriors,202348,Jordan Crawford,G,SG-PG,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.0,9.75,4,4,5,24
50732,2014,2013-14,1610612737,Atlanta Hawks,2594,Kyle Korver,G,SG,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.7,30.95,25,4,5,35
50739,2014,2013-14,1610612737,Atlanta Hawks,202714,Shelvin Mack,G,PG,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.5,5.85,23,4,5,48
50740,2014,2013-14,1610612744,Golden State Warriors,203110,Draymond Green,F,SF,03-07-2014,21300927,GSW,ATL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.4,26.35,26,4,6,9
50744,2014,2013-14,1610612737,Atlanta Hawks,200794,Paul Millsap,F,PF,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.8,13.45,8,4,6,27
50755,2014,2013-14,1610612737,Atlanta Hawks,201952,Jeff Teague,G,PG,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.2,30.75,25,4,6,46
50783,2014,2013-14,1610612737,Atlanta Hawks,200794,Paul Millsap,F,PF,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.4,16.45,11,4,7,27
50786,2014,2013-14,1610612744,Golden State Warriors,203110,Draymond Green,F,SF,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.5,23.65,24,4,7,41
50803,2014,2013-14,1610612744,Golden State Warriors,2738,Andre Iguodala,F,SF,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.9,8.85,4,4,8,10
50814,2014,2013-14,1610612744,Golden State Warriors,202348,Jordan Crawford,G,SG-PG,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-4.7,14.85,10,4,8,34
50825,2014,2013-14,1610612737,Atlanta Hawks,200794,Paul Millsap,F,PF,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.5,30.75,25,4,8,55
50834,2014,2013-14,1610612744,Golden State Warriors,2581,Steve Blake,G,PG,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,8.2,29.85,25,4,9,8
50850,2014,2013-14,1610612744,Golden State Warriors,979,Jermaine O'Neal,F,PF,03-07-2014,21300927,GSW,ATL,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-5.8,15.45,11,4,9,45
