,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
198884,2014,2013-14,1610612738,Boston Celtics,201145,Jeff Green,F,SF,11-01-2013,21300024,BOS,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,-18.2,55.85,53,4,0,0
198891,2014,2013-14,1610612738,Boston Celtics,201584,Courtney Lee,G,SG,11-01-2013,21300024,BOS,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,13.05,24,4,0,4
198897,2014,2013-14,1610612749,Milwaukee Bucks,2585,Zaza Pachulia,C,C,11-01-2013,21300024,BOS,MIL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.95,0,4,0,15
198899,2014,2013-14,1610612738,Boston Celtics,201584,Courtney Lee,G,SG,11-01-2013,21300024,BOS,MIL,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.1,5.85,3,4,0,24
198921,2014,2013-14,1610612738,Boston Celtics,101138,Brandon Bass,F,PF,11-01-2013,21300024,BOS,MIL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.55,1,4,0,44
198926,2014,2013-14,1610612749,Milwaukee Bucks,2406,Caron Butler,F,SF,11-01-2013,21300024,BOS,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.5,30.25,25,4,1,5
198930,2014,2013-14,1610612738,Boston Celtics,2222,Gerald Wallace,F,SF,11-01-2013,21300024,BOS,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.3,30.75,25,4,1,26
198937,2014,2013-14,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,11-01-2013,21300024,BOS,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.6,17.05,25,4,1,44
198941,2014,2013-14,1610612749,Milwaukee Bucks,203489,Nate Wolters,G,PG,11-01-2013,21300024,BOS,MIL,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.0,6.75,5,4,1,47
198943,2014,2013-14,1610612738,Boston Celtics,101138,Brandon Bass,F,PF,11-01-2013,21300024,BOS,MIL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.7,20.15,17,4,2,0
198945,2014,2013-14,1610612749,Milwaukee Bucks,203089,John Henson,F,PF,11-01-2013,21300024,BOS,MIL,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,7.8,6.95,7,4,2,21
198974,2014,2013-14,1610612738,Boston Celtics,2222,Gerald Wallace,F,SF,11-01-2013,21300024,BOS,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.4,25.85,24,4,3,19
198979,2014,2013-14,1610612738,Boston Celtics,101138,Brandon Bass,F,PF,11-01-2013,21300024,BOS,MIL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-5.3,22.05,17,4,3,31
198983,2014,2013-14,1610612749,Milwaukee Bucks,2406,Caron Butler,F,SF,11-01-2013,21300024,BOS,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.9,24.25,25,4,3,54
198992,2014,2013-14,1610612738,Boston Celtics,201145,Jeff Green,F,SF,11-01-2013,21300024,BOS,MIL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,6.35,2,4,4,15
