,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
201348,2014,2013-14,1610612751,Brooklyn Nets,2207,Joe Johnson,G,SG,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Bank Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.8,39.55,38,4,0,0
201349,2014,2013-14,1610612751,Brooklyn Nets,1718,Paul Pierce,F,SF,10-30-2013,21300004,CLE,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,24.2,6.15,24,4,0,3
201353,2014,2013-14,1610612751,Brooklyn Nets,1891,Jason Terry,G,PG,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.8,23.05,26,4,0,9
201354,2014,2013-14,1610612751,Brooklyn Nets,1718,Paul Pierce,F,SF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.8,18.45,18,4,0,16
201356,2014,2013-14,1610612739,Cleveland Cavaliers,2760,Anderson Varejao,C,C,10-30-2013,21300004,CLE,BKN,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.4,18.75,13,4,0,28
201357,2014,2013-14,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.5,21.75,25,4,0,43
201358,2014,2013-14,1610612751,Brooklyn Nets,201572,Brook Lopez,C,C,10-30-2013,21300004,CLE,BKN,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.55,0,4,1,4
201368,2014,2013-14,1610612751,Brooklyn Nets,1718,Paul Pierce,F,SF,10-30-2013,21300004,CLE,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.9,25.25,24,4,1,35
201373,2014,2013-14,1610612739,Cleveland Cavaliers,2760,Anderson Varejao,C,C,10-30-2013,21300004,CLE,BKN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.55,0,4,1,43
201376,2014,2013-14,1610612751,Brooklyn Nets,2733,Shaun Livingston,G,PG,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.7,7.75,11,4,1,51
201381,2014,2013-14,1610612739,Cleveland Cavaliers,201947,Earl Clark,F,PF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.0,22.55,18,4,2,7
201383,2014,2013-14,1610612751,Brooklyn Nets,201572,Brook Lopez,C,C,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.35,1,4,2,31
201384,2014,2013-14,1610612739,Cleveland Cavaliers,203079,Dion Waiters,G,SG,10-30-2013,21300004,CLE,BKN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-3.2,24.45,19,4,2,52
201390,2014,2013-14,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,7.85,3,4,3,2
201391,2014,2013-14,1610612751,Brooklyn Nets,101187,Alan Anderson,F,SF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,11.25,23,4,3,14
201396,2014,2013-14,1610612751,Brooklyn Nets,708,Kevin Garnett,C,C,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-5.1,19.55,15,4,3,36
201424,2014,2013-14,1610612739,Cleveland Cavaliers,203079,Dion Waiters,G,SG,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.0,18.45,25,4,3,51
201432,2014,2013-14,1610612751,Brooklyn Nets,2501,Reggie Evans,F,PF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.65,1,4,3,58
201439,2014,2013-14,1610612751,Brooklyn Nets,101187,Alan Anderson,F,SF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.3,10.85,16,4,4,2
201446,2014,2013-14,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.3,11.65,6,4,4,17
201463,2014,2013-14,1610612751,Brooklyn Nets,201572,Brook Lopez,C,C,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.9,5.85,17,4,4,32
201470,2014,2013-14,1610612739,Cleveland Cavaliers,2760,Anderson Varejao,C,C,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.8,10.05,7,4,4,42
201476,2014,2013-14,1610612739,Cleveland Cavaliers,201947,Earl Clark,F,PF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.3,11.55,14,4,4,45
201480,2014,2013-14,1610612751,Brooklyn Nets,2501,Reggie Evans,F,PF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.9,8.95,10,4,5,11
201513,2014,2013-14,1610612751,Brooklyn Nets,2501,Reggie Evans,F,PF,10-30-2013,21300004,CLE,BKN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.85,0,4,5,17
201516,2014,2013-14,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,10-30-2013,21300004,CLE,BKN,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,12.75,7,4,5,30
201522,2014,2013-14,1610612751,Brooklyn Nets,1891,Jason Terry,G,PG,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.4,18.75,26,4,5,41
201527,2014,2013-14,1610612739,Cleveland Cavaliers,2760,Anderson Varejao,C,C,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.9,9.65,12,4,5,46
201534,2014,2013-14,1610612751,Brooklyn Nets,708,Kevin Garnett,C,C,10-30-2013,21300004,CLE,BKN,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.3,2.75,16,4,6,25
201539,2014,2013-14,1610612739,Cleveland Cavaliers,201947,Earl Clark,F,PF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.9,4.65,18,4,6,37
201562,2014,2013-14,1610612739,Cleveland Cavaliers,2760,Anderson Varejao,C,C,10-30-2013,21300004,CLE,BKN,Made Shot,True,Running Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-7.7,19.25,15,4,7,7
201581,2014,2013-14,1610612751,Brooklyn Nets,1891,Jason Terry,G,PG,10-30-2013,21300004,CLE,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.5,26.15,26,4,7,33
201587,2014,2013-14,1610612751,Brooklyn Nets,1891,Jason Terry,G,PG,10-30-2013,21300004,CLE,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.1,24.65,23,4,7,59
201634,2014,2013-14,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.0,8.65,13,4,8,34
201646,2014,2013-14,1610612751,Brooklyn Nets,1891,Jason Terry,G,PG,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.1,29.15,25,4,8,59
201655,2014,2013-14,1610612751,Brooklyn Nets,101187,Alan Anderson,F,SF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,7.25,22,4,9,3
201691,2014,2013-14,1610612751,Brooklyn Nets,101154,Andray Blatche,F,PF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-3.9,21.45,16,4,9,34
201709,2014,2013-14,1610612751,Brooklyn Nets,1891,Jason Terry,G,PG,10-30-2013,21300004,CLE,BKN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,10,10
201722,2014,2013-14,1610612751,Brooklyn Nets,101187,Alan Anderson,F,SF,10-30-2013,21300004,CLE,BKN,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.15,1,4,10,36
201747,2014,2013-14,1610612739,Cleveland Cavaliers,203461,Anthony Bennett,F,PF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,6.45,1,4,11,18
201791,2014,2013-14,1610612751,Brooklyn Nets,101187,Alan Anderson,F,SF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.2,31.55,26,4,11,37
201825,2014,2013-14,1610612739,Cleveland Cavaliers,101139,CJ Miles,G,SG,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.9,36.75,35,3,0,0
201858,2014,2013-14,1610612739,Cleveland Cavaliers,202087,Alonzo Gee,F,SF,10-30-2013,21300004,CLE,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.3,9.35,23,3,0,15
201865,2014,2013-14,1610612751,Brooklyn Nets,2207,Joe Johnson,G,SG,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.1,9.35,4,3,0,28
201902,2014,2013-14,1610612739,Cleveland Cavaliers,203461,Anthony Bennett,F,PF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.9,6.75,23,3,1,12
201928,2014,2013-14,1610612751,Brooklyn Nets,2207,Joe Johnson,G,SG,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.7,14.65,12,3,1,25
201933,2014,2013-14,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.4,8.35,4,3,1,46
201942,2014,2013-14,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.2,10.55,6,3,2,6
201953,2014,2013-14,1610612739,Cleveland Cavaliers,203461,Anthony Bennett,F,PF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.0,26.15,24,3,2,14
201956,2014,2013-14,1610612751,Brooklyn Nets,2501,Reggie Evans,F,PF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,6.35,1,3,2,26
201964,2014,2013-14,1610612751,Brooklyn Nets,101187,Alan Anderson,F,SF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.4,10.45,18,3,2,32
201984,2014,2013-14,1610612751,Brooklyn Nets,201572,Brook Lopez,C,C,10-30-2013,21300004,CLE,BKN,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.35,0,3,3,11
201987,2014,2013-14,1610612751,Brooklyn Nets,101154,Andray Blatche,F,PF,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,7.1,7.15,7,3,3,13
201996,2014,2013-14,1610612739,Cleveland Cavaliers,202681,Kyrie Irving,G,PG,10-30-2013,21300004,CLE,BKN,Made Shot,True,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.9,8.35,9,3,4,0
202037,2014,2013-14,1610612751,Brooklyn Nets,201572,Brook Lopez,C,C,10-30-2013,21300004,CLE,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,9.15,3,3,4,21
202041,2014,2013-14,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,10-30-2013,21300004,CLE,BKN,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.6,10.85,6,3,4,36
202053,2014,2013-14,1610612739,Cleveland Cavaliers,202684,Tristan Thompson,F,PF,10-30-2013,21300004,CLE,BKN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,2.7,22.05,17,3,5,13
