,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
86862,2014,2013-14,1610612751,Brooklyn Nets,101114,Deron Williams,G,PG,02-01-2014,21300697,IND,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.9,13.45,25,4,0,0
86871,2014,2013-14,1610612751,Brooklyn Nets,1718,Paul Pierce,F,SF,02-01-2014,21300697,IND,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,5.85,23,4,0,4
86889,2014,2013-14,1610612751,Brooklyn Nets,2207,Joe Johnson,G,SG,02-01-2014,21300697,IND,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.6,9.15,23,4,0,8
86913,2014,2013-14,1610612751,Brooklyn Nets,101114,Deron Williams,G,PG,02-01-2014,21300697,IND,BKN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,7.45,3,4,0,21
86920,2014,2013-14,1610612754,Indiana Pacers,202331,Paul George,F,SF,02-01-2014,21300697,IND,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.2,16.25,11,4,0,32
86930,2014,2013-14,1610612751,Brooklyn Nets,2733,Shaun Livingston,G,PG,02-01-2014,21300697,IND,BKN,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-1.8,20.95,15,4,0,48
86933,2014,2013-14,1610612754,Indiana Pacers,2561,David West,F,PF,02-01-2014,21300697,IND,BKN,Made Shot,True,Fadeaway Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.0,9.95,7,4,0,57
86944,2014,2013-14,1610612751,Brooklyn Nets,1718,Paul Pierce,F,SF,02-01-2014,21300697,IND,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.3,25.05,25,4,1,13
86948,2014,2013-14,1610612754,Indiana Pacers,201588,George Hill,G,PG,02-01-2014,21300697,IND,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.4,29.35,24,4,1,26
86956,2014,2013-14,1610612751,Brooklyn Nets,708,Kevin Garnett,C,C,02-01-2014,21300697,IND,BKN,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.45,1,4,1,49
