,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
88812,2014,2013-14,1610612743,Denver Nuggets,203095,Evan Fournier,G,SG,01-31-2014,21300694,DEN,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.4,21.75,26,4,0,23
88817,2014,2013-14,1610612743,Denver Nuggets,203113,Quincy Miller,F,PF,01-31-2014,21300694,DEN,TOR,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.8,27.95,26,4,0,37
88820,2014,2013-14,1610612761,Toronto Raptors,202349,Greivis Vasquez,G,PG,01-31-2014,21300694,DEN,TOR,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.7,11.95,6,4,0,43
88827,2014,2013-14,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,01-31-2014,21300694,DEN,TOR,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.6,10.75,7,4,1,15
88832,2014,2013-14,1610612743,Denver Nuggets,200751,Randy Foye,G,SG,01-31-2014,21300694,DEN,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.4,25.85,26,4,1,32
88840,2014,2013-14,1610612761,Toronto Raptors,101161,Amir Johnson,F,PF,01-31-2014,21300694,DEN,TOR,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.4,10.45,5,4,1,54
88844,2014,2013-14,1610612743,Denver Nuggets,203095,Evan Fournier,G,SG,01-31-2014,21300694,DEN,TOR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,5.95,2,4,2,14
88848,2014,2013-14,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,01-31-2014,21300694,DEN,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.7,15.35,23,4,2,19
88853,2014,2013-14,1610612743,Denver Nuggets,203113,Quincy Miller,F,PF,01-31-2014,21300694,DEN,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.1,21.45,16,4,2,42
88869,2014,2013-14,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,01-31-2014,21300694,DEN,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.0,15.15,24,4,3,6
88874,2014,2013-14,1610612743,Denver Nuggets,202702,Kenneth Faried,F,PF,01-31-2014,21300694,DEN,TOR,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.35,0,4,3,32
88879,2014,2013-14,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,01-31-2014,21300694,DEN,TOR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.45,1,4,3,46
88883,2014,2013-14,1610612743,Denver Nuggets,201581,JJ Hickson,F,PF,01-31-2014,21300694,DEN,TOR,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,6.45,2,4,4,6
