,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
169495,2014,2013-14,1610612765,Detroit Pistons,201973,Jonas Jerebko,F,PF,11-25-2013,21300204,DET,MIL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.35,0,4,0,27
169500,2014,2013-14,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,SF,11-25-2013,21300204,DET,MIL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.55,0,4,0,46
169501,2014,2013-14,1610612765,Detroit Pistons,203502,Tony Mitchell,F,SF,11-25-2013,21300204,DET,MIL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.35,0,4,0,55
169505,2014,2013-14,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,SF,11-25-2013,21300204,DET,MIL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.0,5.25,7,4,0,59
169506,2014,2013-14,1610612765,Detroit Pistons,201973,Jonas Jerebko,F,PF,11-25-2013,21300204,DET,MIL,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.85,0,4,1,14
169521,2014,2013-14,1610612765,Detroit Pistons,203540,Gigi Datome,F,SF,11-25-2013,21300204,DET,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.9,31.05,26,4,1,27
169526,2014,2013-14,1610612765,Detroit Pistons,203484,Kentavious Caldwell-Pope,G,SG,11-25-2013,21300204,DET,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.7,9.45,24,4,1,49
169530,2014,2013-14,1610612749,Milwaukee Bucks,2406,Caron Butler,F,SF,11-25-2013,21300204,DET,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.3,11.05,23,4,2,7
169542,2014,2013-14,1610612765,Detroit Pistons,201973,Jonas Jerebko,F,PF,11-25-2013,21300204,DET,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.5,22.25,25,4,2,32
169544,2014,2013-14,1610612749,Milwaukee Bucks,203489,Nate Wolters,G,PG,11-25-2013,21300204,DET,MIL,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.3,13.05,7,4,2,55
169555,2014,2013-14,1610612765,Detroit Pistons,2746,Josh Smith,F,SF,11-25-2013,21300204,DET,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-23.7,16.45,26,4,3,5
169559,2014,2013-14,1610612749,Milwaukee Bucks,203545,Miroslav Raduljica,C,C,11-25-2013,21300204,DET,MIL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,5.55,0,4,3,24
169565,2014,2013-14,1610612749,Milwaukee Bucks,203489,Nate Wolters,G,PG,11-25-2013,21300204,DET,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.5,9.75,22,4,3,27
169569,2014,2013-14,1610612765,Detroit Pistons,201155,Rodney Stuckey,G,SG,11-25-2013,21300204,DET,MIL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.5,17.15,21,4,3,51
