,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
19726,2014,2013-14,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,04-01-2014,21301112,DAL,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.9,17.15,20,5,0,0
19728,2014,2013-14,1610612742,Dallas Mavericks,101145,Monta Ellis,G,SG,04-01-2014,21301112,DAL,GSW,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,5.65,2,5,0,13
19729,2014,2013-14,1610612744,Golden State Warriors,979,Jermaine O'Neal,F,PF,04-01-2014,21301112,DAL,GSW,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.55,0,5,0,28
19730,2014,2013-14,1610612742,Dallas Mavericks,101181,Jose Calderon,G,PG,04-01-2014,21301112,DAL,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.9,27.65,27,5,0,42
19731,2014,2013-14,1610612742,Dallas Mavericks,101145,Monta Ellis,G,SG,04-01-2014,21301112,DAL,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.2,8.35,10,5,0,52
19733,2014,2013-14,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,04-01-2014,21301112,DAL,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-4.3,27.25,22,5,1,8
19734,2014,2013-14,1610612742,Dallas Mavericks,1713,Vince Carter,G,SG,04-01-2014,21301112,DAL,GSW,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,6.95,2,5,1,24
19737,2014,2013-14,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,04-01-2014,21301112,DAL,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.8,14.05,15,5,1,42
19739,2014,2013-14,1610612742,Dallas Mavericks,1713,Vince Carter,G,SG,04-01-2014,21301112,DAL,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.4,8.55,22,5,1,52
19740,2014,2013-14,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,04-01-2014,21301112,DAL,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.3,25.75,24,5,2,18
19743,2014,2013-14,1610612742,Dallas Mavericks,201148,Brandan Wright,C,C,04-01-2014,21301112,DAL,GSW,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.95,0,5,2,32
19744,2014,2013-14,1610612744,Golden State Warriors,2738,Andre Iguodala,F,SF,04-01-2014,21301112,DAL,GSW,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.35,1,5,2,48
19746,2014,2013-14,1610612742,Dallas Mavericks,1717,Dirk Nowitzki,F,PF,04-01-2014,21301112,DAL,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.6,25.55,24,5,3,8
