,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
30675,2014,2013-14,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,SF,03-23-2014,21301043,SAC,MIL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,6.15,2,4,0,0
30677,2014,2013-14,1610612758,Sacramento Kings,203091,Royce White,F,PF,03-23-2014,21301043,SAC,MIL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.8,11.05,14,4,0,6
30678,2014,2013-14,1610612758,Sacramento Kings,201189,Aaron Gray,C,C,03-23-2014,21301043,SAC,MIL,Made Shot,True,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.0,6.65,4,4,0,35
30679,2014,2013-14,1610612758,Sacramento Kings,203463,Ben McLemore,G,SG,03-23-2014,21301043,SAC,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.7,23.85,25,4,0,58
30680,2014,2013-14,1610612749,Milwaukee Bucks,201564,O.J. Mayo,G,SG,03-23-2014,21301043,SAC,MIL,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.1,6.45,14,4,1,15
30681,2014,2013-14,1610612758,Sacramento Kings,202738,Isaiah Thomas,G,PG,03-23-2014,21301043,SAC,MIL,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.8,12.95,7,4,1,27
30682,2014,2013-14,1610612749,Milwaukee Bucks,201564,O.J. Mayo,G,SG,03-23-2014,21301043,SAC,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.4,26.65,25,4,1,38
30683,2014,2013-14,1610612758,Sacramento Kings,200752,Rudy Gay,F,SF,03-23-2014,21301043,SAC,MIL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.6,6.45,3,4,1,56
30685,2014,2013-14,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,F,SF,03-23-2014,21301043,SAC,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.2,30.25,25,4,2,9
30687,2014,2013-14,1610612758,Sacramento Kings,202738,Isaiah Thomas,G,PG,03-23-2014,21301043,SAC,MIL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-6.5,18.65,14,4,2,24
30689,2014,2013-14,1610612749,Milwaukee Bucks,203089,John Henson,F,PF,03-23-2014,21301043,SAC,MIL,Made Shot,True,Jump Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.1,7.55,3,4,2,44
