,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
2900,2014,2013-14,1610612749,Milwaukee Bucks,201196,Ramon Sessions,G,PG,04-14-2014,21301205,TOR,MIL,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.0,25.35,25,4,0,12
2905,2014,2013-14,1610612761,Toronto Raptors,202335,Patrick Patterson,F,PF,04-14-2014,21301205,TOR,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.5,31.75,26,4,0,16
2927,2014,2013-14,1610612749,Milwaukee Bucks,202688,Brandon Knight,G,PG,04-14-2014,21301205,TOR,MIL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.6,5.65,3,4,1,20
2930,2014,2013-14,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,04-14-2014,21301205,TOR,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.5,27.25,25,4,1,31
2931,2014,2013-14,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,04-14-2014,21301205,TOR,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.7,32.65,27,4,1,47
2932,2014,2013-14,1610612761,Toronto Raptors,203082,Terrence Ross,G,SG,04-14-2014,21301205,TOR,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.2,25.75,25,4,2,13
2935,2014,2013-14,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,04-14-2014,21301205,TOR,MIL,Made Shot,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.0,5.55,4,4,2,56
2941,2014,2013-14,1610612749,Milwaukee Bucks,202688,Brandon Knight,G,PG,04-14-2014,21301205,TOR,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.6,21.95,26,4,3,12
2943,2014,2013-14,1610612761,Toronto Raptors,202349,Greivis Vasquez,G,PG,04-14-2014,21301205,TOR,MIL,Made Shot,True,Driving Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.9,6.65,4,4,3,34
2947,2014,2013-14,1610612749,Milwaukee Bucks,201196,Ramon Sessions,G,PG,04-14-2014,21301205,TOR,MIL,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.3,9.75,5,4,3,52
