,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
88882,2014,2013-14,1610612750,Minnesota Timberwolves,200826,J.J. Barea,G,PG,01-31-2014,21300691,MIN,MEM,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.45,1,4,0,2
88896,2014,2013-14,1610612750,Minnesota Timberwolves,101142,Ronny Turiaf,C,C,01-31-2014,21300691,MIN,MEM,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.55,0,4,0,8
88899,2014,2013-14,1610612750,Minnesota Timberwolves,2755,Kevin Martin,G,SG,01-31-2014,21300691,MIN,MEM,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.25,1,4,0,9
88920,2014,2013-14,1610612750,Minnesota Timberwolves,2755,Kevin Martin,G,SG,01-31-2014,21300691,MIN,MEM,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.0,7.75,12,4,0,17
88956,2014,2013-14,1610612750,Minnesota Timberwolves,201567,Kevin Love,F,PF,01-31-2014,21300691,MIN,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.2,30.75,25,4,0,52
88967,2014,2013-14,1610612763,Memphis Grizzlies,2419,Tayshaun Prince,F,SF,01-31-2014,21300691,MIN,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,7.45,22,4,0,59
88973,2014,2013-14,1610612750,Minnesota Timberwolves,201567,Kevin Love,F,PF,01-31-2014,21300691,MIN,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.9,29.85,25,4,1,15
88976,2014,2013-14,1610612763,Memphis Grizzlies,2216,Zach Randolph,F,PF,01-31-2014,21300691,MIN,MEM,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.3,9.15,16,4,1,28
88980,2014,2013-14,1610612750,Minnesota Timberwolves,200826,J.J. Barea,G,PG,01-31-2014,21300691,MIN,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.1,27.45,24,4,1,49
88983,2014,2013-14,1610612763,Memphis Grizzlies,2216,Zach Randolph,F,PF,01-31-2014,21300691,MIN,MEM,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.6,10.85,6,4,2,6
88993,2014,2013-14,1610612750,Minnesota Timberwolves,201567,Kevin Love,F,PF,01-31-2014,21300691,MIN,MEM,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.6,19.45,17,4,2,27
