,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
108327,2014,2013-14,1610612750,Minnesota Timberwolves,200826,J.J. Barea,G,PG,01-15-2014,21300571,MIN,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.6,31.05,33,4,0,0
108346,2014,2013-14,1610612750,Minnesota Timberwolves,200826,J.J. Barea,G,PG,01-15-2014,21300571,MIN,SAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,5.85,1,4,0,4
108361,2014,2013-14,1610612750,Minnesota Timberwolves,201567,Kevin Love,F,PF,01-15-2014,21300571,MIN,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.0,27.95,26,4,0,17
108362,2014,2013-14,1610612758,Sacramento Kings,200752,Rudy Gay,F,SF,01-15-2014,21300571,MIN,SAC,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.9,28.25,25,4,0,19
108368,2014,2013-14,1610612750,Minnesota Timberwolves,201567,Kevin Love,F,PF,01-15-2014,21300571,MIN,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.1,24.65,25,4,0,39
108369,2014,2013-14,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,01-15-2014,21300571,MIN,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.55,0,4,0,49
108375,2014,2013-14,1610612750,Minnesota Timberwolves,203144,Alexey Shved,G,SG,01-15-2014,21300571,MIN,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,5.95,1,4,1,1
108383,2014,2013-14,1610612758,Sacramento Kings,202738,Isaiah Thomas,G,PG,01-15-2014,21300571,MIN,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.4,14.95,14,4,1,5
108396,2014,2013-14,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,01-15-2014,21300571,MIN,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.75,0,4,1,29
108402,2014,2013-14,1610612750,Minnesota Timberwolves,201593,Nikola Pekovic,C,C,01-15-2014,21300571,MIN,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,5.35,2,4,1,42
108408,2014,2013-14,1610612758,Sacramento Kings,202682,Derrick Williams,F,SF-PF,01-15-2014,21300571,MIN,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.2,7.75,5,4,1,53
108414,2014,2013-14,1610612750,Minnesota Timberwolves,201593,Nikola Pekovic,C,C,01-15-2014,21300571,MIN,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-1.2,18.35,13,4,2,9
108427,2014,2013-14,1610612750,Minnesota Timberwolves,203144,Alexey Shved,G,SG,01-15-2014,21300571,MIN,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.1,25.25,24,4,2,42
108440,2014,2013-14,1610612750,Minnesota Timberwolves,200826,J.J. Barea,G,PG,01-15-2014,21300571,MIN,SAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.95,0,4,3,5
108452,2014,2013-14,1610612758,Sacramento Kings,202738,Isaiah Thomas,G,PG,01-15-2014,21300571,MIN,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.5,29.15,24,4,3,18
108456,2014,2013-14,1610612750,Minnesota Timberwolves,201593,Nikola Pekovic,C,C,01-15-2014,21300571,MIN,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,7.15,1,4,3,29
108470,2014,2013-14,1610612758,Sacramento Kings,202682,Derrick Williams,F,SF-PF,01-15-2014,21300571,MIN,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,4.25,1,4,4,10
108477,2014,2013-14,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,01-15-2014,21300571,MIN,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.45,1,4,4,13
108491,2014,2013-14,1610612750,Minnesota Timberwolves,201147,Corey Brewer,F,SF,01-15-2014,21300571,MIN,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,6.65,1,4,4,29
108494,2014,2013-14,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,01-15-2014,21300571,MIN,SAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,7.45,2,4,4,45
108505,2014,2013-14,1610612750,Minnesota Timberwolves,201593,Nikola Pekovic,C,C,01-15-2014,21300571,MIN,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.35,0,4,5,8
108521,2014,2013-14,1610612750,Minnesota Timberwolves,201147,Corey Brewer,F,SF,01-15-2014,21300571,MIN,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,8.55,23,4,5,25
108542,2014,2013-14,1610612750,Minnesota Timberwolves,201593,Nikola Pekovic,C,C,01-15-2014,21300571,MIN,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.35,0,4,6,4
108549,2014,2013-14,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,01-15-2014,21300571,MIN,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,7.25,2,4,6,21
108552,2014,2013-14,1610612758,Sacramento Kings,202738,Isaiah Thomas,G,PG,01-15-2014,21300571,MIN,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.7,18.15,25,4,6,23
108573,2014,2013-14,1610612750,Minnesota Timberwolves,203144,Alexey Shved,G,SG,01-15-2014,21300571,MIN,SAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.55,1,4,6,45
108582,2014,2013-14,1610612758,Sacramento Kings,200752,Rudy Gay,F,SF,01-15-2014,21300571,MIN,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.3,7.15,13,4,6,51
108617,2014,2013-14,1610612758,Sacramento Kings,200752,Rudy Gay,F,SF,01-15-2014,21300571,MIN,SAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.7,10.75,19,4,7,28
108621,2014,2013-14,1610612750,Minnesota Timberwolves,203144,Alexey Shved,G,SG,01-15-2014,21300571,MIN,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.2,28.55,24,4,7,50
108638,2014,2013-14,1610612750,Minnesota Timberwolves,200826,J.J. Barea,G,PG,01-15-2014,21300571,MIN,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,6.75,2,4,8,25
108650,2014,2013-14,1610612758,Sacramento Kings,202738,Isaiah Thomas,G,PG,01-15-2014,21300571,MIN,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.2,20.55,20,4,8,36
108669,2014,2013-14,1610612758,Sacramento Kings,202682,Derrick Williams,F,SF-PF,01-15-2014,21300571,MIN,SAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-19.6,10.45,20,4,9,3
