,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
11528,2014,2013-14,1610612760,Oklahoma City Thunder,201934,Hasheem Thabeet,C,C,04-08-2014,21301160,SAC,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.1,6.65,17,4,0,30
11530,2014,2013-14,1610612758,Sacramento Kings,2566,Travis Outlaw,F,SF,04-08-2014,21301160,SAC,OKC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,7.45,2,4,0,45
11537,2014,2013-14,1610612758,Sacramento Kings,203099,Jared Cunningham,G,SG,04-08-2014,21301160,SAC,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-6.2,25.35,21,4,0,58
11539,2014,2013-14,1610612760,Oklahoma City Thunder,203087,Jeremy Lamb,G,SG,04-08-2014,21301160,SAC,OKC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,7.85,3,4,1,6
11541,2014,2013-14,1610612760,Oklahoma City Thunder,201934,Hasheem Thabeet,C,C,04-08-2014,21301160,SAC,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-3.2,23.65,18,4,1,21
11543,2014,2013-14,1610612758,Sacramento Kings,203099,Jared Cunningham,G,SG,04-08-2014,21301160,SAC,OKC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,5.85,2,4,1,41
11551,2014,2013-14,1610612760,Oklahoma City Thunder,203103,Perry Jones III,F,PF,04-08-2014,21301160,SAC,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.1,5.95,8,4,2,10
11560,2014,2013-14,1610612758,Sacramento Kings,203492,Ray McCallum,G,PG,04-08-2014,21301160,SAC,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.1,16.25,17,4,2,36
11564,2014,2013-14,1610612758,Sacramento Kings,2566,Travis Outlaw,F,SF,04-08-2014,21301160,SAC,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.1,7.25,22,4,2,46
11565,2014,2013-14,1610612758,Sacramento Kings,203112,Quincy Acy,F,SF,04-08-2014,21301160,SAC,OKC,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,6.45,22,4,3,3
11566,2014,2013-14,1610612760,Oklahoma City Thunder,965,Derek Fisher,G,SG,04-08-2014,21301160,SAC,OKC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,11.2,22.55,20,4,3,15
