,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
99548,2014,2013-14,1610612753,Orlando Magic,2749,Jameer Nelson,G,PG,01-22-2014,21300623,ORL,ATL,Missed Shot,False,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.2,30.65,26,4,0,0
99564,2014,2013-14,1610612753,Orlando Magic,201175,Glen Davis,F,PF,01-22-2014,21300623,ORL,ATL,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.5,13.25,13,4,0,11
99580,2014,2013-14,1610612753,Orlando Magic,2749,Jameer Nelson,G,PG,01-22-2014,21300623,ORL,ATL,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.7,15.15,10,4,0,23
99589,2014,2013-14,1610612753,Orlando Magic,2749,Jameer Nelson,G,PG,01-22-2014,21300623,ORL,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,7.25,2,4,0,48
99592,2014,2013-14,1610612737,Atlanta Hawks,2594,Kyle Korver,G,SG,01-22-2014,21300623,ORL,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.2,22.75,25,4,1,11
99594,2014,2013-14,1610612753,Orlando Magic,203506,Victor Oladipo,G,PG,01-22-2014,21300623,ORL,ATL,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.9,17.15,13,4,1,29
99605,2014,2013-14,1610612737,Atlanta Hawks,200794,Paul Millsap,F,PF,01-22-2014,21300623,ORL,ATL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,7.55,2,4,1,42
99631,2014,2013-14,1610612753,Orlando Magic,203506,Victor Oladipo,G,PG,01-22-2014,21300623,ORL,ATL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,7.75,2,4,2,19
99643,2014,2013-14,1610612737,Atlanta Hawks,2594,Kyle Korver,G,SG,01-22-2014,21300623,ORL,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-5.4,16.75,12,4,2,36
99644,2014,2013-14,1610612753,Orlando Magic,201175,Glen Davis,F,PF,01-22-2014,21300623,ORL,ATL,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-14.4,15.35,17,4,2,50
99652,2014,2013-14,1610612737,Atlanta Hawks,200794,Paul Millsap,F,PF,01-22-2014,21300623,ORL,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.5,22.05,19,4,3,16
