,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
145601,2014,2013-14,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.1,5.95,2,4,0,1
145606,2014,2013-14,1610612753,Orlando Magic,201175,Glen Davis,F,PF,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.5,22.75,24,4,0,2
145620,2014,2013-14,1610612753,Orlando Magic,203090,Maurice Harkless,F,SF,12-15-2013,21300353,OKC,ORL,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.55,0,4,0,22
145627,2014,2013-14,1610612753,Orlando Magic,201167,Arron Afflalo,G,SG,12-15-2013,21300353,OKC,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.0,29.95,24,4,0,31
145632,2014,2013-14,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.7,9.75,8,4,0,45
145634,2014,2013-14,1610612753,Orlando Magic,203506,Victor Oladipo,G,PG,12-15-2013,21300353,OKC,ORL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.65,0,4,1,6
145637,2014,2013-14,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.6,9.35,4,4,1,10
145640,2014,2013-14,1610612760,Oklahoma City Thunder,201586,Serge Ibaka,F,PF,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.0,7.25,5,4,1,41
145644,2014,2013-14,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.5,22.85,24,4,1,45
145658,2014,2013-14,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.7,26.35,21,4,2,34
145663,2014,2013-14,1610612753,Orlando Magic,201167,Arron Afflalo,G,SG,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.3,23.35,25,4,2,52
145672,2014,2013-14,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-15-2013,21300353,OKC,ORL,Made Shot,True,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,5.55,0,4,3,9
145678,2014,2013-14,1610612753,Orlando Magic,2749,Jameer Nelson,G,PG,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.8,27.15,24,4,3,14
145681,2014,2013-14,1610612753,Orlando Magic,202699,Tobias Harris,F,PF,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,6.15,22,4,3,24
145683,2014,2013-14,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,12-15-2013,21300353,OKC,ORL,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,5.25,2,4,3,33
145690,2014,2013-14,1610612753,Orlando Magic,203506,Victor Oladipo,G,PG,12-15-2013,21300353,OKC,ORL,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,4.95,0,4,3,58
145692,2014,2013-14,1610612760,Oklahoma City Thunder,201142,Kevin Durant,F,SF,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.2,7.75,14,4,4,8
145695,2014,2013-14,1610612753,Orlando Magic,202699,Tobias Harris,F,PF,12-15-2013,21300353,OKC,ORL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,5.35,2,4,4,26
145701,2014,2013-14,1610612753,Orlando Magic,203506,Victor Oladipo,G,PG,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-2.8,19.25,14,4,4,45
145709,2014,2013-14,1610612753,Orlando Magic,201167,Arron Afflalo,G,SG,12-15-2013,21300353,OKC,ORL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,21.7,8.25,21,4,5,10
145715,2014,2013-14,1610612753,Orlando Magic,2749,Jameer Nelson,G,PG,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.9,5.35,2,4,5,21
145719,2014,2013-14,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-7.2,20.05,16,4,5,30
145731,2014,2013-14,1610612753,Orlando Magic,201167,Arron Afflalo,G,SG,12-15-2013,21300353,OKC,ORL,Made Shot,True,Turnaround Bank shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.9,8.05,12,4,5,53
145737,2014,2013-14,1610612760,Oklahoma City Thunder,201566,Russell Westbrook,G,PG,12-15-2013,21300353,OKC,ORL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,5.05,0,4,6,12
145754,2014,2013-14,1610612760,Oklahoma City Thunder,203087,Jeremy Lamb,G,SG,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.5,16.45,14,4,6,31
145757,2014,2013-14,1610612753,Orlando Magic,203506,Victor Oladipo,G,PG,12-15-2013,21300353,OKC,ORL,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.35,0,4,6,49
145764,2014,2013-14,1610612760,Oklahoma City Thunder,202704,Reggie Jackson,G,PG,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.2,25.75,25,4,7,6
145770,2014,2013-14,1610612760,Oklahoma City Thunder,965,Derek Fisher,G,SG,12-15-2013,21300353,OKC,ORL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.1,29.35,24,4,7,27
145776,2014,2013-14,1610612760,Oklahoma City Thunder,203500,Steven Adams,C,C,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.2,9.75,4,4,7,53
145780,2014,2013-14,1610612753,Orlando Magic,203094,Andrew Nicholson,F,PF,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.5,8.85,5,4,8,5
145783,2014,2013-14,1610612760,Oklahoma City Thunder,965,Derek Fisher,G,SG,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.8,23.15,23,4,8,26
145801,2014,2013-14,1610612760,Oklahoma City Thunder,202704,Reggie Jackson,G,PG,12-15-2013,21300353,OKC,ORL,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.4,8.55,6,4,9,3
145803,2014,2013-14,1610612753,Orlando Magic,202699,Tobias Harris,F,PF,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.35,1,4,9,13
145805,2014,2013-14,1610612753,Orlando Magic,202699,Tobias Harris,F,PF,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.25,1,4,9,15
145812,2014,2013-14,1610612760,Oklahoma City Thunder,202704,Reggie Jackson,G,PG,12-15-2013,21300353,OKC,ORL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.8,29.85,24,4,9,41
145814,2014,2013-14,1610612753,Orlando Magic,203506,Victor Oladipo,G,PG,12-15-2013,21300353,OKC,ORL,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.5,10.85,11,4,9,55
145817,2014,2013-14,1610612760,Oklahoma City Thunder,203087,Jeremy Lamb,G,SG,12-15-2013,21300353,OKC,ORL,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.2,12.45,10,4,10,17
