,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
79028,2014,2013-14,1610612757,Portland Trail Blazers,200777,Joel Freeland,C,C,02-08-2014,21300752,MIN,POR,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.2,5.95,2,2,11,38
79029,2014,2013-14,1610612750,Minnesota Timberwolves,201147,Corey Brewer,F,SF,02-08-2014,21300752,MIN,POR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,5.95,1,4,0,1
79030,2014,2013-14,1610612750,Minnesota Timberwolves,201978,Chase Budinger,F,SF,02-08-2014,21300752,MIN,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,12.15,24,4,0,6
79031,2014,2013-14,1610612757,Portland Trail Blazers,202083,Wesley Matthews,G,SG,02-08-2014,21300752,MIN,POR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,7.15,2,4,0,15
79032,2014,2013-14,1610612750,Minnesota Timberwolves,201147,Corey Brewer,F,SF,02-08-2014,21300752,MIN,POR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,7.25,3,4,0,19
79033,2014,2013-14,1610612750,Minnesota Timberwolves,201937,Ricky Rubio,G,PG,02-08-2014,21300752,MIN,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.5,25.15,25,4,0,43
79034,2014,2013-14,1610612750,Minnesota Timberwolves,201967,Dante Cunningham,F,PF,02-08-2014,21300752,MIN,POR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,3.4,24.15,19,4,0,46
79035,2014,2013-14,1610612750,Minnesota Timberwolves,201147,Corey Brewer,F,SF,02-08-2014,21300752,MIN,POR,Made Shot,True,Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,8.65,3,4,0,52
79036,2014,2013-14,1610612750,Minnesota Timberwolves,201937,Ricky Rubio,G,PG,02-08-2014,21300752,MIN,POR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.85,1,4,0,53
79037,2014,2013-14,1610612757,Portland Trail Blazers,201577,Robin Lopez,C,C,02-08-2014,21300752,MIN,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.3,22.45,19,4,1,3
