,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
141380,2014,2013-14,1610612758,Sacramento Kings,203492,Ray McCallum,G,PG,12-18-2013,21300372,ATL,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.4,20.65,17,4,0,9
141387,2014,2013-14,1610612737,Atlanta Hawks,203118,Mike Scott,F,PF,12-18-2013,21300372,ATL,SAC,Missed Shot,False,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.3,12.95,8,4,0,20
141390,2014,2013-14,1610612758,Sacramento Kings,2566,Travis Outlaw,F,SF,12-18-2013,21300372,ATL,SAC,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.8,18.15,13,4,0,38
141409,2014,2013-14,1610612758,Sacramento Kings,202738,Isaiah Thomas,G,PG,12-18-2013,21300372,ATL,SAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,6.15,1,4,1,11
141418,2014,2013-14,1610612737,Atlanta Hawks,201143,Al Horford,C,C,12-18-2013,21300372,ATL,SAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.0,22.05,19,4,1,21
141425,2014,2013-14,1610612737,Atlanta Hawks,2594,Kyle Korver,G,SG,12-18-2013,21300372,ATL,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.3,11.55,23,4,1,45
141427,2014,2013-14,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,12-18-2013,21300372,ATL,SAC,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.25,0,4,2,7
141460,2014,2013-14,1610612737,Atlanta Hawks,201143,Al Horford,C,C,12-18-2013,21300372,ATL,SAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.0,23.55,19,4,2,49
141465,2014,2013-14,1610612737,Atlanta Hawks,201143,Al Horford,C,C,12-18-2013,21300372,ATL,SAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.8,22.05,18,4,3,22
141499,2014,2013-14,1610612758,Sacramento Kings,202682,Derrick Williams,F,SF-PF,12-18-2013,21300372,ATL,SAC,Missed Shot,False,Driving Jump shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,8.25,3,4,4,7
141526,2014,2013-14,1610612737,Atlanta Hawks,201143,Al Horford,C,C,12-18-2013,21300372,ATL,SAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.7,21.95,16,4,4,35
141527,2014,2013-14,1610612758,Sacramento Kings,203463,Ben McLemore,G,SG,12-18-2013,21300372,ATL,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.95,1,4,4,52
