,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
24189,2014,2013-14,1610612758,Sacramento Kings,201574,Jason Thompson,F,PF,03-28-2014,21301083,OKC,SAC,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.1,10.75,7,4,0,22
24197,2014,2013-14,1610612760,Oklahoma City Thunder,202130,Reggie Williams,F,SF,03-28-2014,21301083,OKC,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.0,24.25,24,4,0,37
24198,2014,2013-14,1610612758,Sacramento Kings,203463,Ben McLemore,G,SG,03-28-2014,21301083,OKC,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.4,6.45,22,4,0,54
24200,2014,2013-14,1610612760,Oklahoma City Thunder,203103,Perry Jones III,F,PF,03-28-2014,21301083,OKC,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.1,9.65,16,4,1,9
24201,2014,2013-14,1610612758,Sacramento Kings,203463,Ben McLemore,G,SG,03-28-2014,21301083,OKC,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,5.25,2,4,1,26
24208,2014,2013-14,1610612760,Oklahoma City Thunder,203500,Steven Adams,C,C,03-28-2014,21301083,OKC,SAC,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,7.25,2,4,1,33
24214,2014,2013-14,1610612758,Sacramento Kings,203112,Quincy Acy,F,SF,03-28-2014,21301083,OKC,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.9,6.75,13,4,1,42
24230,2014,2013-14,1610612760,Oklahoma City Thunder,203087,Jeremy Lamb,G,SG,03-28-2014,21301083,OKC,SAC,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.0,11.25,6,4,2,18
24233,2014,2013-14,1610612758,Sacramento Kings,203492,Ray McCallum,G,PG,03-28-2014,21301083,OKC,SAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,5.25,1,4,2,38
24237,2014,2013-14,1610612758,Sacramento Kings,2566,Travis Outlaw,F,SF,03-28-2014,21301083,OKC,SAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,5.55,2,4,2,45
24240,2014,2013-14,1610612760,Oklahoma City Thunder,202130,Reggie Williams,F,SF,03-28-2014,21301083,OKC,SAC,Made Shot,True,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-5.0,18.35,14,4,3,4
24242,2014,2013-14,1610612758,Sacramento Kings,203492,Ray McCallum,G,PG,03-28-2014,21301083,OKC,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.2,14.35,22,4,3,22
24245,2014,2013-14,1610612760,Oklahoma City Thunder,202130,Reggie Williams,F,SF,03-28-2014,21301083,OKC,SAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-1.8,19.25,14,4,3,50
24254,2014,2013-14,1610612758,Sacramento Kings,2566,Travis Outlaw,F,SF,03-28-2014,21301083,OKC,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.4,9.15,22,4,4,7
24263,2014,2013-14,1610612760,Oklahoma City Thunder,203103,Perry Jones III,F,PF,03-28-2014,21301083,OKC,SAC,Missed Shot,False,Tip Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.4,7.75,4,4,4,22
24269,2014,2013-14,1610612760,Oklahoma City Thunder,203087,Jeremy Lamb,G,SG,03-28-2014,21301083,OKC,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.4,11.85,10,4,4,23
24270,2014,2013-14,1610612758,Sacramento Kings,201574,Jason Thompson,F,PF,03-28-2014,21301083,OKC,SAC,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,5.85,1,4,4,44
24274,2014,2013-14,1610612758,Sacramento Kings,201574,Jason Thompson,F,PF,03-28-2014,21301083,OKC,SAC,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.65,1,4,4,46
24275,2014,2013-14,1610612758,Sacramento Kings,203492,Ray McCallum,G,PG,03-28-2014,21301083,OKC,SAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,5.55,1,4,4,48
24286,2014,2013-14,1610612760,Oklahoma City Thunder,203103,Perry Jones III,F,PF,03-28-2014,21301083,OKC,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.7,30.45,25,4,4,54
