,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
80200,2014,2013-14,1610612761,Toronto Raptors,203082,Terrence Ross,G,SG,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-2.8,40.25,35,4,0,0
80201,2014,2013-14,1610612746,Los Angeles Clippers,201954,Darren Collison,G,PG,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.3,31.55,26,4,0,12
80202,2014,2013-14,1610612761,Toronto Raptors,203082,Terrence Ross,G,SG,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.4,6.45,5,4,0,48
80204,2014,2013-14,1610612746,Los Angeles Clippers,2037,Jamal Crawford,G,SG,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,7.25,2,4,1,6
80205,2014,2013-14,1610612761,Toronto Raptors,203082,Terrence Ross,G,SG,02-07-2014,21300748,LAC,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.0,29.05,25,4,1,26
80207,2014,2013-14,1610612746,Los Angeles Clippers,201954,Darren Collison,G,PG,02-07-2014,21300748,LAC,TOR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-1.8,20.95,15,4,1,38
80208,2014,2013-14,1610612761,Toronto Raptors,202335,Patrick Patterson,F,PF,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,5.55,22,4,1,53
80209,2014,2013-14,1610612746,Los Angeles Clippers,201954,Darren Collison,G,PG,02-07-2014,21300748,LAC,TOR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.9,6.35,3,4,2,7
80211,2014,2013-14,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,7.15,3,4,2,15
80214,2014,2013-14,1610612746,Los Angeles Clippers,201933,Blake Griffin,F,PF,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.9,25.75,25,4,2,26
80215,2014,2013-14,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,7.45,2,4,2,44
80217,2014,2013-14,1610612761,Toronto Raptors,202335,Patrick Patterson,F,PF,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.6,8.55,4,4,2,45
80218,2014,2013-14,1610612761,Toronto Raptors,101161,Amir Johnson,F,PF,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.35,1,4,2,48
80220,2014,2013-14,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,8.25,3,4,2,50
80224,2014,2013-14,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,16.3,19.05,21,4,3,28
80225,2014,2013-14,1610612746,Los Angeles Clippers,201933,Blake Griffin,F,PF,02-07-2014,21300748,LAC,TOR,Made Shot,True,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,8.25,3,4,3,51
80227,2014,2013-14,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.9,24.65,27,4,4,14
80231,2014,2013-14,1610612761,Toronto Raptors,202685,Jonas Valanciunas,C,C,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.6,20.15,14,4,4,41
80233,2014,2013-14,1610612746,Los Angeles Clippers,2037,Jamal Crawford,G,SG,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.7,13.55,12,4,4,50
80235,2014,2013-14,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,02-07-2014,21300748,LAC,TOR,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,6.45,1,4,5,5
80245,2014,2013-14,1610612761,Toronto Raptors,203082,Terrence Ross,G,SG,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.7,4.65,23,4,5,36
80246,2014,2013-14,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.8,31.55,26,4,5,41
80248,2014,2013-14,1610612746,Los Angeles Clippers,201933,Blake Griffin,F,PF,02-07-2014,21300748,LAC,TOR,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.2,21.15,18,4,6,2
80249,2014,2013-14,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,02-07-2014,21300748,LAC,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.6,6.35,22,4,6,18
80251,2014,2013-14,1610612746,Los Angeles Clippers,201954,Darren Collison,G,PG,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,14.4,16.55,18,4,6,43
80259,2014,2013-14,1610612746,Los Angeles Clippers,2440,Matt Barnes,F,SF,02-07-2014,21300748,LAC,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.6,26.35,26,4,7,10
80260,2014,2013-14,1610612761,Toronto Raptors,200779,Steve Novak,F,PF,02-07-2014,21300748,LAC,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.2,29.15,27,4,7,27
80261,2014,2013-14,1610612746,Los Angeles Clippers,2584,Willie Green,G,SG,02-07-2014,21300748,LAC,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,6.15,23,4,7,42
80280,2014,2013-14,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,02-07-2014,21300748,LAC,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.0,27.95,24,4,8,34
80295,2014,2013-14,1610612746,Los Angeles Clippers,2584,Willie Green,G,SG,02-07-2014,21300748,LAC,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.9,3.35,23,4,9,5
