,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
61228,2014,2013-14,1610612762,Utah Jazz,101249,John Lucas III,G,PG,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.6,37.55,32,4,0,2
61238,2014,2013-14,1610612756,Phoenix Suns,202397,Ish Smith,G,PG,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.1,22.45,19,4,0,25
61242,2014,2013-14,1610612762,Utah Jazz,203497,Rudy Gobert,C,C,02-26-2014,21300860,UTA,PHX,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,6.45,1,4,0,42
61247,2014,2013-14,1610612762,Utah Jazz,101249,John Lucas III,G,PG,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.5,5.55,15,4,0,42
61249,2014,2013-14,1610612756,Phoenix Suns,202091,Dionte Christmas,F,SF,02-26-2014,21300860,UTA,PHX,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,7.25,3,4,1,0
61254,2014,2013-14,1610612756,Phoenix Suns,203101,Miles Plumlee,C,C,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.45,1,4,1,1
61287,2014,2013-14,1610612756,Phoenix Suns,203462,Archie Goodwin,G,SG,02-26-2014,21300860,UTA,PHX,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.6,5.65,2,4,2,7
61295,2014,2013-14,1610612762,Utah Jazz,203497,Rudy Gobert,C,C,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.9,5.35,2,4,2,11
61303,2014,2013-14,1610612756,Phoenix Suns,203462,Archie Goodwin,G,SG,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.0,6.95,4,4,2,31
61308,2014,2013-14,1610612762,Utah Jazz,101249,John Lucas III,G,PG,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.0,9.95,4,4,2,37
61323,2014,2013-14,1610612762,Utah Jazz,202692,Alec Burks,G,SG,02-26-2014,21300860,UTA,PHX,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.1,11.25,6,4,3,0
61333,2014,2013-14,1610612762,Utah Jazz,203197,Diante Garrett,G,PG,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.8,25.25,24,4,3,11
61335,2014,2013-14,1610612756,Phoenix Suns,202397,Ish Smith,G,PG,02-26-2014,21300860,UTA,PHX,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.9,18.65,13,4,3,25
61359,2014,2013-14,1610612756,Phoenix Suns,202091,Dionte Christmas,F,SF,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.8,10.75,17,4,3,38
61360,2014,2013-14,1610612762,Utah Jazz,101249,John Lucas III,G,PG,02-26-2014,21300860,UTA,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.9,30.45,27,4,3,52
61378,2014,2013-14,1610612762,Utah Jazz,202379,Jeremy Evans,F,SF,02-26-2014,21300860,UTA,PHX,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.7,20.85,21,4,4,32
61402,2014,2013-14,1610612756,Phoenix Suns,202397,Ish Smith,G,PG,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.8,18.65,19,4,5,18
61438,2014,2013-14,1610612756,Phoenix Suns,203101,Miles Plumlee,C,C,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.0,5.95,4,4,6,5
61451,2014,2013-14,1610612762,Utah Jazz,202692,Alec Burks,G,SG,02-26-2014,21300860,UTA,PHX,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,5.95,2,4,6,26
61455,2014,2013-14,1610612756,Phoenix Suns,202397,Ish Smith,G,PG,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,6.95,2,4,6,43
61466,2014,2013-14,1610612762,Utah Jazz,202330,Gordon Hayward,F,SF,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.6,25.75,25,4,7,4
61472,2014,2013-14,1610612756,Phoenix Suns,202397,Ish Smith,G,PG,02-26-2014,21300860,UTA,PHX,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.6,17.15,18,4,7,32
61490,2014,2013-14,1610612762,Utah Jazz,203197,Diante Garrett,G,PG,02-26-2014,21300860,UTA,PHX,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,7.4,28.85,24,4,7,45
61499,2014,2013-14,1610612756,Phoenix Suns,203462,Archie Goodwin,G,SG,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.7,24.45,24,4,8,0
61500,2014,2013-14,1610612762,Utah Jazz,203197,Diante Garrett,G,PG,02-26-2014,21300860,UTA,PHX,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.3,5.95,2,4,8,22
61508,2014,2013-14,1610612756,Phoenix Suns,202693,Markieff Morris,F,PF,02-26-2014,21300860,UTA,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.1,19.25,16,4,8,38
61512,2014,2013-14,1610612762,Utah Jazz,203197,Diante Garrett,G,PG,02-26-2014,21300860,UTA,PHX,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.6,8.95,8,4,8,52
61531,2014,2013-14,1610612762,Utah Jazz,202330,Gordon Hayward,F,SF,02-26-2014,21300860,UTA,PHX,Made Shot,True,Driving Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,6.45,2,4,9,29
