,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
108481,2014,2013-14,1610612762,Utah Jazz,203504,Trey Burke,G,PG,01-15-2014,21300573,SAS,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.8,29.35,27,4,0,4
108500,2014,2013-14,1610612762,Utah Jazz,203504,Trey Burke,G,PG,01-15-2014,21300573,SAS,UTA,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,7.15,2,4,0,9
108519,2014,2013-14,1610612762,Utah Jazz,203504,Trey Burke,G,PG,01-15-2014,21300573,SAS,UTA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.3,27.75,24,4,0,21
108541,2014,2013-14,1610612762,Utah Jazz,203504,Trey Burke,G,PG,01-15-2014,21300573,SAS,UTA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.9,23.05,20,4,0,27
108576,2014,2013-14,1610612762,Utah Jazz,202692,Alec Burks,G,SG,01-15-2014,21300573,SAS,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.05,0,4,0,38
108584,2014,2013-14,1610612759,San Antonio Spurs,2564,Boris Diaw,F,PF,01-15-2014,21300573,SAS,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.5,14.35,9,4,0,45
108594,2014,2013-14,1610612762,Utah Jazz,203504,Trey Burke,G,PG,01-15-2014,21300573,SAS,UTA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.6,6.65,2,4,1,5
108600,2014,2013-14,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,01-15-2014,21300573,SAS,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,3.65,22,4,1,10
108608,2014,2013-14,1610612762,Utah Jazz,202692,Alec Burks,G,SG,01-15-2014,21300573,SAS,UTA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,7.45,2,4,1,36
108616,2014,2013-14,1610612762,Utah Jazz,202683,Enes Freedom,C,C,01-15-2014,21300573,SAS,UTA,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.3,7.85,7,4,1,53
108636,2014,2013-14,1610612762,Utah Jazz,202692,Alec Burks,G,SG,01-15-2014,21300573,SAS,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,7.45,2,4,2,2
108649,2014,2013-14,1610612759,San Antonio Spurs,201158,Marco Belinelli,F,SF,01-15-2014,21300573,SAS,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.3,7.55,23,4,2,8
108654,2014,2013-14,1610612762,Utah Jazz,202683,Enes Freedom,C,C,01-15-2014,21300573,SAS,UTA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.2,20.35,18,4,2,32
108659,2014,2013-14,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,01-15-2014,21300573,SAS,UTA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.2,15.75,16,4,2,59
108664,2014,2013-14,1610612762,Utah Jazz,202683,Enes Freedom,C,C,01-15-2014,21300573,SAS,UTA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.75,1,4,3,17
108682,2014,2013-14,1610612762,Utah Jazz,2210,Richard Jefferson,F,SF,01-15-2014,21300573,SAS,UTA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.8,15.45,24,4,3,46
108689,2014,2013-14,1610612762,Utah Jazz,203504,Trey Burke,G,PG,01-15-2014,21300573,SAS,UTA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,6.75,2,4,3,52
108698,2014,2013-14,1610612759,San Antonio Spurs,2225,Tony Parker,G,PG,01-15-2014,21300573,SAS,UTA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.5,14.55,9,4,3,56
108702,2014,2013-14,1610612762,Utah Jazz,202692,Alec Burks,G,SG,01-15-2014,21300573,SAS,UTA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,6.75,1,4,4,17
