,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
148264,2015,2014-15,1610612766,Charlotte Hornets,203798,PJ Hairston,G,SG,12-13-2014,21400341,CHA,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.4,32.85,28,4,0,25
148267,2015,2014-15,1610612751,Brooklyn Nets,202711,Bojan Bogdanovic,F,SF,12-13-2014,21400341,CHA,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.6,32.15,30,4,0,34
148270,2015,2014-15,1610612766,Charlotte Hornets,203077,Michael Kidd-Gilchrist,F,SF,12-13-2014,21400341,CHA,BKN,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,58
148295,2015,2014-15,1610612751,Brooklyn Nets,202721,Darius Morris,G,PG,12-13-2014,21400341,CHA,BKN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,5.55,1,4,1,20
148301,2015,2014-15,1610612766,Charlotte Hornets,203148,Brian Roberts,G,PG,12-13-2014,21400341,CHA,BKN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.4,19.75,18,4,1,45
148309,2015,2014-15,1610612766,Charlotte Hornets,2457,Jannero Pargo,G,PG,12-13-2014,21400341,CHA,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.4,6.65,23,4,2,8
148313,2015,2014-15,1610612766,Charlotte Hornets,203077,Michael Kidd-Gilchrist,F,SF,12-13-2014,21400341,CHA,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-7.5,22.85,19,4,2,21
148328,2015,2014-15,1610612751,Brooklyn Nets,203508,Sergey Karasev,G,SG,12-13-2014,21400341,CHA,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.0,12.15,9,4,2,37
148333,2015,2014-15,1610612766,Charlotte Hornets,203798,PJ Hairston,G,SG,12-13-2014,21400341,CHA,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,8.7,32.45,28,4,2,58
148334,2015,2014-15,1610612751,Brooklyn Nets,202711,Bojan Bogdanovic,F,SF,12-13-2014,21400341,CHA,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.4,23.85,26,4,3,17
148335,2015,2014-15,1610612766,Charlotte Hornets,203798,PJ Hairston,G,SG,12-13-2014,21400341,CHA,BKN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,6.75,1,4,3,37
148338,2015,2014-15,1610612751,Brooklyn Nets,203486,Mason Plumlee,C,C,12-13-2014,21400341,CHA,BKN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.95,0,4,3,55
148344,2015,2014-15,1610612766,Charlotte Hornets,2457,Jannero Pargo,G,PG,12-13-2014,21400341,CHA,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.1,27.25,26,4,4,11
148351,2015,2014-15,1610612751,Brooklyn Nets,203508,Sergey Karasev,G,SG,12-13-2014,21400341,CHA,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.5,30.45,25,4,4,19
148354,2015,2014-15,1610612766,Charlotte Hornets,203798,PJ Hairston,G,SG,12-13-2014,21400341,CHA,BKN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.95,2,4,4,41
148360,2015,2014-15,1610612751,Brooklyn Nets,202721,Darius Morris,G,PG,12-13-2014,21400341,CHA,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.0,15.45,15,4,4,46
148390,2015,2014-15,1610612766,Charlotte Hornets,202687,Bismack Biyombo,C,C,12-13-2014,21400341,CHA,BKN,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.0,13.55,8,4,5,13
148392,2015,2014-15,1610612751,Brooklyn Nets,101114,Deron Williams,G,PG,12-13-2014,21400341,CHA,BKN,Made Shot,True,Driving Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.9,8.35,4,4,5,29
148394,2015,2014-15,1610612766,Charlotte Hornets,203148,Brian Roberts,G,PG,12-13-2014,21400341,CHA,BKN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.8,19.25,19,4,5,54
148400,2015,2014-15,1610612751,Brooklyn Nets,101127,Jarrett Jack,G,PG,12-13-2014,21400341,CHA,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.1,23.35,18,4,6,7
148417,2015,2014-15,1610612766,Charlotte Hornets,203077,Michael Kidd-Gilchrist,F,SF,12-13-2014,21400341,CHA,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,2.3,24.75,19,4,6,20
148464,2015,2014-15,1610612766,Charlotte Hornets,202687,Bismack Biyombo,C,C,12-13-2014,21400341,CHA,BKN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.5,5.55,1,4,6,48
148468,2015,2014-15,1610612751,Brooklyn Nets,101127,Jarrett Jack,G,PG,12-13-2014,21400341,CHA,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.9,15.65,16,4,6,56
148479,2015,2014-15,1610612766,Charlotte Hornets,203077,Michael Kidd-Gilchrist,F,SF,12-13-2014,21400341,CHA,BKN,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.5,16.25,11,4,7,19
