,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
108491,2015,2014-15,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,01-14-2015,21400574,CHA,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.8,33.25,32,4,0,0
108493,2015,2014-15,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,01-14-2015,21400574,CHA,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.7,29.85,25,4,0,4
108495,2015,2014-15,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,01-14-2015,21400574,CHA,SAS,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.55,0,4,0,15
108496,2015,2014-15,1610612766,Charlotte Hornets,201945,Gerald Henderson,G,SG,01-14-2015,21400574,CHA,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,7.25,22,4,0,16
108507,2015,2014-15,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,01-14-2015,21400574,CHA,SAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,7.45,2,4,0,44
108509,2015,2014-15,1610612759,San Antonio Spurs,201988,Patty Mills,G,PG,01-14-2015,21400574,CHA,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.6,29.65,24,4,0,54
108518,2015,2014-15,1610612766,Charlotte Hornets,203798,PJ Hairston,G,SG,01-14-2015,21400574,CHA,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.1,19.55,24,4,1,22
108525,2015,2014-15,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,01-14-2015,21400574,CHA,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.8,28.05,26,4,1,48
108526,2015,2014-15,1610612759,San Antonio Spurs,201168,Tiago Splitter,C,C,01-14-2015,21400574,CHA,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.85,0,4,2,0
108533,2015,2014-15,1610612766,Charlotte Hornets,201945,Gerald Henderson,G,SG,01-14-2015,21400574,CHA,SAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.75,1,4,2,23
108534,2015,2014-15,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,01-14-2015,21400574,CHA,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.9,28.85,26,4,2,37
108540,2015,2014-15,1610612766,Charlotte Hornets,203798,PJ Hairston,G,SG,01-14-2015,21400574,CHA,SAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,5.95,0,4,2,53
108543,2015,2014-15,1610612766,Charlotte Hornets,203798,PJ Hairston,G,SG,01-14-2015,21400574,CHA,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.2,14.95,11,4,2,55
108546,2015,2014-15,1610612759,San Antonio Spurs,1938,Manu Ginobili,G,SG,01-14-2015,21400574,CHA,SAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.9,30.25,25,4,3,21
108548,2015,2014-15,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,01-14-2015,21400574,CHA,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.7,21.95,16,4,3,31
