,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
187890,2015,2014-15,1610612742,Dallas Mavericks,101145,Monta Ellis,G,SG,11-11-2014,21400106,DAL,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.3,23.85,24,4,0,13
187891,2015,2014-15,1610612742,Dallas Mavericks,202718,Chandler Parsons,F,SF,11-11-2014,21400106,DAL,SAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.6,28.85,25,4,0,39
187892,2015,2014-15,1610612758,Sacramento Kings,200752,Rudy Gay,F,SF,11-11-2014,21400106,DAL,SAC,Made Shot,True,Driving Bank shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.3,6.15,2,4,1,0
187893,2015,2014-15,1610612742,Dallas Mavericks,2199,Tyson Chandler,C,C,11-11-2014,21400106,DAL,SAC,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.95,0,4,1,5
187894,2015,2014-15,1610612742,Dallas Mavericks,101145,Monta Ellis,G,SG,11-11-2014,21400106,DAL,SAC,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,6.45,1,4,1,6
187895,2015,2014-15,1610612742,Dallas Mavericks,2199,Tyson Chandler,C,C,11-11-2014,21400106,DAL,SAC,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,1,40
187896,2015,2014-15,1610612742,Dallas Mavericks,101145,Monta Ellis,G,SG,11-11-2014,21400106,DAL,SAC,Made Shot,True,Running Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,2,0
187897,2015,2014-15,1610612742,Dallas Mavericks,101145,Monta Ellis,G,SG,11-11-2014,21400106,DAL,SAC,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.5,25.35,22,4,2,15
187898,2015,2014-15,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,11-11-2014,21400106,DAL,SAC,Made Shot,True,Slam Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,2,38
187899,2015,2014-15,1610612742,Dallas Mavericks,202718,Chandler Parsons,F,SF,11-11-2014,21400106,DAL,SAC,Made Shot,True,Fadeaway Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.0,26.15,24,4,2,56
187900,2015,2014-15,1610612758,Sacramento Kings,203463,Ben McLemore,G,SG,11-11-2014,21400106,DAL,SAC,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,6.35,2,4,3,19
187902,2015,2014-15,1610612742,Dallas Mavericks,101145,Monta Ellis,G,SG,11-11-2014,21400106,DAL,SAC,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-16.8,19.25,21,4,3,34
187903,2015,2014-15,1610612758,Sacramento Kings,201956,Omri Casspi,F,SF,11-11-2014,21400106,DAL,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.2,22.25,24,4,3,50
187905,2015,2014-15,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,11-11-2014,21400106,DAL,SAC,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.7,7.25,6,4,4,7
187907,2015,2014-15,1610612742,Dallas Mavericks,1717,Dirk Nowitzki,F,PF,11-11-2014,21400106,DAL,SAC,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,4.5,21.45,16,4,4,57
187909,2015,2014-15,1610612742,Dallas Mavericks,1717,Dirk Nowitzki,F,PF,11-11-2014,21400106,DAL,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.7,26.85,25,4,5,22
187910,2015,2014-15,1610612758,Sacramento Kings,201171,Carl Landry,F,PF,11-11-2014,21400106,DAL,SAC,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.35,0,4,5,36
187911,2015,2014-15,1610612742,Dallas Mavericks,200826,J.J. Barea,G,PG,11-11-2014,21400106,DAL,SAC,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.9,11.05,23,4,5,51
187913,2015,2014-15,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,11-11-2014,21400106,DAL,SAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.55,1,4,6,11
187914,2015,2014-15,1610612742,Dallas Mavericks,1717,Dirk Nowitzki,F,PF,11-11-2014,21400106,DAL,SAC,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.0,16.05,19,4,6,43
187917,2015,2014-15,1610612758,Sacramento Kings,203463,Ben McLemore,G,SG,11-11-2014,21400106,DAL,SAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.65,1,4,6,56
187925,2015,2014-15,1610612742,Dallas Mavericks,2734,Devin Harris,G,PG,11-11-2014,21400106,DAL,SAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,6.35,2,4,7,13
