,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
126812,2015,2014-15,1610612742,Dallas Mavericks,101109,Raymond Felton,G,PG,12-30-2014,21400470,DAL,WAS,Made Shot,True,Driving Bank shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,5.25,2,4,0,5
126813,2015,2014-15,1610612764,Washington Wizards,202338,Kevin Seraphin,C,C,12-30-2014,21400470,DAL,WAS,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.3,13.25,18,4,0,29
126814,2015,2014-15,1610612742,Dallas Mavericks,101111,Charlie Villanueva,F,PF,12-30-2014,21400470,DAL,WAS,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,3.7,28.25,23,4,0,51
126815,2015,2014-15,1610612764,Washington Wizards,203490,Otto Porter Jr.,F,SF,12-30-2014,21400470,DAL,WAS,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,7.1,29.05,24,4,1,7
126818,2015,2014-15,1610612742,Dallas Mavericks,101109,Raymond Felton,G,PG,12-30-2014,21400470,DAL,WAS,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.1,9.95,12,4,1,14
126822,2015,2014-15,1610612742,Dallas Mavericks,101111,Charlie Villanueva,F,PF,12-30-2014,21400470,DAL,WAS,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.2,8.85,4,4,1,43
126823,2015,2014-15,1610612764,Washington Wizards,201971,DeJuan Blair,F,PF,12-30-2014,21400470,DAL,WAS,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.4,6.75,11,4,2,4
126826,2015,2014-15,1610612742,Dallas Mavericks,202329,Al-Farouq Aminu,F,SF,12-30-2014,21400470,DAL,WAS,Made Shot,True,Driving Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,8.35,3,4,2,21
126834,2015,2014-15,1610612742,Dallas Mavericks,200826,J.J. Barea,G,PG,12-30-2014,21400470,DAL,WAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,4.95,0,4,2,45
126835,2015,2014-15,1610612764,Washington Wizards,201971,DeJuan Blair,F,PF,12-30-2014,21400470,DAL,WAS,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.6,9.35,4,4,2,55
126837,2015,2014-15,1610612742,Dallas Mavericks,101109,Raymond Felton,G,PG,12-30-2014,21400470,DAL,WAS,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.2,20.15,17,4,3,14
126847,2015,2014-15,1610612764,Washington Wizards,202338,Kevin Seraphin,C,C,12-30-2014,21400470,DAL,WAS,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.8,7.85,14,4,3,27
