,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
175617,2015,2014-15,1610612763,Memphis Grizzlies,202720,Jon Leuer,F,PF,11-21-2014,21400176,MEM,BOS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.95,1,4,0,37
175622,2015,2014-15,1610612763,Memphis Grizzlies,203919,Jordan Adams,G,SG,11-21-2014,21400176,MEM,BOS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.2,21.25,18,4,0,42
175637,2015,2014-15,1610612738,Boston Celtics,203092,Tyler Zeller,C,C,11-21-2014,21400176,MEM,BOS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.65,0,4,0,56
175641,2015,2014-15,1610612738,Boston Celtics,203923,James Young,G,SG,11-21-2014,21400176,MEM,BOS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.4,26.15,25,4,1,0
175684,2015,2014-15,1610612763,Memphis Grizzlies,2419,Tayshaun Prince,F,SF,11-21-2014,21400176,MEM,BOS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.9,18.35,19,4,1,27
175688,2015,2014-15,1610612738,Boston Celtics,202340,Avery Bradley,G,SG,11-21-2014,21400176,MEM,BOS,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.0,10.45,6,4,1,43
175689,2015,2014-15,1610612763,Memphis Grizzlies,2419,Tayshaun Prince,F,SF,11-21-2014,21400176,MEM,BOS,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-5.4,11.65,8,4,1,56
175691,2015,2014-15,1610612738,Boston Celtics,203939,Dwight Powell,F,PF,11-21-2014,21400176,MEM,BOS,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,2,15
175709,2015,2014-15,1610612763,Memphis Grizzlies,201188,Marc Gasol,C,C,11-21-2014,21400176,MEM,BOS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,6.75,1,4,2,28
175714,2015,2014-15,1610612738,Boston Celtics,202340,Avery Bradley,G,SG,11-21-2014,21400176,MEM,BOS,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.0,8.65,23,4,2,41
