,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
50422,2015,2014-15,1610612763,Memphis Grizzlies,201145,Jeff Green,F,SF,03-07-2015,21400923,NOP,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.4,25.85,25,4,0,0
50426,2015,2014-15,1610612763,Memphis Grizzlies,201584,Courtney Lee,G,SG,03-07-2015,21400923,NOP,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.0,28.75,25,4,0,3
50442,2015,2014-15,1610612763,Memphis Grizzlies,201144,Mike Conley,G,PG,03-07-2015,21400923,NOP,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.7,29.45,25,4,0,13
50474,2015,2014-15,1610612740,New Orleans Pelicans,201582,Alexis Ajinca,C,C,03-07-2015,21400923,NOP,MEM,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.1,7.15,2,4,1,17
50490,2015,2014-15,1610612763,Memphis Grizzlies,201188,Marc Gasol,C,C,03-07-2015,21400923,NOP,MEM,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.8,7.25,2,4,1,40
50493,2015,2014-15,1610612740,New Orleans Pelicans,201569,Eric Gordon,G,SG,03-07-2015,21400923,NOP,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,1.6,29.45,24,4,1,52
50494,2015,2014-15,1610612763,Memphis Grizzlies,201144,Mike Conley,G,PG,03-07-2015,21400923,NOP,MEM,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.0,29.35,25,4,2,12
50499,2015,2014-15,1610612740,New Orleans Pelicans,201569,Eric Gordon,G,SG,03-07-2015,21400923,NOP,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.4,5.35,22,4,2,29
50513,2015,2014-15,1610612763,Memphis Grizzlies,201188,Marc Gasol,C,C,03-07-2015,21400923,NOP,MEM,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.0,10.75,5,4,2,53
50516,2015,2014-15,1610612740,New Orleans Pelicans,202708,Norris Cole,G,PG,03-07-2015,21400923,NOP,MEM,Made Shot,True,Driving Jump shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.5,7.75,2,4,3,13
50520,2015,2014-15,1610612740,New Orleans Pelicans,201936,Tyreke Evans,G,SG,03-07-2015,21400923,NOP,MEM,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.6,9.65,24,4,3,23
50525,2015,2014-15,1610612763,Memphis Grizzlies,2754,Tony Allen,G,SG,03-07-2015,21400923,NOP,MEM,Made Shot,True,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.3,5.65,1,4,3,50
