,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
41922,2015,2014-15,1610612749,Milwaukee Bucks,203898,Tyler Ennis,G,PG,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.6,28.25,25,4,0,23
41924,2015,2014-15,1610612763,Memphis Grizzlies,2754,Tony Allen,G,SG,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,7.15,23,4,0,36
41927,2015,2014-15,1610612749,Milwaukee Bucks,203948,Johnny O'Bryant III,F,PF,03-14-2015,21400979,MEM,MIL,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.25,0,4,0,57
41934,2015,2014-15,1610612763,Memphis Grizzlies,201585,Kosta Koufos,C,C,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-0.0,21.15,15,4,1,9
41944,2015,2014-15,1610612763,Memphis Grizzlies,2757,Beno Udrih,G,PG,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-17.1,18.15,21,4,1,31
41952,2015,2014-15,1610612763,Memphis Grizzlies,201584,Courtney Lee,G,SG,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.6,5.35,22,4,2,11
41963,2015,2014-15,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,03-14-2015,21400979,MEM,MIL,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.2,10.05,4,4,2,26
41965,2015,2014-15,1610612763,Memphis Grizzlies,2757,Beno Udrih,G,PG,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.0,6.75,7,4,2,41
41968,2015,2014-15,1610612749,Milwaukee Bucks,203898,Tyler Ennis,G,PG,03-14-2015,21400979,MEM,MIL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,2,56
41974,2015,2014-15,1610612749,Milwaukee Bucks,203187,Chris Johnson,F,SF,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.0,20.65,24,4,3,12
41976,2015,2014-15,1610612763,Memphis Grizzlies,1713,Vince Carter,G,SG,03-14-2015,21400979,MEM,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.2,23.85,26,4,3,25
41989,2015,2014-15,1610612763,Memphis Grizzlies,201188,Marc Gasol,C,C,03-14-2015,21400979,MEM,MIL,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.55,1,4,3,46
41992,2015,2014-15,1610612749,Milwaukee Bucks,2585,Zaza Pachulia,C,C,03-14-2015,21400979,MEM,MIL,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,6.4,17.85,14,4,4,6
41994,2015,2014-15,1610612763,Memphis Grizzlies,201188,Marc Gasol,C,C,03-14-2015,21400979,MEM,MIL,Made Shot,True,Turnaround Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.0,8.95,6,4,4,26
41999,2015,2014-15,1610612749,Milwaukee Bucks,101141,Ersan Ilyasova,F,PF,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.35,0,4,4,45
42001,2015,2014-15,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,10.55,23,4,4,48
42016,2015,2014-15,1610612749,Milwaukee Bucks,101141,Ersan Ilyasova,F,PF,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.35,0,4,5,19
42019,2015,2014-15,1610612763,Memphis Grizzlies,2757,Beno Udrih,G,PG,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-8.6,18.95,16,4,5,27
42023,2015,2014-15,1610612749,Milwaukee Bucks,101141,Ersan Ilyasova,F,PF,03-14-2015,21400979,MEM,MIL,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.55,1,4,5,46
42032,2015,2014-15,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.3,20.85,19,4,6,4
42036,2015,2014-15,1610612763,Memphis Grizzlies,201145,Jeff Green,F,SF,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.2,7.25,9,4,6,19
42042,2015,2014-15,1610612749,Milwaukee Bucks,203898,Tyler Ennis,G,PG,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.9,16.55,17,4,6,40
42046,2015,2014-15,1610612763,Memphis Grizzlies,2757,Beno Udrih,G,PG,03-14-2015,21400979,MEM,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.6,4.45,22,4,6,52
42052,2015,2014-15,1610612763,Memphis Grizzlies,201145,Jeff Green,F,SF,03-14-2015,21400979,MEM,MIL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.35,1,4,7,25
42054,2015,2014-15,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,03-14-2015,21400979,MEM,MIL,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,17.7,7.85,17,4,7,40
42070,2015,2014-15,1610612763,Memphis Grizzlies,201979,Nick Calathes,G,SG,03-14-2015,21400979,MEM,MIL,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.85,0,4,7,57
42077,2015,2014-15,1610612749,Milwaukee Bucks,203114,Khris Middleton,F,SF,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.65,0,4,8,4
42080,2015,2014-15,1610612749,Milwaukee Bucks,203089,John Henson,C,C,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.7,9.45,9,4,8,6
42082,2015,2014-15,1610612763,Memphis Grizzlies,201145,Jeff Green,F,SF,03-14-2015,21400979,MEM,MIL,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.6,2.75,22,4,8,23
42084,2015,2014-15,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,G,SG,03-14-2015,21400979,MEM,MIL,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.3,8.95,8,4,8,43
42089,2015,2014-15,1610612763,Memphis Grizzlies,2754,Tony Allen,G,SG,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,5.05,0,4,8,51
42091,2015,2014-15,1610612749,Milwaukee Bucks,203101,Miles Plumlee,C,C,03-14-2015,21400979,MEM,MIL,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-4.5,16.55,12,4,9,11
42095,2015,2014-15,1610612763,Memphis Grizzlies,201145,Jeff Green,F,SF,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.9,26.05,25,4,9,24
42104,2015,2014-15,1610612763,Memphis Grizzlies,2754,Tony Allen,G,SG,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,1.5,14.05,8,4,10,15
42112,2015,2014-15,1610612749,Milwaukee Bucks,203101,Miles Plumlee,C,C,03-14-2015,21400979,MEM,MIL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,10,33
42130,2015,2014-15,1610612763,Memphis Grizzlies,201188,Marc Gasol,C,C,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.4,10.85,10,4,10,58
42135,2015,2014-15,1610612749,Milwaukee Bucks,203101,Miles Plumlee,C,C,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.1,4.95,14,4,11,19
42143,2015,2014-15,1610612763,Memphis Grizzlies,201145,Jeff Green,F,SF,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.65,1,4,11,44
42159,2015,2014-15,1610612749,Milwaukee Bucks,203187,Chris Johnson,F,SF,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.0,21.65,25,3,0,7
42177,2015,2014-15,1610612763,Memphis Grizzlies,201979,Nick Calathes,G,SG,03-14-2015,21400979,MEM,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,3.05,22,3,0,47
