,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
31055,2015,2014-15,1610612750,Minnesota Timberwolves,2755,Kevin Martin,G,SG,03-22-2015,21401045,MIN,CHA,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.3,7.55,15,4,0,19
31062,2015,2014-15,1610612766,Charlotte Hornets,2744,Al Jefferson,C,C,03-22-2015,21401045,MIN,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,7.45,2,4,0,25
31069,2015,2014-15,1610612750,Minnesota Timberwolves,203897,Zach LaVine,G,PG,03-22-2015,21401045,MIN,CHA,Missed Shot,False,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.9,6.65,6,4,0,56
31076,2015,2014-15,1610612766,Charlotte Hornets,101107,Marvin Williams,F,PF,03-22-2015,21401045,MIN,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.7,27.45,25,4,1,3
31081,2015,2014-15,1610612766,Charlotte Hornets,101107,Marvin Williams,F,PF,03-22-2015,21401045,MIN,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.0,26.15,20,4,1,19
31084,2015,2014-15,1610612750,Minnesota Timberwolves,2755,Kevin Martin,G,SG,03-22-2015,21401045,MIN,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.5,7.75,15,4,1,43
31105,2015,2014-15,1610612766,Charlotte Hornets,2590,Mo Williams,G,PG,03-22-2015,21401045,MIN,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.0,23.85,21,4,1,53
31112,2015,2014-15,1610612750,Minnesota Timberwolves,2755,Kevin Martin,G,SG,03-22-2015,21401045,MIN,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,4.1,20.55,15,4,2,15
31119,2015,2014-15,1610612766,Charlotte Hornets,2744,Al Jefferson,C,C,03-22-2015,21401045,MIN,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.25,0,4,2,30
31129,2015,2014-15,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,03-22-2015,21401045,MIN,CHA,Missed Shot,False,Running Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.2,7.45,7,4,2,33
31137,2015,2014-15,1610612766,Charlotte Hornets,2590,Mo Williams,G,PG,03-22-2015,21401045,MIN,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.9,31.05,26,4,2,52
31148,2015,2014-15,1610612750,Minnesota Timberwolves,2755,Kevin Martin,G,SG,03-22-2015,21401045,MIN,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.8,6.75,11,4,3,20
