,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
26706,2015,2014-15,1610612740,New Orleans Pelicans,201936,Tyreke Evans,G,SG,03-25-2015,21401068,NOP,HOU,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-19.2,8.35,19,4,0,0
26766,2015,2014-15,1610612745,Houston Rockets,201935,James Harden,G,SG,03-25-2015,21401068,NOP,HOU,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,5.1,25.25,20,4,0,11
26768,2015,2014-15,1610612740,New Orleans Pelicans,201936,Tyreke Evans,G,SG,03-25-2015,21401068,NOP,HOU,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,6.75,2,4,0,37
26772,2015,2014-15,1610612745,Houston Rockets,202700,Donatas Motiejunas,F,PF,03-25-2015,21401068,NOP,HOU,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.4,9.15,6,4,0,55
26783,2015,2014-15,1610612740,New Orleans Pelicans,201600,Omer Asik,C,C,03-25-2015,21401068,NOP,HOU,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.5,5.35,1,4,1,16
26787,2015,2014-15,1610612740,New Orleans Pelicans,201600,Omer Asik,C,C,03-25-2015,21401068,NOP,HOU,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.85,0,4,1,19
26795,2015,2014-15,1610612745,Houston Rockets,201935,James Harden,G,SG,03-25-2015,21401068,NOP,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.1,27.65,25,4,1,32
26806,2015,2014-15,1610612740,New Orleans Pelicans,202347,Quincy Pondexter,F,SF-SG,03-25-2015,21401068,NOP,HOU,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,7.25,2,4,1,51
26812,2015,2014-15,1610612740,New Orleans Pelicans,203076,Anthony Davis,F,PF,03-25-2015,21401068,NOP,HOU,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.6,21.95,16,4,1,53
26819,2015,2014-15,1610612745,Houston Rockets,2746,Josh Smith,F,PF,03-25-2015,21401068,NOP,HOU,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.8,19.05,17,4,2,7
26827,2015,2014-15,1610612745,Houston Rockets,201935,James Harden,G,SG,03-25-2015,21401068,NOP,HOU,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.5,6.45,20,4,2,28
26861,2015,2014-15,1610612745,Houston Rockets,2746,Josh Smith,F,PF,03-25-2015,21401068,NOP,HOU,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.6,9.15,22,4,3,13
26869,2015,2014-15,1610612740,New Orleans Pelicans,201936,Tyreke Evans,G,SG,03-25-2015,21401068,NOP,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.5,28.75,26,4,3,36
26877,2015,2014-15,1610612740,New Orleans Pelicans,201936,Tyreke Evans,G,SG,03-25-2015,21401068,NOP,HOU,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,8.25,3,4,3,46
26886,2015,2014-15,1610612745,Houston Rockets,2746,Josh Smith,F,PF,03-25-2015,21401068,NOP,HOU,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.6,29.95,25,4,4,0
