,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
46980,2015,2014-15,1610612752,New York Knicks,203144,Alexey Shved,G,SG,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.5,29.65,24,4,0,17
47007,2015,2014-15,1610612752,New York Knicks,200745,Andrea Bargnani,C,C,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.3,7.55,4,4,0,33
47011,2015,2014-15,1610612762,Utah Jazz,203918,Rodney Hood,G,SG,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,4.3,13.55,9,4,1,3
47019,2015,2014-15,1610612752,New York Knicks,204038,Langston Galloway,G,PG,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.2,7.55,3,4,1,24
47024,2015,2014-15,1610612762,Utah Jazz,203918,Rodney Hood,G,SG,03-10-2015,21400950,UTA,NYK,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.0,10.05,8,4,1,37
47027,2015,2014-15,1610612752,New York Knicks,200745,Andrea Bargnani,C,C,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.3,9.65,16,4,1,59
47035,2015,2014-15,1610612762,Utah Jazz,203918,Rodney Hood,G,SG,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.2,8.65,6,4,2,13
47040,2015,2014-15,1610612752,New York Knicks,204038,Langston Galloway,G,PG,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-2.9,29.65,24,4,2,35
47059,2015,2014-15,1610612752,New York Knicks,202332,Cole Aldrich,C,C,03-10-2015,21400950,UTA,NYK,Made Shot,True,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.5,10.85,8,4,3,8
47066,2015,2014-15,1610612762,Utah Jazz,202324,Derrick Favors,F,PF,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,6.0,6.65,6,4,3,32
47073,2015,2014-15,1610612752,New York Knicks,203144,Alexey Shved,G,SG,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.3,3.95,13,4,3,49
47076,2015,2014-15,1610612762,Utah Jazz,204060,Joe Ingles,F,SF,03-10-2015,21400950,UTA,NYK,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.7,4.65,3,4,4,6
47079,2015,2014-15,1610612752,New York Knicks,200745,Andrea Bargnani,C,C,03-10-2015,21400950,UTA,NYK,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.5,10.05,4,4,4,21
47080,2015,2014-15,1610612762,Utah Jazz,204060,Joe Ingles,F,SF,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-19.0,7.55,19,4,4,34
47083,2015,2014-15,1610612752,New York Knicks,202332,Cole Aldrich,C,C,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.9,10.75,5,4,4,45
47086,2015,2014-15,1610612762,Utah Jazz,203497,Rudy Gobert,C,C,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.1,9.75,4,4,4,56
47102,2015,2014-15,1610612762,Utah Jazz,204060,Joe Ingles,F,SF,03-10-2015,21400950,UTA,NYK,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.3,24.65,24,4,5,29
47105,2015,2014-15,1610612752,New York Knicks,204038,Langston Galloway,G,PG,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.5,8.05,20,4,5,40
47107,2015,2014-15,1610612762,Utah Jazz,204060,Joe Ingles,F,SF,03-10-2015,21400950,UTA,NYK,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.4,26.65,22,4,6,3
47110,2015,2014-15,1610612752,New York Knicks,202332,Cole Aldrich,C,C,03-10-2015,21400950,UTA,NYK,Made Shot,True,Jump Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.4,9.95,4,4,6,29
47114,2015,2014-15,1610612752,New York Knicks,202332,Cole Aldrich,C,C,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.5,8.35,3,4,7,1
47116,2015,2014-15,1610612752,New York Knicks,204038,Langston Galloway,G,PG,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.0,20.15,16,4,7,3
47133,2015,2014-15,1610612752,New York Knicks,200745,Andrea Bargnani,C,C,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.7,10.55,7,4,7,34
47142,2015,2014-15,1610612762,Utah Jazz,202324,Derrick Favors,F,PF,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.6,7.75,8,4,7,54
47145,2015,2014-15,1610612752,New York Knicks,204037,Travis Wear,F,SF,03-10-2015,21400950,UTA,NYK,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.5,22.75,21,4,8,11
