,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
140718,2015,2014-15,1610612755,Philadelphia 76ers,203487,Michael Carter-Williams,G,PG,12-19-2014,21400384,PHI,CHA,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,11
140738,2015,2014-15,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,12-19-2014,21400384,PHI,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.2,30.15,24,4,0,41
140745,2015,2014-15,1610612755,Philadelphia 76ers,203487,Michael Carter-Williams,G,PG,12-19-2014,21400384,PHI,CHA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.8,6.75,1,4,1,0
140757,2015,2014-15,1610612766,Charlotte Hornets,2744,Al Jefferson,C,C,12-19-2014,21400384,PHI,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.35,1,4,1,10
140759,2015,2014-15,1610612766,Charlotte Hornets,2744,Al Jefferson,C,C,12-19-2014,21400384,PHI,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.85,0,4,1,11
140765,2015,2014-15,1610612755,Philadelphia 76ers,203487,Michael Carter-Williams,G,PG,12-19-2014,21400384,PHI,CHA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.65,1,4,1,26
140769,2015,2014-15,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,12-19-2014,21400384,PHI,CHA,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.2,14.95,9,4,1,36
140776,2015,2014-15,1610612766,Charlotte Hornets,202689,Kemba Walker,G,PG,12-19-2014,21400384,PHI,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.4,16.45,11,4,1,37
140777,2015,2014-15,1610612755,Philadelphia 76ers,203496,Robert Covington,F,SF,12-19-2014,21400384,PHI,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,2.6,30.45,25,4,1,53
140786,2015,2014-15,1610612755,Philadelphia 76ers,203487,Michael Carter-Williams,G,PG,12-19-2014,21400384,PHI,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.0,27.75,25,4,2,26
140792,2015,2014-15,1610612766,Charlotte Hornets,2744,Al Jefferson,C,C,12-19-2014,21400384,PHI,CHA,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.8,6.75,5,4,2,37
140803,2015,2014-15,1610612755,Philadelphia 76ers,203909,KJ McDaniels,G,SG,12-19-2014,21400384,PHI,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.7,3.15,23,4,3,6
140816,2015,2014-15,1610612755,Philadelphia 76ers,203496,Robert Covington,F,SF,12-19-2014,21400384,PHI,CHA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.1,25.75,26,4,3,30
140822,2015,2014-15,1610612766,Charlotte Hornets,101107,Marvin Williams,F,PF,12-19-2014,21400384,PHI,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.9,26.85,24,4,3,38
140827,2015,2014-15,1610612755,Philadelphia 76ers,203487,Michael Carter-Williams,G,PG,12-19-2014,21400384,PHI,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.3,15.35,15,4,3,55
140830,2015,2014-15,1610612766,Charlotte Hornets,2744,Al Jefferson,C,C,12-19-2014,21400384,PHI,CHA,Made Shot,True,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,8.55,3,4,4,11
140835,2015,2014-15,1610612755,Philadelphia 76ers,203496,Robert Covington,F,SF,12-19-2014,21400384,PHI,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.0,31.35,26,4,4,30
140841,2015,2014-15,1610612766,Charlotte Hornets,201945,Gerald Henderson,G,SG,12-19-2014,21400384,PHI,CHA,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.8,3.65,24,4,4,40
140845,2015,2014-15,1610612766,Charlotte Hornets,201945,Gerald Henderson,G,SG,12-19-2014,21400384,PHI,CHA,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,6.4,18.75,14,4,4,47
