,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
126810,2015,2014-15,1610612757,Portland Trail Blazers,200777,Joel Freeland,C,C,12-30-2014,21400473,POR,TOR,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,5,0,6
126811,2015,2014-15,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,12-30-2014,21400473,POR,TOR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,5.65,1,5,0,17
126827,2015,2014-15,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,12-30-2014,21400473,POR,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.8,18.75,19,5,0,27
126829,2015,2014-15,1610612757,Portland Trail Blazers,202083,Wesley Matthews,G,SG,12-30-2014,21400473,POR,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.0,28.75,24,5,0,35
126831,2015,2014-15,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,12-30-2014,21400473,POR,TOR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.95,1,5,0,57
126840,2015,2014-15,1610612757,Portland Trail Blazers,200777,Joel Freeland,C,C,12-30-2014,21400473,POR,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.6,19.45,18,5,1,30
126849,2015,2014-15,1610612761,Toronto Raptors,202335,Patrick Patterson,F,PF,12-30-2014,21400473,POR,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.05,0,5,1,48
126853,2015,2014-15,1610612761,Toronto Raptors,202349,Greivis Vasquez,G,PG,12-30-2014,21400473,POR,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.7,29.45,24,5,1,55
126857,2015,2014-15,1610612757,Portland Trail Blazers,201587,Nicolas Batum,F,SF,12-30-2014,21400473,POR,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.0,24.45,24,5,2,12
126861,2015,2014-15,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,12-30-2014,21400473,POR,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,7.1,29.85,25,5,2,18
