,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
77097,2015,2014-15,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,02-08-2015,21400773,SAC,PHX,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.0,24.25,19,4,0,0
77111,2015,2014-15,1610612756,Phoenix Suns,203101,Miles Plumlee,C,C,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Tip Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,8.65,3,4,0,2
77114,2015,2014-15,1610612756,Phoenix Suns,202693,Markieff Morris,F,PF,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.7,6.15,9,4,0,3
77127,2015,2014-15,1610612758,Sacramento Kings,203463,Ben McLemore,G,SG,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-13.2,27.15,25,4,0,26
77137,2015,2014-15,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,02-08-2015,21400773,SAC,PHX,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.35,1,4,0,57
77145,2015,2014-15,1610612756,Phoenix Suns,202693,Markieff Morris,F,PF,02-08-2015,21400773,SAC,PHX,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.3,10.75,16,4,1,21
77154,2015,2014-15,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.0,7.85,15,4,1,36
77173,2015,2014-15,1610612756,Phoenix Suns,202738,Isaiah Thomas,G,PG,02-08-2015,21400773,SAC,PHX,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.2,11.25,6,4,2,27
77176,2015,2014-15,1610612758,Sacramento Kings,201196,Ramon Sessions,G,PG,02-08-2015,21400773,SAC,PHX,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.8,23.65,18,4,2,42
77199,2015,2014-15,1610612758,Sacramento Kings,203463,Ben McLemore,G,SG,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.7,7.45,7,4,3,0
77202,2015,2014-15,1610612756,Phoenix Suns,202738,Isaiah Thomas,G,PG,02-08-2015,21400773,SAC,PHX,Made Shot,True,Running Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.0,9.65,5,4,3,26
77206,2015,2014-15,1610612758,Sacramento Kings,202682,Derrick Williams,F,PF,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.2,5.65,16,4,3,38
77224,2015,2014-15,1610612758,Sacramento Kings,201574,Jason Thompson,F,PF,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.8,17.95,18,4,4,7
77230,2015,2014-15,1610612756,Phoenix Suns,202738,Isaiah Thomas,G,PG,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.9,25.85,24,4,4,27
77234,2015,2014-15,1610612758,Sacramento Kings,201196,Ramon Sessions,G,PG,02-08-2015,21400773,SAC,PHX,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.65,1,4,4,49
77238,2015,2014-15,1610612756,Phoenix Suns,201609,Goran Dragic,G,SG-PG,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Running Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.3,12.35,7,4,5,0
77246,2015,2014-15,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.0,6.65,3,4,5,25
77254,2015,2014-15,1610612758,Sacramento Kings,201574,Jason Thompson,F,PF,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.7,7.55,2,4,5,28
77271,2015,2014-15,1610612756,Phoenix Suns,202738,Isaiah Thomas,G,PG,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.4,29.35,24,4,5,43
77278,2015,2014-15,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,5.55,1,4,5,49
77285,2015,2014-15,1610612756,Phoenix Suns,202693,Markieff Morris,F,PF,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-12.5,13.85,15,4,6,8
77295,2015,2014-15,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.6,21.65,16,4,6,32
77300,2015,2014-15,1610612756,Phoenix Suns,203101,Miles Plumlee,C,C,02-08-2015,21400773,SAC,PHX,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,6,56
77314,2015,2014-15,1610612758,Sacramento Kings,203492,Ray McCallum,G,PG,02-08-2015,21400773,SAC,PHX,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.5,6.95,23,4,7,9
