,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
149608,2015,2014-15,1610612762,Utah Jazz,203918,Rodney Hood,G,SG,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Backcourt,Back Court,BC,Back Court Shot,19.0,62.35,60,4,0,0
149660,2015,2014-15,1610612762,Utah Jazz,203918,Rodney Hood,G,SG,12-12-2014,21400338,UTA,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.3,5.25,1,4,0,6
149701,2015,2014-15,1610612762,Utah Jazz,202330,Gordon Hayward,F,SF,12-12-2014,21400338,UTA,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,4.45,1,4,0,10
149738,2015,2014-15,1610612748,Miami Heat,2736,Luol Deng,F,SF,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.4,15.35,24,4,0,19
149740,2015,2014-15,1610612762,Utah Jazz,202692,Alec Burks,G,SG,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.1,28.85,24,4,0,42
149747,2015,2014-15,1610612748,Miami Heat,2547,Chris Bosh,C,C,12-12-2014,21400338,UTA,MIA,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.0,6.15,16,4,0,58
149753,2015,2014-15,1610612762,Utah Jazz,202683,Enes Freedom,C,C,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,6.95,22,4,1,23
149761,2015,2014-15,1610612748,Miami Heat,2547,Chris Bosh,C,C,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.8,27.75,24,4,1,39
149767,2015,2014-15,1610612748,Miami Heat,201596,Mario Chalmers,G,PG,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.3,7.15,2,4,1,45
149779,2015,2014-15,1610612762,Utah Jazz,202330,Gordon Hayward,F,SF,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.0,6.45,3,4,2,3
149820,2015,2014-15,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.8,5.25,13,4,2,54
149835,2015,2014-15,1610612762,Utah Jazz,202683,Enes Freedom,C,C,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,10.45,23,4,3,9
149843,2015,2014-15,1610612748,Miami Heat,203120,Justin Hamilton,C,C,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.4,20.55,24,4,3,33
149886,2015,2014-15,1610612762,Utah Jazz,203504,Trey Burke,G,PG,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,6.65,2,4,4,4
149903,2015,2014-15,1610612748,Miami Heat,203120,Justin Hamilton,C,C,12-12-2014,21400338,UTA,MIA,Made Shot,True,Jump Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.8,8.25,3,4,4,50
149911,2015,2014-15,1610612762,Utah Jazz,202683,Enes Freedom,C,C,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,13.1,22.25,21,4,5,7
149915,2015,2014-15,1610612748,Miami Heat,203120,Justin Hamilton,C,C,12-12-2014,21400338,UTA,MIA,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.35,1,4,5,34
149931,2015,2014-15,1610612762,Utah Jazz,202330,Gordon Hayward,F,SF,12-12-2014,21400338,UTA,MIA,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.55,1,4,5,53
149940,2015,2014-15,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,19.6,5.25,19,4,6,11
149941,2015,2014-15,1610612762,Utah Jazz,202683,Enes Freedom,C,C,12-12-2014,21400338,UTA,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.2,30.25,25,4,6,34
149950,2015,2014-15,1610612748,Miami Heat,201596,Mario Chalmers,G,PG,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-5.6,29.65,25,4,6,48
149976,2015,2014-15,1610612748,Miami Heat,201596,Mario Chalmers,G,PG,12-12-2014,21400338,UTA,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.6,6.35,22,4,7,18
149980,2015,2014-15,1610612762,Utah Jazz,203957,Dante Exum,G,PG,12-12-2014,21400338,UTA,MIA,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.5,9.35,23,4,7,37
149984,2015,2014-15,1610612748,Miami Heat,2548,Dwyane Wade,G,SG,12-12-2014,21400338,UTA,MIA,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.8,24.75,23,4,8,0
149985,2015,2014-15,1610612762,Utah Jazz,202683,Enes Freedom,C,C,12-12-2014,21400338,UTA,MIA,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.8,5.25,15,4,8,25
