,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
109452,2016,2015-16,1610612737,Atlanta Hawks,203118,Mike Scott,F,PF,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.2,43.25,38,4,0,0
109459,2016,2015-16,1610612737,Atlanta Hawks,202714,Shelvin Mack,G,PG,01-13-2016,21500577,CHA,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.95,1,4,0,26
109462,2016,2015-16,1610612766,Charlotte Hornets,203148,Brian Roberts,G,PG,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.9,22.75,19,4,0,33
109465,2016,2015-16,1610612737,Atlanta Hawks,202714,Shelvin Mack,G,PG,01-13-2016,21500577,CHA,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,6.05,1,4,0,45
109469,2016,2015-16,1610612766,Charlotte Hornets,201946,Tyler Hansbrough,F,PF,01-13-2016,21500577,CHA,ATL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,52
109472,2016,2015-16,1610612737,Atlanta Hawks,203118,Mike Scott,F,PF,01-13-2016,21500577,CHA,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.6,25.55,25,4,1,2
109474,2016,2015-16,1610612766,Charlotte Hornets,203148,Brian Roberts,G,PG,01-13-2016,21500577,CHA,ATL,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.2,20.65,19,4,1,10
109478,2016,2015-16,1610612737,Atlanta Hawks,203118,Mike Scott,F,PF,01-13-2016,21500577,CHA,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.7,23.05,25,4,1,22
109484,2016,2015-16,1610612766,Charlotte Hornets,1626151,Aaron Harrison,G,SG,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.8,25.25,26,4,1,33
109489,2016,2015-16,1610612766,Charlotte Hornets,1626151,Aaron Harrison,G,SG,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,6.1,21.25,17,4,1,55
109493,2016,2015-16,1610612737,Atlanta Hawks,203200,Justin Holiday,G,SG,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,5.45,2,4,2,12
109511,2016,2015-16,1610612737,Atlanta Hawks,202714,Shelvin Mack,G,PG,01-13-2016,21500577,CHA,ATL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.4,6.05,2,4,2,44
109517,2016,2015-16,1610612766,Charlotte Hornets,1626163,Frank Kaminsky,C,C,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,5.95,0,4,2,51
109520,2016,2015-16,1610612737,Atlanta Hawks,203501,Tim Hardaway Jr.,G,SG,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,7.0,29.65,25,4,3,1
109526,2016,2015-16,1610612737,Atlanta Hawks,202714,Shelvin Mack,G,PG,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-3.8,23.05,18,4,3,31
109531,2016,2015-16,1610612766,Charlotte Hornets,203148,Brian Roberts,G,PG,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.3,16.25,20,4,3,40
109537,2016,2015-16,1610612737,Atlanta Hawks,203488,Mike Muscala,C,C,01-13-2016,21500577,CHA,ATL,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,6.35,1,4,3,58
109541,2016,2015-16,1610612737,Atlanta Hawks,203488,Mike Muscala,C,C,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.95,1,4,3,59
109548,2016,2015-16,1610612766,Charlotte Hornets,1626151,Aaron Harrison,G,SG,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.7,6.05,2,4,4,11
109551,2016,2015-16,1610612766,Charlotte Hornets,201946,Tyler Hansbrough,F,PF,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,6.35,3,4,4,13
109572,2016,2015-16,1610612766,Charlotte Hornets,203584,Troy Daniels,G,SG,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.6,33.95,28,4,4,42
109607,2016,2015-16,1610612737,Atlanta Hawks,203501,Tim Hardaway Jr.,G,SG,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.6,15.25,13,4,5,24
109621,2016,2015-16,1610612766,Charlotte Hornets,202391,Jeremy Lin,G,SG,01-13-2016,21500577,CHA,ATL,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,4.7,15.75,11,4,5,46
109627,2016,2015-16,1610612737,Atlanta Hawks,201168,Tiago Splitter,C,C,01-13-2016,21500577,CHA,ATL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,6,2
109631,2016,2015-16,1610612766,Charlotte Hornets,201150,Spencer Hawes,F,PF,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.7,26.55,25,4,6,7
109648,2016,2015-16,1610612737,Atlanta Hawks,202714,Shelvin Mack,G,PG,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.3,7.85,23,4,6,26
109652,2016,2015-16,1610612766,Charlotte Hornets,201150,Spencer Hawes,F,PF,01-13-2016,21500577,CHA,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,6.85,23,4,6,47
109660,2016,2015-16,1610612737,Atlanta Hawks,202714,Shelvin Mack,G,PG,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-4.3,17.85,13,4,7,10
109666,2016,2015-16,1610612766,Charlotte Hornets,202391,Jeremy Lin,G,SG,01-13-2016,21500577,CHA,ATL,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,18.7,13.25,20,4,7,31
109672,2016,2015-16,1610612737,Atlanta Hawks,203200,Justin Holiday,G,SG,01-13-2016,21500577,CHA,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.7,8.35,22,4,7,48
109674,2016,2015-16,1610612766,Charlotte Hornets,202391,Jeremy Lin,G,SG,01-13-2016,21500577,CHA,ATL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.7,28.95,26,4,8,3
