,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
207374,2016,2015-16,1610612737,Atlanta Hawks,201143,Al Horford,C,C,10-27-2015,21500001,ATL,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-10.2,27.05,24,4,0,5
207380,2016,2015-16,1610612737,Atlanta Hawks,2594,Kyle Korver,G,SG,10-27-2015,21500001,ATL,DET,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-4.5,29.95,25,4,0,14
207381,2016,2015-16,1610612737,Atlanta Hawks,201952,Jeff Teague,G,PG,10-27-2015,21500001,ATL,DET,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,5.15,2,4,0,23
207391,2016,2015-16,1610612737,Atlanta Hawks,201952,Jeff Teague,G,PG,10-27-2015,21500001,ATL,DET,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.5,29.65,25,4,0,29
207396,2016,2015-16,1610612737,Atlanta Hawks,201952,Jeff Teague,G,PG,10-27-2015,21500001,ATL,DET,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,4.65,1,4,0,38
207401,2016,2015-16,1610612737,Atlanta Hawks,2594,Kyle Korver,G,SG,10-27-2015,21500001,ATL,DET,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.7,21.65,21,4,0,45
207408,2016,2015-16,1610612765,Detroit Pistons,202694,Marcus Morris Sr.,F,SF,10-27-2015,21500001,ATL,DET,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.9,17.35,16,4,1,32
207409,2016,2015-16,1610612765,Detroit Pistons,101141,Ersan Ilyasova,F,PF,10-27-2015,21500001,ATL,DET,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,5.15,0,4,1,38
207411,2016,2015-16,1610612765,Detroit Pistons,203484,Kentavious Caldwell-Pope,G,SG,10-27-2015,21500001,ATL,DET,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.15,0,4,1,42
207414,2016,2015-16,1610612765,Detroit Pistons,203484,Kentavious Caldwell-Pope,G,SG,10-27-2015,21500001,ATL,DET,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.5,17.85,24,4,1,47
207419,2016,2015-16,1610612765,Detroit Pistons,203083,Andre Drummond,C,C,10-27-2015,21500001,ATL,DET,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,4.65,0,4,2,7
207422,2016,2015-16,1610612765,Detroit Pistons,202694,Marcus Morris Sr.,F,SF,10-27-2015,21500001,ATL,DET,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.4,14.25,19,4,2,9
207424,2016,2015-16,1610612737,Atlanta Hawks,2594,Kyle Korver,G,SG,10-27-2015,21500001,ATL,DET,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.7,20.85,20,4,2,36
207430,2016,2015-16,1610612737,Atlanta Hawks,200794,Paul Millsap,F,PF,10-27-2015,21500001,ATL,DET,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.2,5.55,1,4,3,4
207432,2016,2015-16,1610612765,Detroit Pistons,202694,Marcus Morris Sr.,F,SF,10-27-2015,21500001,ATL,DET,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.9,4.65,18,4,3,15
