,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
51216,2016,2015-16,1610612751,Brooklyn Nets,203499,Shane Larkin,G,PG,03-05-2016,21500926,MIN,BKN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.95,0,4,0,0
51218,2016,2015-16,1610612750,Minnesota Timberwolves,1626145,Tyus Jones,G,PG,03-05-2016,21500926,MIN,BKN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.7,6.35,2,4,0,7
51223,2016,2015-16,1610612751,Brooklyn Nets,203080,Thomas Robinson,F,PF,03-05-2016,21500926,MIN,BKN,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,29
51231,2016,2015-16,1610612751,Brooklyn Nets,203499,Shane Larkin,G,PG,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.0,6.35,2,4,0,29
51232,2016,2015-16,1610612750,Minnesota Timberwolves,202962,Greg Smith,F,PF,03-05-2016,21500926,MIN,BKN,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.15,1,4,0,36
51235,2016,2015-16,1610612750,Minnesota Timberwolves,203498,Shabazz Muhammad,F,SF,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.4,9.85,10,4,0,37
51241,2016,2015-16,1610612751,Brooklyn Nets,203900,Markel Brown,G,SG,03-05-2016,21500926,MIN,BKN,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.55,1,4,1,0
51251,2016,2015-16,1610612750,Minnesota Timberwolves,203498,Shabazz Muhammad,F,SF,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-8.1,11.35,10,4,1,11
51266,2016,2015-16,1610612751,Brooklyn Nets,203900,Markel Brown,G,SG,03-05-2016,21500926,MIN,BKN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,6.85,1,4,1,31
51270,2016,2015-16,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,03-05-2016,21500926,MIN,BKN,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,1,43
51272,2016,2015-16,1610612751,Brooklyn Nets,203930,Sean Kilpatrick,G,SG,03-05-2016,21500926,MIN,BKN,Made Shot,True,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.9,4.65,9,4,2,9
51273,2016,2015-16,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,03-05-2016,21500926,MIN,BKN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-19.9,5.95,19,4,2,31
51280,2016,2015-16,1610612751,Brooklyn Nets,203499,Shane Larkin,G,PG,03-05-2016,21500926,MIN,BKN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,6.55,1,4,2,54
51282,2016,2015-16,1610612750,Minnesota Timberwolves,203498,Shabazz Muhammad,F,SF,03-05-2016,21500926,MIN,BKN,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,3,18
51302,2016,2015-16,1610612751,Brooklyn Nets,203900,Markel Brown,G,SG,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.0,26.65,24,4,3,34
51307,2016,2015-16,1610612750,Minnesota Timberwolves,203897,Zach LaVine,G,SG,03-05-2016,21500926,MIN,BKN,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.3,18.85,19,4,3,49
51311,2016,2015-16,1610612751,Brooklyn Nets,203900,Markel Brown,G,SG,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.9,27.05,24,4,3,59
51335,2016,2015-16,1610612751,Brooklyn Nets,203080,Thomas Robinson,F,PF,03-05-2016,21500926,MIN,BKN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,7.05,2,4,4,20
51359,2016,2015-16,1610612751,Brooklyn Nets,203900,Markel Brown,G,SG,03-05-2016,21500926,MIN,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-8.6,28.45,24,4,5,8
51373,2016,2015-16,1610612751,Brooklyn Nets,203080,Thomas Robinson,F,PF,03-05-2016,21500926,MIN,BKN,Made Shot,True,Putback Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,5,24
51379,2016,2015-16,1610612751,Brooklyn Nets,203930,Sean Kilpatrick,G,SG,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,5.0,11.95,8,4,5,26
51383,2016,2015-16,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,03-05-2016,21500926,MIN,BKN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-10.9,10.45,12,4,5,52
51388,2016,2015-16,1610612751,Brooklyn Nets,203930,Sean Kilpatrick,G,SG,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.2,29.15,25,4,6,9
51392,2016,2015-16,1610612751,Brooklyn Nets,202711,Bojan Bogdanovic,F,SF,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.9,29.95,27,4,6,14
51401,2016,2015-16,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,03-05-2016,21500926,MIN,BKN,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,6,30
51406,2016,2015-16,1610612751,Brooklyn Nets,203499,Shane Larkin,G,PG,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,8.55,23,4,6,43
51411,2016,2015-16,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,03-05-2016,21500926,MIN,BKN,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,6,56
51417,2016,2015-16,1610612751,Brooklyn Nets,203080,Thomas Robinson,F,PF,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.35,1,4,7,11
51430,2016,2015-16,1610612751,Brooklyn Nets,203499,Shane Larkin,G,PG,03-05-2016,21500926,MIN,BKN,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-1.4,30.45,25,4,7,44
51449,2016,2015-16,1610612751,Brooklyn Nets,203499,Shane Larkin,G,PG,03-05-2016,21500926,MIN,BKN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.55,1,4,8,19
51454,2016,2015-16,1610612750,Minnesota Timberwolves,201937,Ricky Rubio,G,PG,03-05-2016,21500926,MIN,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.7,26.55,25,4,8,36
51472,2016,2015-16,1610612751,Brooklyn Nets,203900,Markel Brown,G,SG,03-05-2016,21500926,MIN,BKN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.95,0,4,9,0
51476,2016,2015-16,1610612751,Brooklyn Nets,203900,Markel Brown,G,SG,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-23.5,4.75,23,4,9,7
51484,2016,2015-16,1610612751,Brooklyn Nets,203499,Shane Larkin,G,PG,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.3,16.25,24,4,9,18
51493,2016,2015-16,1610612751,Brooklyn Nets,203080,Thomas Robinson,F,PF,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,9,20
51497,2016,2015-16,1610612750,Minnesota Timberwolves,203940,Adreian Payne,F,PF,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.2,30.45,25,4,9,40
51503,2016,2015-16,1610612751,Brooklyn Nets,203930,Sean Kilpatrick,G,SG,03-05-2016,21500926,MIN,BKN,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,9,55
51522,2016,2015-16,1610612751,Brooklyn Nets,203080,Thomas Robinson,F,PF,03-05-2016,21500926,MIN,BKN,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,7.35,2,4,10,22
51523,2016,2015-16,1610612750,Minnesota Timberwolves,203940,Adreian Payne,F,PF,03-05-2016,21500926,MIN,BKN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,5.0,28.95,24,4,10,44
51528,2016,2015-16,1610612751,Brooklyn Nets,203930,Sean Kilpatrick,G,SG,03-05-2016,21500926,MIN,BKN,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,6.35,1,4,11,9
51542,2016,2015-16,1610612750,Minnesota Timberwolves,1626145,Tyus Jones,G,PG,03-05-2016,21500926,MIN,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.4,26.15,24,4,11,42
