,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
126803,2016,2015-16,1610612751,Brooklyn Nets,101127,Jarrett Jack,G,PG,12-30-2015,21500475,ORL,BKN,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.9,25.75,25,4,0,4
126815,2016,2015-16,1610612751,Brooklyn Nets,101127,Jarrett Jack,G,PG,12-30-2015,21500475,ORL,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-3.0,32.45,27,4,0,12
126870,2016,2015-16,1610612751,Brooklyn Nets,101127,Jarrett Jack,G,PG,12-30-2015,21500475,ORL,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-2.5,24.75,19,4,0,22
126877,2016,2015-16,1610612753,Orlando Magic,202699,Tobias Harris,F,PF,12-30-2015,21500475,ORL,BKN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.45,0,4,0,45
126890,2016,2015-16,1610612751,Brooklyn Nets,101127,Jarrett Jack,G,PG,12-30-2015,21500475,ORL,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-5.3,11.35,8,4,1,19
126895,2016,2015-16,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,12-30-2015,21500475,ORL,BKN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,6.35,1,4,1,32
126898,2016,2015-16,1610612753,Orlando Magic,203506,Victor Oladipo,G,SG,12-30-2015,21500475,ORL,BKN,Missed Shot,False,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,1,32
126906,2016,2015-16,1610612751,Brooklyn Nets,201572,Brook Lopez,C,C,12-30-2015,21500475,ORL,BKN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.35,1,4,1,43
126907,2016,2015-16,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,12-30-2015,21500475,ORL,BKN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,6.55,1,4,1,58
126926,2016,2015-16,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,12-30-2015,21500475,ORL,BKN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,5.95,0,4,2,34
126954,2016,2015-16,1610612751,Brooklyn Nets,2207,Joe Johnson,F,SF,12-30-2015,21500475,ORL,BKN,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,24.1,3.65,24,4,2,55
126958,2016,2015-16,1610612753,Orlando Magic,203506,Victor Oladipo,G,SG,12-30-2015,21500475,ORL,BKN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.15,0,4,3,2
126965,2016,2015-16,1610612753,Orlando Magic,203932,Aaron Gordon,F,PF,12-30-2015,21500475,ORL,BKN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-4.3,17.65,13,4,3,6
126970,2016,2015-16,1610612753,Orlando Magic,202696,Nikola Vucevic,C,C,12-30-2015,21500475,ORL,BKN,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.5,10.45,6,4,3,21
126977,2016,2015-16,1610612751,Brooklyn Nets,201152,Thaddeus Young,F,PF,12-30-2015,21500475,ORL,BKN,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.3,6.85,17,4,3,43
