,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
112499,2016,2015-16,1610612751,Brooklyn Nets,203499,Shane Larkin,G,PG,01-11-2016,21500566,BKN,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.0,5.95,11,4,0,1
112500,2016,2015-16,1610612759,San Antonio Spurs,203613,Jonathon Simmons,G,SG,01-11-2016,21500566,BKN,SAS,Made Shot,True,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,24
112503,2016,2015-16,1610612751,Brooklyn Nets,200745,Andrea Bargnani,C,C,01-11-2016,21500566,BKN,SAS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-6.6,21.25,17,4,0,40
112504,2016,2015-16,1610612759,San Antonio Spurs,1626246,Boban Marjanovic,C,C,01-11-2016,21500566,BKN,SAS,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,49
112505,2016,2015-16,1610612751,Brooklyn Nets,203080,Thomas Robinson,F,PF,01-11-2016,21500566,BKN,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.25,1,4,1,4
112507,2016,2015-16,1610612751,Brooklyn Nets,200745,Andrea Bargnani,C,C,01-11-2016,21500566,BKN,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,19.9,4.15,19,4,1,14
112508,2016,2015-16,1610612751,Brooklyn Nets,203080,Thomas Robinson,F,PF,01-11-2016,21500566,BKN,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.9,18.85,16,4,1,39
112511,2016,2015-16,1610612751,Brooklyn Nets,203080,Thomas Robinson,F,PF,01-11-2016,21500566,BKN,SAS,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,5.45,1,4,1,58
112516,2016,2015-16,1610612759,San Antonio Spurs,2561,David West,F,PF,01-11-2016,21500566,BKN,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,5.45,2,4,2,10
112518,2016,2015-16,1610612759,San Antonio Spurs,1626246,Boban Marjanovic,C,C,01-11-2016,21500566,BKN,SAS,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,2,36
112520,2016,2015-16,1610612759,San Antonio Spurs,2588,Matt Bonner,C,C,01-11-2016,21500566,BKN,SAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,5.25,2,4,2,38
112523,2016,2015-16,1610612751,Brooklyn Nets,200745,Andrea Bargnani,C,C,01-11-2016,21500566,BKN,SAS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.1,21.65,18,4,2,55
112524,2016,2015-16,1610612759,San Antonio Spurs,2561,David West,F,PF,01-11-2016,21500566,BKN,SAS,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.2,22.15,16,4,3,14
112527,2016,2015-16,1610612751,Brooklyn Nets,203080,Thomas Robinson,F,PF,01-11-2016,21500566,BKN,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,5.55,1,4,3,41
112530,2016,2015-16,1610612751,Brooklyn Nets,202711,Bojan Bogdanovic,F,SF,01-11-2016,21500566,BKN,SAS,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.9,5.45,2,4,3,43
112531,2016,2015-16,1610612759,San Antonio Spurs,2561,David West,F,PF,01-11-2016,21500566,BKN,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.0,18.85,18,4,3,53
112535,2016,2015-16,1610612751,Brooklyn Nets,200745,Andrea Bargnani,C,C,01-11-2016,21500566,BKN,SAS,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.4,9.35,7,4,4,8
112539,2016,2015-16,1610612751,Brooklyn Nets,203080,Thomas Robinson,F,PF,01-11-2016,21500566,BKN,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.8,9.35,15,4,4,42
112541,2016,2015-16,1610612751,Brooklyn Nets,203900,Markel Brown,G,SG,01-11-2016,21500566,BKN,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.1,26.65,25,4,4,55
112544,2016,2015-16,1610612759,San Antonio Spurs,1626246,Boban Marjanovic,C,C,01-11-2016,21500566,BKN,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,7.85,2,4,5,16
112548,2016,2015-16,1610612751,Brooklyn Nets,202711,Bojan Bogdanovic,F,SF,01-11-2016,21500566,BKN,SAS,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,5.15,1,4,5,27
112552,2016,2015-16,1610612751,Brooklyn Nets,203900,Markel Brown,G,SG,01-11-2016,21500566,BKN,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-1.0,24.55,19,4,6,7
112561,2016,2015-16,1610612751,Brooklyn Nets,203080,Thomas Robinson,F,PF,01-11-2016,21500566,BKN,SAS,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.0,5.25,2,4,6,39
112562,2016,2015-16,1610612759,San Antonio Spurs,2564,Boris Diaw,F,PF,01-11-2016,21500566,BKN,SAS,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,6.85,1,4,6,57
112565,2016,2015-16,1610612751,Brooklyn Nets,203900,Markel Brown,G,SG,01-11-2016,21500566,BKN,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.5,2.65,23,4,7,7
112567,2016,2015-16,1610612759,San Antonio Spurs,2561,David West,F,PF,01-11-2016,21500566,BKN,SAS,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.5,5.95,2,4,7,38
112571,2016,2015-16,1610612751,Brooklyn Nets,2207,Joe Johnson,F,SF,01-11-2016,21500566,BKN,SAS,Missed Shot,False,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,15.6,11.75,16,4,7,59
