,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
23714,2016,2015-16,1610612741,Chicago Bulls,203200,Justin Holiday,G,SG,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.3,28.95,27,4,0,0
23718,2016,2015-16,1610612741,Chicago Bulls,203200,Justin Holiday,G,SG,03-26-2016,21501083,ORL,CHI,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.0,15.85,16,4,0,30
23753,2016,2015-16,1610612753,Orlando Magic,203894,Shabazz Napier,G,PG,03-26-2016,21501083,ORL,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.7,19.15,24,4,0,58
23755,2016,2015-16,1610612741,Chicago Bulls,1626171,Bobby Portis,F,PF,03-26-2016,21501083,ORL,CHI,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.35,1,4,1,16
23759,2016,2015-16,1610612741,Chicago Bulls,203200,Justin Holiday,G,SG,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.6,25.05,26,4,1,19
23760,2016,2015-16,1610612753,Orlando Magic,203094,Andrew Nicholson,F,PF,03-26-2016,21501083,ORL,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.1,31.45,26,4,1,29
23764,2016,2015-16,1610612741,Chicago Bulls,203503,Tony Snell,F,SF,03-26-2016,21501083,ORL,CHI,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.3,26.55,26,4,1,45
23771,2016,2015-16,1610612753,Orlando Magic,201160,Jason Smith,C,C,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.1,8.55,16,4,1,52
23778,2016,2015-16,1610612741,Chicago Bulls,201166,Aaron Brooks,G,PG,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.6,26.25,26,4,2,7
23782,2016,2015-16,1610612753,Orlando Magic,203094,Andrew Nicholson,F,PF,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.8,8.35,8,4,2,14
23790,2016,2015-16,1610612741,Chicago Bulls,1626171,Bobby Portis,F,PF,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.2,30.45,25,4,2,34
23802,2016,2015-16,1610612753,Orlando Magic,203894,Shabazz Napier,G,PG,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.0,27.15,25,4,2,53
23821,2016,2015-16,1610612741,Chicago Bulls,203503,Tony Snell,F,SF,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,3,5
23826,2016,2015-16,1610612753,Orlando Magic,203894,Shabazz Napier,G,PG,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,7.55,2,4,3,14
23832,2016,2015-16,1610612741,Chicago Bulls,1626171,Bobby Portis,F,PF,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.4,20.65,17,4,3,27
23838,2016,2015-16,1610612753,Orlando Magic,203894,Shabazz Napier,G,PG,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.8,25.55,25,4,3,37
23864,2016,2015-16,1610612753,Orlando Magic,201160,Jason Smith,C,C,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.7,6.35,22,4,3,44
23874,2016,2015-16,1610612741,Chicago Bulls,203200,Justin Holiday,G,SG,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.6,5.95,0,4,4,26
23879,2016,2015-16,1610612753,Orlando Magic,203906,Devyn Marble,G,SG,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.9,19.15,25,4,4,36
23885,2016,2015-16,1610612741,Chicago Bulls,203503,Tony Snell,F,SF,03-26-2016,21501083,ORL,CHI,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.3,27.05,26,4,4,52
