,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
197769,2016,2015-16,1610612742,Dallas Mavericks,1626147,Justin Anderson,F,SF,11-03-2015,21500057,DAL,TOR,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,4
197772,2016,2015-16,1610612742,Dallas Mavericks,1626147,Justin Anderson,F,SF,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.2,16.25,15,4,0,31
197777,2016,2015-16,1610612742,Dallas Mavericks,203939,Dwight Powell,F,PF,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.5,10.95,6,4,1,0
197781,2016,2015-16,1610612742,Dallas Mavericks,202083,Wesley Matthews,F,SF,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.7,6.85,23,4,1,14
197787,2016,2015-16,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,11-03-2015,21500057,DAL,TOR,Made Shot,True,Floating Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-11.0,22.25,20,4,1,20
197791,2016,2015-16,1610612761,Toronto Raptors,2449,Luis Scola,F,PF,11-03-2015,21500057,DAL,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.3,6.35,22,4,1,50
197792,2016,2015-16,1610612742,Dallas Mavericks,1717,Dirk Nowitzki,F,PF,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-14.0,8.85,14,4,2,10
197793,2016,2015-16,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.8,4.75,14,4,2,28
197802,2016,2015-16,1610612742,Dallas Mavericks,2734,Devin Harris,G,PG,11-03-2015,21500057,DAL,TOR,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,4.65,1,4,2,46
197803,2016,2015-16,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.3,24.05,20,4,2,53
197805,2016,2015-16,1610612742,Dallas Mavericks,101114,Deron Williams,G,PG,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.0,5.95,23,4,3,13
197810,2016,2015-16,1610612742,Dallas Mavericks,101114,Deron Williams,G,PG,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.8,15.35,19,4,3,42
197820,2016,2015-16,1610612742,Dallas Mavericks,200826,J.J. Barea,G,PG,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.9,22.75,24,4,3,51
197826,2016,2015-16,1610612761,Toronto Raptors,202685,Jonas Valanciunas,C,C,11-03-2015,21500057,DAL,TOR,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.15,0,4,4,10
197828,2016,2015-16,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Driving Bank shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.4,8.35,9,4,4,12
197833,2016,2015-16,1610612742,Dallas Mavericks,1717,Dirk Nowitzki,F,PF,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,2.7,28.95,23,4,4,32
197838,2016,2015-16,1610612742,Dallas Mavericks,101114,Deron Williams,G,PG,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.5,14.75,18,4,4,37
197851,2016,2015-16,1610612742,Dallas Mavericks,202083,Wesley Matthews,F,SF,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-0.9,18.85,13,4,5,3
197852,2016,2015-16,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,11-03-2015,21500057,DAL,TOR,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.0,5.95,2,4,5,17
197854,2016,2015-16,1610612761,Toronto Raptors,2449,Luis Scola,F,PF,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,5.45,22,4,5,20
197860,2016,2015-16,1610612742,Dallas Mavericks,1717,Dirk Nowitzki,F,PF,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-6.3,14.45,11,4,5,28
197865,2016,2015-16,1610612742,Dallas Mavericks,200826,J.J. Barea,G,PG,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Running Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.9,9.35,11,4,5,36
197872,2016,2015-16,1610612761,Toronto Raptors,2449,Luis Scola,F,PF,11-03-2015,21500057,DAL,TOR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,4.75,0,4,5,59
197874,2016,2015-16,1610612761,Toronto Raptors,202685,Jonas Valanciunas,C,C,11-03-2015,21500057,DAL,TOR,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,4.75,1,4,6,18
197877,2016,2015-16,1610612742,Dallas Mavericks,1717,Dirk Nowitzki,F,PF,11-03-2015,21500057,DAL,TOR,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,3.8,29.15,24,4,6,37
197881,2016,2015-16,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.9,9.55,11,4,6,56
197887,2016,2015-16,1610612742,Dallas Mavericks,101114,Deron Williams,G,PG,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.5,24.05,24,4,7,7
197921,2016,2015-16,1610612761,Toronto Raptors,201960,DeMarre Carroll,F,SF,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5.6,10.85,7,4,7,47
197937,2016,2015-16,1610612742,Dallas Mavericks,101114,Deron Williams,G,PG,11-03-2015,21500057,DAL,TOR,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.3,20.15,16,4,8,36
197942,2016,2015-16,1610612742,Dallas Mavericks,101109,Raymond Felton,G,PG,11-03-2015,21500057,DAL,TOR,Made Shot,True,Driving Floating Bank Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-5.5,7.05,5,4,9,10
197949,2016,2015-16,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,11-03-2015,21500057,DAL,TOR,Made Shot,True,Turnaround Bank shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.4,8.85,10,4,9,23
197971,2016,2015-16,1610612761,Toronto Raptors,201960,DeMarre Carroll,F,SF,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.1,7.05,24,4,9,41
197977,2016,2015-16,1610612742,Dallas Mavericks,200826,J.J. Barea,G,PG,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.0,16.25,11,4,9,52
197985,2016,2015-16,1610612761,Toronto Raptors,201960,DeMarre Carroll,F,SF,11-03-2015,21500057,DAL,TOR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.2,11.35,11,4,10,19
