,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
94438,2016,2015-16,1610612743,Denver Nuggets,200751,Randy Foye,G,SG,01-25-2016,21500672,DEN,ATL,Missed Shot,False,Floating Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.1,28.95,24,4,0,0
94440,2016,2015-16,1610612737,Atlanta Hawks,202714,Shelvin Mack,G,PG,01-25-2016,21500672,DEN,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.4,28.45,25,4,0,4
94445,2016,2015-16,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,01-25-2016,21500672,DEN,ATL,Missed Shot,False,Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.7,5.45,2,4,0,27
94453,2016,2015-16,1610612737,Atlanta Hawks,203934,Lamar Patterson,G,SG,01-25-2016,21500672,DEN,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.7,6.85,23,4,1,16
94454,2016,2015-16,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,01-25-2016,21500672,DEN,ATL,Made Shot,True,Hook Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.7,8.35,5,4,1,36
94455,2016,2015-16,1610612737,Atlanta Hawks,203488,Mike Muscala,C,C,01-25-2016,21500672,DEN,ATL,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,14.3,6.35,14,4,1,44
94456,2016,2015-16,1610612743,Denver Nuggets,203930,Sean Kilpatrick,G,SG,01-25-2016,21500672,DEN,ATL,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.3,8.85,5,4,1,58
94458,2016,2015-16,1610612737,Atlanta Hawks,203934,Lamar Patterson,G,SG,01-25-2016,21500672,DEN,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.0,27.65,25,4,2,5
94460,2016,2015-16,1610612743,Denver Nuggets,203115,Will Barton,G,SG,01-25-2016,21500672,DEN,ATL,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.5,6.55,2,4,2,21
94462,2016,2015-16,1610612737,Atlanta Hawks,202714,Shelvin Mack,G,PG,01-25-2016,21500672,DEN,ATL,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.8,9.35,4,4,2,29
94464,2016,2015-16,1610612743,Denver Nuggets,2034,Mike Miller,F,SF,01-25-2016,21500672,DEN,ATL,Missed Shot,False,Floating Jump shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,7.85,3,4,2,43
94465,2016,2015-16,1610612743,Denver Nuggets,200751,Randy Foye,G,SG,01-25-2016,21500672,DEN,ATL,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.9,7.35,3,4,2,44
94466,2016,2015-16,1610612737,Atlanta Hawks,203118,Mike Scott,F,PF,01-25-2016,21500672,DEN,ATL,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.8,5.45,4,4,2,58
94468,2016,2015-16,1610612743,Denver Nuggets,203999,Nikola Jokic,C,C,01-25-2016,21500672,DEN,ATL,Made Shot,True,Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.9,6.35,3,4,3,17
94484,2016,2015-16,1610612737,Atlanta Hawks,201168,Tiago Splitter,C,C,01-25-2016,21500672,DEN,ATL,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.6,25.05,22,4,3,42
94486,2016,2015-16,1610612743,Denver Nuggets,203115,Will Barton,G,SG,01-25-2016,21500672,DEN,ATL,Missed Shot,False,Driving Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.0,7.05,4,4,3,58
94492,2016,2015-16,1610612737,Atlanta Hawks,201952,Jeff Teague,G,PG,01-25-2016,21500672,DEN,ATL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.0,29.95,25,4,4,12
94497,2016,2015-16,1610612743,Denver Nuggets,201568,Danilo Gallinari,F,SF,01-25-2016,21500672,DEN,ATL,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.9,24.05,23,4,4,23
94498,2016,2015-16,1610612743,Denver Nuggets,1626144,Emmanuel Mudiay,G,PG,01-25-2016,21500672,DEN,ATL,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.5,11.85,7,4,5,23
94502,2016,2015-16,1610612737,Atlanta Hawks,201168,Tiago Splitter,C,C,01-25-2016,21500672,DEN,ATL,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,4,46
94504,2016,2015-16,1610612743,Denver Nuggets,203115,Will Barton,G,SG,01-25-2016,21500672,DEN,ATL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.0,6.35,2,4,5,8
