,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
82657,2016,2015-16,1610612744,Golden State Warriors,2738,Andre Iguodala,F,SF,02-03-2016,21500739,WAS,GSW,Made Shot,True,Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,25
82658,2016,2015-16,1610612764,Washington Wizards,202322,John Wall,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-17.4,26.05,27,4,0,50
82659,2016,2015-16,1610612744,Golden State Warriors,203084,Harrison Barnes,F,SF,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.0,20.35,26,4,0,53
82660,2016,2015-16,1610612764,Washington Wizards,203490,Otto Porter Jr.,F,SF,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-18.2,23.55,25,4,1,13
82661,2016,2015-16,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.7,32.55,27,4,1,19
82662,2016,2015-16,1610612764,Washington Wizards,202322,John Wall,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,6.85,1,4,1,32
82663,2016,2015-16,1610612744,Golden State Warriors,203110,Draymond Green,F,PF,02-03-2016,21500739,WAS,GSW,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,4.25,1,4,2,8
82664,2016,2015-16,1610612764,Washington Wizards,2403,Nene,F,PF,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,5.95,1,4,2,21
82665,2016,2015-16,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.4,5.25,2,4,2,35
82667,2016,2015-16,1610612764,Washington Wizards,202322,John Wall,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,6.35,1,4,2,43
82668,2016,2015-16,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,5.45,0,4,2,53
82669,2016,2015-16,1610612764,Washington Wizards,202322,John Wall,G,PG,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.15,1,4,3,14
82670,2016,2015-16,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.8,31.95,32,4,3,25
82671,2016,2015-16,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,5.55,0,4,4,10
82672,2016,2015-16,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.2,24.05,28,4,4,22
82673,2016,2015-16,1610612764,Washington Wizards,202066,Garrett Temple,F,SF,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,1.35,3,4,4,25
82674,2016,2015-16,1610612764,Washington Wizards,203490,Otto Porter Jr.,F,SF,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,3.75,1,4,4,29
82675,2016,2015-16,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.9,23.55,27,4,4,54
82676,2016,2015-16,1610612764,Washington Wizards,202322,John Wall,G,PG,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.7,20.85,18,4,5,2
82688,2016,2015-16,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.2,21.25,27,4,5,54
82689,2016,2015-16,1610612764,Washington Wizards,101162,Marcin Gortat,C,C,02-03-2016,21500739,WAS,GSW,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.95,1,4,6,8
82694,2016,2015-16,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.3,28.15,26,4,6,22
82695,2016,2015-16,1610612764,Washington Wizards,202322,John Wall,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.1,15.35,19,4,6,44
82697,2016,2015-16,1610612744,Golden State Warriors,2733,Shaun Livingston,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.55,1,4,6,54
82713,2016,2015-16,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.4,22.65,26,4,7,13
82719,2016,2015-16,1610612764,Washington Wizards,202390,Gary Neal,G,SG,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-15.5,19.65,21,4,7,21
82725,2016,2015-16,1610612744,Golden State Warriors,202691,Klay Thompson,G,SG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.2,19.15,25,4,7,33
82730,2016,2015-16,1610612764,Washington Wizards,202322,John Wall,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,4.25,1,4,7,59
82732,2016,2015-16,1610612744,Golden State Warriors,2733,Shaun Livingston,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-15.9,6.35,15,4,8,12
82744,2016,2015-16,1610612764,Washington Wizards,202390,Gary Neal,G,SG,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.6,7.85,8,4,8,32
82748,2016,2015-16,1610612744,Golden State Warriors,2733,Shaun Livingston,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-6.1,21.15,17,4,8,58
82749,2016,2015-16,1610612764,Washington Wizards,201196,Ramon Sessions,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.3,9.55,17,4,9,19
82752,2016,2015-16,1610612744,Golden State Warriors,2733,Shaun Livingston,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.0,11.75,13,4,9,36
82769,2016,2015-16,1610612764,Washington Wizards,202322,John Wall,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,5.15,0,4,9,52
82775,2016,2015-16,1610612744,Golden State Warriors,203084,Harrison Barnes,F,SF,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.9,24.75,19,4,10,3
82779,2016,2015-16,1610612764,Washington Wizards,202390,Gary Neal,G,SG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-15.3,17.25,19,4,10,22
82788,2016,2015-16,1610612744,Golden State Warriors,2738,Andre Iguodala,F,SF,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.9,30.65,28,4,10,37
82794,2016,2015-16,1610612744,Golden State Warriors,2571,Leandro Barbosa,G,SG,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.5,10.35,23,4,10,53
82805,2016,2015-16,1610612744,Golden State Warriors,201578,Marreese Speights,C,C,02-03-2016,21500739,WAS,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.8,21.25,20,4,11,23
82806,2016,2015-16,1610612764,Washington Wizards,202390,Gary Neal,G,SG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,6.0,31.45,26,4,11,41
82819,2016,2015-16,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.6,39.35,37,3,0,0
82825,2016,2015-16,1610612744,Golden State Warriors,2571,Leandro Barbosa,G,SG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.6,7.85,10,3,0,3
82833,2016,2015-16,1610612744,Golden State Warriors,201578,Marreese Speights,C,C,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.7,34.05,28,3,0,15
82851,2016,2015-16,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.25,0,3,0,36
82873,2016,2015-16,1610612764,Washington Wizards,202066,Garrett Temple,F,SF,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,12.4,30.45,28,3,1,1
82886,2016,2015-16,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.9,7.85,12,3,1,12
82892,2016,2015-16,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.2,30.95,28,3,1,16
82895,2016,2015-16,1610612764,Washington Wizards,201196,Ramon Sessions,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.2,5.95,1,3,1,32
82899,2016,2015-16,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,5.15,0,3,1,39
82903,2016,2015-16,1610612764,Washington Wizards,2403,Nene,F,PF,02-03-2016,21500739,WAS,GSW,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,4.65,0,3,1,50
82905,2016,2015-16,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-20.7,25.55,28,3,2,9
82947,2016,2015-16,1610612744,Golden State Warriors,201939,Stephen Curry,G,PG,02-03-2016,21500739,WAS,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.9,22.15,26,3,2,48
82954,2016,2015-16,1610612764,Washington Wizards,203078,Bradley Beal,G,SG,02-03-2016,21500739,WAS,GSW,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,16.3,26.55,26,3,2,56
82981,2016,2015-16,1610612744,Golden State Warriors,2738,Andre Iguodala,F,SF,02-03-2016,21500739,WAS,GSW,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.2,22.65,27,3,3,24
