,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
96669,2016,2015-16,1610612754,Indiana Pacers,1626202,Joe Young,G,PG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.8,16.85,20,4,0,9
96674,2016,2015-16,1610612754,Indiana Pacers,201588,George Hill,G,PG,01-23-2016,21500663,SAC,IND,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.1,25.55,25,4,0,20
96678,2016,2015-16,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.3,7.05,23,4,0,27
96707,2016,2015-16,1610612754,Indiana Pacers,1626167,Myles Turner,C,C,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.1,29.95,24,4,1,38
96717,2016,2015-16,1610612754,Indiana Pacers,1626167,Myles Turner,C,C,01-23-2016,21500663,SAC,IND,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,6.35,3,4,2,4
96719,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.8,8.35,4,4,2,11
96723,2016,2015-16,1610612754,Indiana Pacers,101145,Monta Ellis,G,SG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,8.55,23,4,2,33
96732,2016,2015-16,1610612758,Sacramento Kings,201954,Darren Collison,G,PG,01-23-2016,21500663,SAC,IND,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,7.35,2,4,2,48
96733,2016,2015-16,1610612758,Sacramento Kings,1626161,Willie Cauley-Stein,C,C,01-23-2016,21500663,SAC,IND,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,8.35,3,4,2,50
96736,2016,2015-16,1610612754,Indiana Pacers,201588,George Hill,G,PG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,20.4,5.45,20,4,2,55
96739,2016,2015-16,1610612758,Sacramento Kings,201954,Darren Collison,G,PG,01-23-2016,21500663,SAC,IND,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.5,5.95,2,4,3,8
96746,2016,2015-16,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,6.55,3,4,3,15
96750,2016,2015-16,1610612758,Sacramento Kings,201954,Darren Collison,G,PG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.6,16.75,20,4,3,27
96761,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,01-23-2016,21500663,SAC,IND,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.2,6.35,2,4,4,4
96765,2016,2015-16,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-23-2016,21500663,SAC,IND,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-24.0,8.35,24,4,4,23
96786,2016,2015-16,1610612754,Indiana Pacers,201588,George Hill,G,PG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.8,6.85,22,4,4,46
96788,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,01-23-2016,21500663,SAC,IND,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.0,9.55,8,4,5,6
96792,2016,2015-16,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-23-2016,21500663,SAC,IND,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-16.4,8.35,16,4,5,22
96796,2016,2015-16,1610612758,Sacramento Kings,201158,Marco Belinelli,G,SG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,7.85,23,4,5,41
96809,2016,2015-16,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.8,5.95,22,4,6,9
96823,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,01-23-2016,21500663,SAC,IND,Made Shot,True,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.2,10.35,5,4,6,33
96841,2016,2015-16,1610612758,Sacramento Kings,201158,Marco Belinelli,G,SG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.3,19.15,18,4,7,8
96845,2016,2015-16,1610612754,Indiana Pacers,1626167,Myles Turner,C,C,01-23-2016,21500663,SAC,IND,Made Shot,True,Cutting Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.2,9.85,4,4,7,20
96850,2016,2015-16,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Right Side,R,8-16 ft.,-7.3,11.95,9,4,7,45
96851,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,01-23-2016,21500663,SAC,IND,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.2,6.35,2,4,8,3
96858,2016,2015-16,1610612754,Indiana Pacers,101145,Monta Ellis,G,SG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-13.0,6.35,13,4,8,16
96861,2016,2015-16,1610612758,Sacramento Kings,202326,DeMarcus Cousins,C,C,01-23-2016,21500663,SAC,IND,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-9.2,6.55,9,4,8,26
96868,2016,2015-16,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-23-2016,21500663,SAC,IND,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,24.0,5.55,24,4,8,43
96897,2016,2015-16,1610612754,Indiana Pacers,201941,Jordan Hill,C,C,01-23-2016,21500663,SAC,IND,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3.3,7.85,4,4,9,16
96900,2016,2015-16,1610612754,Indiana Pacers,202331,Paul George,F,SF,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-3.0,5.55,3,4,9,18
96901,2016,2015-16,1610612758,Sacramento Kings,201585,Kosta Koufos,C,C,01-23-2016,21500663,SAC,IND,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.7,6.85,3,4,9,28
96905,2016,2015-16,1610612758,Sacramento Kings,201954,Darren Collison,G,PG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,7.35,3,4,9,30
96916,2016,2015-16,1610612754,Indiana Pacers,101139,CJ Miles,F,SF,01-23-2016,21500663,SAC,IND,Missed Shot,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4.0,6.35,4,4,9,44
96921,2016,2015-16,1610612758,Sacramento Kings,201954,Darren Collison,G,PG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-0.1,21.25,16,4,9,57
96927,2016,2015-16,1610612754,Indiana Pacers,202730,Lavoy Allen,F,PF,01-23-2016,21500663,SAC,IND,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-0.1,12.95,7,4,10,14
96935,2016,2015-16,1610612758,Sacramento Kings,202341,James Anderson,G,SG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.0,30.15,24,4,10,34
96940,2016,2015-16,1610612754,Indiana Pacers,1626202,Joe Young,G,PG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.9,7.05,2,4,10,43
96942,2016,2015-16,1610612754,Indiana Pacers,101139,CJ Miles,F,SF,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.2,26.65,25,4,11,3
96946,2016,2015-16,1610612758,Sacramento Kings,201585,Kosta Koufos,C,C,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-3.3,12.95,8,4,11,11
96961,2016,2015-16,1610612758,Sacramento Kings,201158,Marco Belinelli,G,SG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.0,30.65,25,4,11,46
96976,2016,2015-16,1610612758,Sacramento Kings,201158,Marco Belinelli,G,SG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.1,6.55,1,3,0,1
96980,2016,2015-16,1610612754,Indiana Pacers,1626202,Joe Young,G,PG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,5.2,11.35,8,3,0,4
96982,2016,2015-16,1610612758,Sacramento Kings,201954,Darren Collison,G,PG,01-23-2016,21500663,SAC,IND,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,6.85,23,3,0,28
96987,2016,2015-16,1610612754,Indiana Pacers,201588,George Hill,G,PG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Step Back Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-5.5,15.35,11,3,0,36
96988,2016,2015-16,1610612758,Sacramento Kings,201158,Marco Belinelli,G,SG,01-23-2016,21500663,SAC,IND,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.0,24.05,20,3,0,47
97010,2016,2015-16,1610612758,Sacramento Kings,201158,Marco Belinelli,G,SG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.6,10.95,11,3,0,59
97019,2016,2015-16,1610612754,Indiana Pacers,101139,CJ Miles,F,SF,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-15.6,12.25,17,3,1,18
97024,2016,2015-16,1610612758,Sacramento Kings,201954,Darren Collison,G,PG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.0,19.15,19,3,1,33
97042,2016,2015-16,1610612758,Sacramento Kings,201158,Marco Belinelli,G,SG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,4.8,29.45,24,3,2,6
97046,2016,2015-16,1610612758,Sacramento Kings,201585,Kosta Koufos,C,C,01-23-2016,21500663,SAC,IND,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,0.1,14.45,9,3,2,28
97052,2016,2015-16,1610612754,Indiana Pacers,1626167,Myles Turner,C,C,01-23-2016,21500663,SAC,IND,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,6.1,11.45,8,3,2,50
97078,2016,2015-16,1610612758,Sacramento Kings,202341,James Anderson,G,SG,01-23-2016,21500663,SAC,IND,Missed Shot,False,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.9,8.55,4,3,3,28
