,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
95965,2016,2015-16,1610612746,LA Clippers,202362,Lance Stephenson,F,SF,01-24-2016,21500666,TOR,LAC,Made Shot,True,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.8,20.65,20,4,0,1
95966,2016,2015-16,1610612761,Toronto Raptors,203461,Anthony Bennett,F,PF,01-24-2016,21500666,TOR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-16.4,23.75,24,4,0,12
95967,2016,2015-16,1610612746,LA Clippers,203085,Austin Rivers,G,SG,01-24-2016,21500666,TOR,LAC,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.2,6.35,2,4,0,35
95970,2016,2015-16,1610612746,LA Clippers,203085,Austin Rivers,G,SG,01-24-2016,21500666,TOR,LAC,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.9,5.95,2,4,0,45
95973,2016,2015-16,1610612761,Toronto Raptors,202685,Jonas Valanciunas,C,C,01-24-2016,21500666,TOR,LAC,Made Shot,True,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.4,5.45,9,4,1,21
95975,2016,2015-16,1610612746,LA Clippers,203085,Austin Rivers,G,SG,01-24-2016,21500666,TOR,LAC,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.8,6.35,3,4,1,33
95980,2016,2015-16,1610612746,LA Clippers,203912,C.J. Wilcox,G,SG,01-24-2016,21500666,TOR,LAC,Missed Shot,False,Jump Bank Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-16.1,17.65,20,4,2,2
95981,2016,2015-16,1610612761,Toronto Raptors,203082,Terrence Ross,F,SF,01-24-2016,21500666,TOR,LAC,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.2,22.25,25,4,2,17
95983,2016,2015-16,1610612746,LA Clippers,202362,Lance Stephenson,F,SF,01-24-2016,21500666,TOR,LAC,Made Shot,True,Pullup Jump shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,0.4,24.25,19,4,2,31
95995,2016,2015-16,1610612746,LA Clippers,202325,Wesley Johnson,F,SF,01-24-2016,21500666,TOR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-11.0,27.05,24,4,3,15
95998,2016,2015-16,1610612746,LA Clippers,203085,Austin Rivers,G,SG,01-24-2016,21500666,TOR,LAC,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,7.35,2,4,3,33
96004,2016,2015-16,1610612761,Toronto Raptors,202335,Patrick Patterson,F,PF,01-24-2016,21500666,TOR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.8,25.55,25,4,4,0
96007,2016,2015-16,1610612746,LA Clippers,202362,Lance Stephenson,F,SF,01-24-2016,21500666,TOR,LAC,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,5.45,0,4,4,26
96011,2016,2015-16,1610612761,Toronto Raptors,200768,Kyle Lowry,G,PG,01-24-2016,21500666,TOR,LAC,Missed Shot,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,21.2,19.15,25,4,4,36
96013,2016,2015-16,1610612746,LA Clippers,203912,C.J. Wilcox,G,SG,01-24-2016,21500666,TOR,LAC,Missed Shot,False,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,13.8,13.25,15,4,4,47
96018,2016,2015-16,1610612761,Toronto Raptors,203082,Terrence Ross,F,SF,01-24-2016,21500666,TOR,LAC,Made Shot,True,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-15.3,25.55,25,4,5,10
96023,2016,2015-16,1610612746,LA Clippers,202362,Lance Stephenson,F,SF,01-24-2016,21500666,TOR,LAC,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.9,6.05,2,4,5,25
96026,2016,2015-16,1610612761,Toronto Raptors,202335,Patrick Patterson,F,PF,01-24-2016,21500666,TOR,LAC,Missed Shot,False,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.5,5.45,22,4,5,32
96029,2016,2015-16,1610612761,Toronto Raptors,201942,DeMar DeRozan,G,SG,01-24-2016,21500666,TOR,LAC,Missed Shot,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.7,12.25,7,4,5,37
