,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
63929,2016,2015-16,1610612747,Los Angeles Lakers,1626156,D'Angelo Russell,G,PG,02-24-2016,21500851,MEM,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.7,21.15,25,4,0,6
63933,2016,2015-16,1610612763,Memphis Grizzlies,203516,James Ennis III,F,SF,02-24-2016,21500851,MEM,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,14.2,25.25,24,4,0,19
63945,2016,2015-16,1610612763,Memphis Grizzlies,201144,Mike Conley,G,PG,02-24-2016,21500851,MEM,LAL,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,24.1,9.05,24,4,0,43
63957,2016,2015-16,1610612763,Memphis Grizzlies,201144,Mike Conley,G,PG,02-24-2016,21500851,MEM,LAL,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.95,1,4,1,9
63964,2016,2015-16,1610612747,Los Angeles Lakers,1626156,D'Angelo Russell,G,PG,02-24-2016,21500851,MEM,LAL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,10.2,16.25,15,4,1,17
63969,2016,2015-16,1610612763,Memphis Grizzlies,2216,Zach Randolph,F,PF,02-24-2016,21500851,MEM,LAL,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.9,6.85,1,4,1,27
63976,2016,2015-16,1610612763,Memphis Grizzlies,1713,Vince Carter,G,SG,02-24-2016,21500851,MEM,LAL,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.2,5.15,11,4,1,27
63985,2016,2015-16,1610612747,Los Angeles Lakers,101138,Brandon Bass,F,PF,02-24-2016,21500851,MEM,LAL,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,6.85,1,4,1,44
63986,2016,2015-16,1610612763,Memphis Grizzlies,1713,Vince Carter,G,SG,02-24-2016,21500851,MEM,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.4,22.15,25,4,2,1
63990,2016,2015-16,1610612747,Los Angeles Lakers,203903,Jordan Clarkson,G,SG,02-24-2016,21500851,MEM,LAL,Made Shot,True,Jump Shot,3PT Field Goal,Right Corner 3,Right Side,R,24+ ft.,-22.3,3.75,22,4,2,24
