,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
76287,2016,2015-16,1610612763,Memphis Grizzlies,201145,Jeff Green,F,SF,02-08-2016,21500781,MEM,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.5,6.35,22,5,0,4
76308,2016,2015-16,1610612763,Memphis Grizzlies,201145,Jeff Green,F,SF,02-08-2016,21500781,MEM,POR,Missed Shot,False,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,5.45,0,5,0,8
76311,2016,2015-16,1610612763,Memphis Grizzlies,2754,Tony Allen,G,SG,02-08-2016,21500781,MEM,POR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,5.45,1,5,0,10
76312,2016,2015-16,1610612757,Portland Trail Blazers,203468,CJ McCollum,G,SG,02-08-2016,21500781,MEM,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.4,8.35,8,5,0,14
76320,2016,2015-16,1610612757,Portland Trail Blazers,203081,Damian Lillard,G,PG,02-08-2016,21500781,MEM,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.9,30.95,25,5,0,43
76323,2016,2015-16,1610612763,Memphis Grizzlies,201144,Mike Conley,G,PG,02-08-2016,21500781,MEM,POR,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-1.0,12.25,7,5,0,59
76325,2016,2015-16,1610612763,Memphis Grizzlies,2440,Matt Barnes,F,SF,02-08-2016,21500781,MEM,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.0,25.55,24,5,1,9
76329,2016,2015-16,1610612757,Portland Trail Blazers,202329,Al-Farouq Aminu,F,SF,02-08-2016,21500781,MEM,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,8-16 ft.,-5.6,19.65,15,5,1,18
76332,2016,2015-16,1610612763,Memphis Grizzlies,2216,Zach Randolph,F,PF,02-08-2016,21500781,MEM,POR,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.4,5.15,2,5,1,41
76333,2016,2015-16,1610612757,Portland Trail Blazers,203468,CJ McCollum,G,SG,02-08-2016,21500781,MEM,POR,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,5.45,0,5,1,51
76338,2016,2015-16,1610612763,Memphis Grizzlies,201144,Mike Conley,G,PG,02-08-2016,21500781,MEM,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-16.4,19.65,21,5,1,58
76339,2016,2015-16,1610612757,Portland Trail Blazers,203468,CJ McCollum,G,SG,02-08-2016,21500781,MEM,POR,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,2.4,17.85,12,5,2,12
76343,2016,2015-16,1610612763,Memphis Grizzlies,201144,Mike Conley,G,PG,02-08-2016,21500781,MEM,POR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,4.65,1,5,2,27
76355,2016,2015-16,1610612763,Memphis Grizzlies,2216,Zach Randolph,F,PF,02-08-2016,21500781,MEM,POR,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.7,5.95,1,5,2,36
76356,2016,2015-16,1610612757,Portland Trail Blazers,203468,CJ McCollum,G,SG,02-08-2016,21500781,MEM,POR,Made Shot,True,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.6,17.35,14,5,2,56
76362,2016,2015-16,1610612763,Memphis Grizzlies,201145,Jeff Green,F,SF,02-08-2016,21500781,MEM,POR,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.8,27.55,25,5,3,6
76367,2016,2015-16,1610612763,Memphis Grizzlies,2216,Zach Randolph,F,PF,02-08-2016,21500781,MEM,POR,Missed Shot,False,Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,8.85,3,5,3,15
76369,2016,2015-16,1610612757,Portland Trail Blazers,203468,CJ McCollum,G,SG,02-08-2016,21500781,MEM,POR,Made Shot,True,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.05,1,5,3,34
