,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
129333,2016,2015-16,1610612749,Milwaukee Bucks,203114,Khris Middleton,G,SG,12-28-2015,21500464,DAL,MIL,Missed Shot,False,Turnaround Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.6,31.45,28,4,0,8
129339,2016,2015-16,1610612742,Dallas Mavericks,2734,Devin Harris,G,PG,12-28-2015,21500464,DAL,MIL,Made Shot,True,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.2,6.85,1,4,0,11
129347,2016,2015-16,1610612742,Dallas Mavericks,1717,Dirk Nowitzki,F,PF,12-28-2015,21500464,DAL,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-3.7,29.95,24,4,0,23
129353,2016,2015-16,1610612742,Dallas Mavericks,2585,Zaza Pachulia,C,C,12-28-2015,21500464,DAL,MIL,Missed Shot,False,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,7.35,2,4,0,48
129355,2016,2015-16,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,G,PG,12-28-2015,21500464,DAL,MIL,Made Shot,True,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,6.55,1,4,1,11
129363,2016,2015-16,1610612749,Milwaukee Bucks,202328,Greg Monroe,C,C,12-28-2015,21500464,DAL,MIL,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,6.85,1,4,1,13
129370,2016,2015-16,1610612742,Dallas Mavericks,1717,Dirk Nowitzki,F,PF,12-28-2015,21500464,DAL,MIL,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.5,18.35,18,4,1,29
129372,2016,2015-16,1610612749,Milwaukee Bucks,203114,Khris Middleton,G,SG,12-28-2015,21500464,DAL,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.8,22.15,24,4,1,48
129374,2016,2015-16,1610612749,Milwaukee Bucks,201573,Jerryd Bayless,G,SG,12-28-2015,21500464,DAL,MIL,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.9,30.95,25,4,1,52
129380,2016,2015-16,1610612742,Dallas Mavericks,101109,Raymond Felton,G,PG,12-28-2015,21500464,DAL,MIL,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-13.3,21.15,20,4,2,0
