,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
54895,2016,2015-16,1610612749,Milwaukee Bucks,203114,Khris Middleton,G,SG,03-02-2016,21500903,MIL,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,22.7,7.55,22,4,0,2
54912,2016,2015-16,1610612749,Milwaukee Bucks,203114,Khris Middleton,G,SG,03-02-2016,21500903,MIL,IND,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,19.6,20.45,24,4,0,6
54958,2016,2015-16,1610612749,Milwaukee Bucks,201573,Jerryd Bayless,G,SG,03-02-2016,21500903,MIL,IND,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,5.75,1,4,0,16
54960,2016,2015-16,1610612754,Indiana Pacers,101145,Monta Ellis,G,SG,03-02-2016,21500903,MIL,IND,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.25,1,4,0,24
54963,2016,2015-16,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,G,PG,03-02-2016,21500903,MIL,IND,Made Shot,True,Tip Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,5.65,1,4,0,29
54966,2016,2015-16,1610612749,Milwaukee Bucks,203114,Khris Middleton,G,SG,03-02-2016,21500903,MIL,IND,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.1,5.95,1,4,0,29
54999,2016,2015-16,1610612749,Milwaukee Bucks,203114,Khris Middleton,G,SG,03-02-2016,21500903,MIL,IND,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.9,4.65,1,4,0,53
55005,2016,2015-16,1610612749,Milwaukee Bucks,203507,Giannis Antetokounmpo,G,PG,03-02-2016,21500903,MIL,IND,Made Shot,True,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,3.0,13.45,8,4,1,8
55011,2016,2015-16,1610612754,Indiana Pacers,202331,Paul George,F,SF,03-02-2016,21500903,MIL,IND,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.3,21.25,20,4,1,17
55030,2016,2015-16,1610612754,Indiana Pacers,201941,Jordan Hill,C,C,03-02-2016,21500903,MIL,IND,Made Shot,True,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,6.3,17.85,14,4,1,36
