,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
165361,2016,2015-16,1610612750,Minnesota Timberwolves,203897,Zach LaVine,G,SG,11-29-2015,21500247,LAC,MIN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.7,6.55,1,4,0,6
165367,2016,2015-16,1610612750,Minnesota Timberwolves,203476,Gorgui Dieng,C,C,11-29-2015,21500247,LAC,MIN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,5.95,1,4,0,28
165370,2016,2015-16,1610612750,Minnesota Timberwolves,203897,Zach LaVine,G,SG,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.7,10.45,5,4,0,32
165377,2016,2015-16,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,0.4,32.95,27,4,0,44
165379,2016,2015-16,1610612746,LA Clippers,101108,Chris Paul,G,PG,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.0,19.65,18,4,0,51
165381,2016,2015-16,1610612750,Minnesota Timberwolves,203476,Gorgui Dieng,C,C,11-29-2015,21500247,LAC,MIN,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-20.7,3.65,20,4,1,10
165384,2016,2015-16,1610612746,LA Clippers,201933,Blake Griffin,F,PF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.7,22.65,17,4,1,22
165399,2016,2015-16,1610612750,Minnesota Timberwolves,203897,Zach LaVine,G,SG,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.3,30.15,29,4,1,38
165401,2016,2015-16,1610612746,LA Clippers,200755,JJ Redick,G,SG,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,2.9,31.65,26,4,1,44
165442,2016,2015-16,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.0,28.45,26,4,2,18
165480,2016,2015-16,1610612746,LA Clippers,201933,Blake Griffin,F,PF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.4,7.55,2,4,2,42
165482,2016,2015-16,1610612750,Minnesota Timberwolves,203897,Zach LaVine,G,SG,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0.6,9.35,4,4,2,52
165486,2016,2015-16,1610612746,LA Clippers,101108,Chris Paul,G,PG,11-29-2015,21500247,LAC,MIN,Made Shot,True,Fadeaway Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-17.7,5.45,17,4,3,9
165492,2016,2015-16,1610612746,LA Clippers,200755,JJ Redick,G,SG,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-6.4,30.15,25,4,3,45
165514,2016,2015-16,1610612746,LA Clippers,201933,Blake Griffin,F,PF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.6,24.05,18,4,4,26
165519,2016,2015-16,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Turnaround Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.2,8.85,4,4,4,41
165523,2016,2015-16,1610612746,LA Clippers,201933,Blake Griffin,F,PF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,3.7,24.05,19,4,5,7
165527,2016,2015-16,1610612750,Minnesota Timberwolves,203897,Zach LaVine,G,SG,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.5,29.45,26,4,5,26
165528,2016,2015-16,1610612746,LA Clippers,201933,Blake Griffin,F,PF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.0,18.85,18,4,5,44
165532,2016,2015-16,1610612750,Minnesota Timberwolves,202357,Nemanja Bjelica,F,PF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,18.4,24.75,26,4,6,2
165536,2016,2015-16,1610612746,LA Clippers,201933,Blake Griffin,F,PF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,17.8,22.75,24,4,6,30
165547,2016,2015-16,1610612750,Minnesota Timberwolves,203476,Gorgui Dieng,C,C,11-29-2015,21500247,LAC,MIN,Made Shot,True,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,7,8
165554,2016,2015-16,1610612746,LA Clippers,2037,Jamal Crawford,G,SG,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-20.5,5.45,20,4,7,26
165565,2016,2015-16,1610612750,Minnesota Timberwolves,202357,Nemanja Bjelica,F,PF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,7.35,2,4,7,48
165571,2016,2015-16,1610612746,LA Clippers,1718,Paul Pierce,F,SF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,10.6,28.95,25,4,7,51
165573,2016,2015-16,1610612750,Minnesota Timberwolves,203476,Gorgui Dieng,C,C,11-29-2015,21500247,LAC,MIN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,6.55,1,4,8,6
165588,2016,2015-16,1610612746,LA Clippers,1718,Paul Pierce,F,SF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,13.3,26.65,25,4,8,32
165590,2016,2015-16,1610612750,Minnesota Timberwolves,1889,Andre Miller,G,PG,11-29-2015,21500247,LAC,MIN,Made Shot,True,Fadeaway Bank shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.2,7.85,4,4,8,51
165593,2016,2015-16,1610612746,LA Clippers,1718,Paul Pierce,F,SF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,15.1,28.05,27,4,9,4
165597,2016,2015-16,1610612750,Minnesota Timberwolves,203476,Gorgui Dieng,C,C,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.9,21.25,17,4,9,11
165611,2016,2015-16,1610612746,LA Clippers,1718,Paul Pierce,F,SF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,7.4,19.65,16,4,9,29
165623,2016,2015-16,1610612746,LA Clippers,1718,Paul Pierce,F,SF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-12.5,28.95,26,4,10,7
165628,2016,2015-16,1610612750,Minnesota Timberwolves,203498,Shabazz Muhammad,F,SF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.8,18.35,25,4,10,22
165639,2016,2015-16,1610612746,LA Clippers,202362,Lance Stephenson,F,SF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,12.9,24.05,22,4,10,35
165644,2016,2015-16,1610612750,Minnesota Timberwolves,1889,Andre Miller,G,PG,11-29-2015,21500247,LAC,MIN,Made Shot,True,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,3.7,6.85,4,4,10,50
165651,2016,2015-16,1610612746,LA Clippers,2037,Jamal Crawford,G,SG,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-19.7,21.75,25,4,11,3
165656,2016,2015-16,1610612746,LA Clippers,202362,Lance Stephenson,F,SF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.5,6.85,2,4,11,18
165660,2016,2015-16,1610612750,Minnesota Timberwolves,203498,Shabazz Muhammad,F,SF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.0,9.35,8,4,11,22
165664,2016,2015-16,1610612746,LA Clippers,203085,Austin Rivers,G,SG,11-29-2015,21500247,LAC,MIN,Made Shot,True,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.2,8.35,3,4,11,38
165694,2016,2015-16,1610612750,Minnesota Timberwolves,1889,Andre Miller,G,PG,11-29-2015,21500247,LAC,MIN,Made Shot,True,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.2,5.95,1,3,0,45
165705,2016,2015-16,1610612746,LA Clippers,201933,Blake Griffin,F,PF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-7.6,20.15,16,3,0,58
165708,2016,2015-16,1610612750,Minnesota Timberwolves,202357,Nemanja Bjelica,F,PF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Hook Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.0,8.05,2,3,1,16
165714,2016,2015-16,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.2,7.35,2,3,1,42
165716,2016,2015-16,1610612746,LA Clippers,202362,Lance Stephenson,F,SF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.5,7.05,3,3,1,59
165720,2016,2015-16,1610612750,Minnesota Timberwolves,203498,Shabazz Muhammad,F,SF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-9.7,28.45,25,3,2,16
165727,2016,2015-16,1610612746,LA Clippers,201933,Blake Griffin,F,PF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,16.3,12.45,17,3,2,39
165755,2016,2015-16,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Turnaround Hook Shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.7,5.95,11,3,3,4
165760,2016,2015-16,1610612746,LA Clippers,200755,JJ Redick,G,SG,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,12.5,11.95,14,3,3,28
165784,2016,2015-16,1610612746,LA Clippers,201599,DeAndre Jordan,C,C,11-29-2015,21500247,LAC,MIN,Made Shot,True,Alley Oop Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,3,4,9
165788,2016,2015-16,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,6.5,21.15,17,3,4,26
165794,2016,2015-16,1610612746,LA Clippers,201933,Blake Griffin,F,PF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Alley Oop Layup shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,7.35,2,3,4,50
165798,2016,2015-16,1610612750,Minnesota Timberwolves,203897,Zach LaVine,G,SG,11-29-2015,21500247,LAC,MIN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.1,7.35,2,3,5,1
165799,2016,2015-16,1610612746,LA Clippers,200755,JJ Redick,G,SG,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-7.8,29.65,25,3,5,14
165804,2016,2015-16,1610612750,Minnesota Timberwolves,2755,Kevin Martin,G,SG,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,15.6,3.75,15,3,5,22
165820,2016,2015-16,1610612750,Minnesota Timberwolves,203940,Adreian Payne,F,PF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-2.5,16.25,11,3,5,45
165827,2016,2015-16,1610612746,LA Clippers,201601,Luc Mbah a Moute,F,PF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.7,3.65,23,3,5,59
165832,2016,2015-16,1610612746,LA Clippers,101108,Chris Paul,G,PG,11-29-2015,21500247,LAC,MIN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.2,8.05,2,3,6,34
165836,2016,2015-16,1610612750,Minnesota Timberwolves,203940,Adreian Payne,F,PF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,10.6,24.25,21,3,6,48
165846,2016,2015-16,1610612746,LA Clippers,101108,Chris Paul,G,PG,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,-5.8,15.85,12,3,7,11
165850,2016,2015-16,1610612750,Minnesota Timberwolves,708,Kevin Garnett,F,PF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-7.4,5.25,7,3,7,22
165857,2016,2015-16,1610612746,LA Clippers,201601,Luc Mbah a Moute,F,PF,11-29-2015,21500247,LAC,MIN,Missed Shot,False,Hook Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,2.4,9.35,4,3,7,31
165859,2016,2015-16,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,11.2,29.15,26,3,7,49
165863,2016,2015-16,1610612746,LA Clippers,200755,JJ Redick,G,SG,11-29-2015,21500247,LAC,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.9,20.85,18,3,8,2
