,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
89394,2016,2015-16,1610612750,Minnesota Timberwolves,203897,Zach LaVine,G,SG,01-29-2016,21500704,UTA,MIN,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,0,8
89395,2016,2015-16,1610612762,Utah Jazz,203504,Trey Burke,G,PG,01-29-2016,21500704,UTA,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,C,24+ ft.,-0.2,29.45,24,4,0,11
89410,2016,2015-16,1610612750,Minnesota Timberwolves,203897,Zach LaVine,G,SG,01-29-2016,21500704,UTA,MIN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.0,5.15,2,4,0,31
89429,2016,2015-16,1610612762,Utah Jazz,203918,Rodney Hood,G,SG,01-29-2016,21500704,UTA,MIN,Made Shot,True,Driving Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.0,5.45,3,4,0,47
89445,2016,2015-16,1610612762,Utah Jazz,203918,Rodney Hood,G,SG,01-29-2016,21500704,UTA,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,9.4,22.15,19,4,1,12
89452,2016,2015-16,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,01-29-2016,21500704,UTA,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,-4.0,23.55,18,4,1,20
89460,2016,2015-16,1610612762,Utah Jazz,203497,Rudy Gobert,C,C,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.9,5.45,1,4,1,36
89468,2016,2015-16,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,01-29-2016,21500704,UTA,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-12.3,21.25,20,4,2,4
89473,2016,2015-16,1610612762,Utah Jazz,203497,Rudy Gobert,C,C,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4.0,6.55,4,4,2,14
89477,2016,2015-16,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,01-29-2016,21500704,UTA,MIN,Made Shot,True,Jump Bank Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,3.7,6.35,3,4,2,41
89485,2016,2015-16,1610612762,Utah Jazz,202324,Derrick Favors,F,PF,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,1.9,9.05,4,4,2,49
89502,2016,2015-16,1610612750,Minnesota Timberwolves,203476,Gorgui Dieng,C,C,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,5.95,1,4,3,10
89508,2016,2015-16,1610612762,Utah Jazz,203918,Rodney Hood,G,SG,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,8.3,18.65,15,4,3,19
89515,2016,2015-16,1610612762,Utah Jazz,202330,Gordon Hayward,F,SF,01-29-2016,21500704,UTA,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,L,24+ ft.,23.2,5.15,23,4,3,54
89519,2016,2015-16,1610612750,Minnesota Timberwolves,1626157,Karl-Anthony Towns,C,C,01-29-2016,21500704,UTA,MIN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.9,5.15,0,4,4,14
89524,2016,2015-16,1610612750,Minnesota Timberwolves,201937,Ricky Rubio,G,PG,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,22.0,14.95,24,4,4,17
89532,2016,2015-16,1610612762,Utah Jazz,203918,Rodney Hood,G,SG,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-22.0,15.85,24,4,4,28
89538,2016,2015-16,1610612750,Minnesota Timberwolves,203897,Zach LaVine,G,SG,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side,R,8-16 ft.,-11.9,13.75,14,4,4,55
89544,2016,2015-16,1610612762,Utah Jazz,202344,Trevor Booker,F,PF,01-29-2016,21500704,UTA,MIN,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-1.4,5.45,1,4,5,29
89551,2016,2015-16,1610612762,Utah Jazz,203918,Rodney Hood,G,SG,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side,L,8-16 ft.,7.0,16.75,13,4,5,43
89564,2016,2015-16,1610612750,Minnesota Timberwolves,203476,Gorgui Dieng,C,C,01-29-2016,21500704,UTA,MIN,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,16-24 ft.,21.7,5.45,21,4,6,2
89573,2016,2015-16,1610612750,Minnesota Timberwolves,203952,Andrew Wiggins,F,SF,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,0.4,7.35,2,4,6,21
89577,2016,2015-16,1610612762,Utah Jazz,203497,Rudy Gobert,C,C,01-29-2016,21500704,UTA,MIN,Made Shot,True,Running Dunk Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-0.0,5.35,0,4,6,40
89582,2016,2015-16,1610612750,Minnesota Timberwolves,201937,Ricky Rubio,G,PG,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Running Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,-2.7,5.25,2,4,6,46
89585,2016,2015-16,1610612762,Utah Jazz,204060,Joe Ingles,F,SF,01-29-2016,21500704,UTA,MIN,Made Shot,True,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center,LC,24+ ft.,20.7,19.85,25,4,7,4
89589,2016,2015-16,1610612750,Minnesota Timberwolves,203476,Gorgui Dieng,C,C,01-29-2016,21500704,UTA,MIN,Made Shot,True,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.4,5.55,1,4,7,24
89615,2016,2015-16,1610612762,Utah Jazz,203918,Rodney Hood,G,SG,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center,C,8-16 ft.,2.9,18.35,13,4,7,45
89619,2016,2015-16,1610612762,Utah Jazz,203504,Trey Burke,G,PG,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-21.2,17.65,24,4,8,0
89623,2016,2015-16,1610612762,Utah Jazz,202324,Derrick Favors,F,PF,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side Center,LC,16-24 ft.,8.3,19.35,16,4,8,33
89631,2016,2015-16,1610612762,Utah Jazz,202324,Derrick Favors,F,PF,01-29-2016,21500704,UTA,MIN,Made Shot,True,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,2.2,5.15,2,4,8,42
89668,2016,2015-16,1610612750,Minnesota Timberwolves,203498,Shabazz Muhammad,F,SF,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-6.9,5.55,6,4,8,56
89671,2016,2015-16,1610612750,Minnesota Timberwolves,203476,Gorgui Dieng,C,C,01-29-2016,21500704,UTA,MIN,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side,R,16-24 ft.,-18.1,9.95,18,4,9,3
