,SEASON_1,SEASON_2,TEAM_ID,TEAM_NAME,PLAYER_ID,PLAYER_NAME,POSITION_GROUP,POSITION,GAME_DATE,GAME_ID,HOME_TEAM,AWAY_TEAM,EVENT_TYPE,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_ABB,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT
199046,2016,2015-16,1610612752,New York Knicks,1626170,Jerian Grant,G,PG,11-02-2015,21500048,NYK,SAS,Made Shot,True,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-10.5,20.15,18,4,0,5
199050,2016,2015-16,1610612759,San Antonio Spurs,203937,Kyle Anderson,F,SF,11-02-2015,21500048,NYK,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,9.9,13.75,13,4,0,22
199071,2016,2015-16,1610612752,New York Knicks,202338,Kevin Seraphin,C,C,11-02-2015,21500048,NYK,SAS,Missed Shot,False,Turnaround Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.4,5.45,11,4,1,2
199075,2016,2015-16,1610612759,San Antonio Spurs,203492,Ray McCallum,G,PG,11-02-2015,21500048,NYK,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-9.6,19.85,17,4,1,17
199097,2016,2015-16,1610612752,New York Knicks,1626170,Jerian Grant,G,PG,11-02-2015,21500048,NYK,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,RC,16-24 ft.,-14.8,20.65,21,4,1,42
199099,2016,2015-16,1610612759,San Antonio Spurs,2564,Boris Diaw,F,PF,11-02-2015,21500048,NYK,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Left Side,L,8-16 ft.,11.5,12.75,13,4,1,50
199113,2016,2015-16,1610612759,San Antonio Spurs,202695,Kawhi Leonard,F,SF,11-02-2015,21500048,NYK,SAS,Made Shot,True,Jump Bank Shot,2PT Field Goal,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2.5,9.35,4,4,2,13
199121,2016,2015-16,1610612752,New York Knicks,203124,Kyle O'Quinn,F,PF,11-02-2015,21500048,NYK,SAS,Missed Shot,False,Jump Shot,2PT Field Goal,Mid-Range,Center,C,16-24 ft.,1.7,24.55,19,4,2,37
199132,2016,2015-16,1610612759,San Antonio Spurs,201980,Danny Green,G,SG,11-02-2015,21500048,NYK,SAS,Missed Shot,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,RC,24+ ft.,-14.0,25.25,24,4,2,55
199138,2016,2015-16,1610612752,New York Knicks,2546,Carmelo Anthony,F,SF,11-02-2015,21500048,NYK,SAS,Missed Shot,False,Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.0,5.25,1,4,3,3
199141,2016,2015-16,1610612752,New York Knicks,204001,Kristaps Porzingis,F,PF,11-02-2015,21500048,NYK,SAS,Missed Shot,False,Putback Layup Shot,2PT Field Goal,Restricted Area,Center,C,Less Than 8 ft.,1.7,7.65,2,4,3,6
